RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,52,36689,Brooks Koepka,2.918,1.671,.701,.546,4
2,53,26329,Louis Oosthuizen,2.871,.160,1.625,1.086,4
3,0,26476,Chez Reavie,2.843,.517,1.483,.843,4
4,3,25364,Paul Casey,2.648,.451,1.723,.473,4
5,0,27436,Graham DeLaet,2.646,.541,1.872,.232,4
6,-2,28237,Rory McIlroy,2.626,2.010,-.093,.708,4
7,21,26596,Ryan Moore,2.549,.056,1.388,1.105,4
8,43,34360,Patrick Reed,2.442,.551,.987,.904,4
9,14,21528,Henrik Stenson,2.370,.500,1.172,.698,4
10,37,30925,Dustin Johnson,2.367,.882,.740,.745,4
11,-8,33448,Justin Thomas,2.285,.716,.994,.574,4
12,-11,32839,Hideki Matsuyama,2.218,.838,.931,.450,4
13,-3,32366,Kevin Chappell,2.161,1.402,.435,.323,4
14,-9,25198,Francesco Molinari,2.070,.838,.792,.439,4
15,0,33948,Byeong Hun An,2.061,.866,.179,1.016,4
16,11,26851,Marc Leishman,1.990,.619,1.001,.370,4
17,5,32102,Rickie Fowler,1.970,.746,.499,.724,4
18,23,23108,Matt Kuchar,1.956,-.010,.345,1.620,4
19,0,33141,Keegan Bradley,1.902,1.136,.589,.177,4
20,13,28089,Jason Day,1.830,1.085,.291,.454,4
21,35,24361,Pat Perez,1.715,-.340,1.571,.484,4
22,0,46464,Jordan L Smith,1.642,1.540,.677,-.576,4
23,19,29478,Kevin Kisner,1.613,.802,.617,.193,4
24,-15,34046,Jordan Spieth,1.612,1.119,-.737,1.230,4
25,7,27141,J.B. Holmes,1.577,1.069,.344,.163,4
26,-11,26331,Charl Schwartzel,1.542,.217,.917,.408,4
27,42,27644,Brian Harman,1.541,.420,.135,.986,4
28,10,31323,Gary Woodland,1.532,1.170,.729,-.368,4
29,0,31557,Jim Herman,1.472,.678,-.296,1.090,4
30,0,32448,James Hahn,1.447,-.362,1.404,.404,4
31,0,34431,Robert Streb,1.268,-.669,.904,1.033,4
32,-14,24502,Adam Scott,1.199,1.090,-.064,.174,4
33,0,27963,Chris Stroud,1.126,-.284,1.252,.158,4
34,0,30944,Jason Kokrak,1.088,.144,1.007,-.064,4
35,0,29221,Webb Simpson,1.067,-.038,.378,.727,4
36,38,29420,Billy Horschel,1.033,.079,.814,.140,4
37,0,34213,Grayson Murray,.969,-.355,.818,.506,4
38,0,34021,Bud Cauley,.966,.083,.066,.817,4
39,34,22000,Chris Wood,.954,-.122,.152,.924,4
40,0,29725,Tony Finau,.875,.935,-.035,-.025,4
41,17,32816,Satoshi Kodaira,.856,-.726,1.221,.361,4
42,-7,25686,Jason Dufner,.778,.423,.508,-.153,4
43,0,29479,Scott Brown,.769,.369,.821,-.422,4
44,0,29461,Jamie Lovemark,.756,.759,-.044,.041,4
45,-9,46970,Jon Rahm,.726,.471,.331,-.075,4
46,0,24140,Sean O'Hair,.660,.793,.166,-.299,4
47,0,24459,Richard Sterne,.646,-.297,1.056,-.113,4
48,0,25240,D.A. Points,.640,-.426,.182,.884,4
49,-23,30911,Tommy Fleetwood,.622,.711,.497,-.585,4
50,11,47959,Bryson DeChambeau,.565,.360,.615,-.410,4
51,-31,24924,Bill Haas,.534,-.328,.470,.392,4
52,0,35450,Patrick Cantlay,.494,.988,-.211,-.284,4
53,0,25900,Lucas Glover,.449,-.241,.410,.280,4
54,0,29936,Ryan Fox,.420,.261,.207,-.048,4
55,-41,12716,Charley Hoffman,.357,.386,.953,-.982,4
56,0,27974,Sung Kang,.306,.405,.384,-.483,4
57,0,06567,Vijay Singh,.245,-.548,-.768,1.560,4
58,10,34098,Russell Henley,.221,.328,-.499,.391,4
59,-25,33968,Thorbjørn Olesen,.147,.611,-.343,-.121,4
60,-41,24024,Zach Johnson,.099,-.544,.826,-.183,4
61,0,31420,Anirban Lahiri,.024,.807,-.181,-.602,4
62,-23,20396,Lee Westwood,-.131,-.339,-.729,.937,4
63,0,06527,Steve Stricker,-.511,-.279,-.460,.229,4
64,0,39954,Cody Gribble,-.628,-.336,-.052,-.240,4
65,0,29970,Dylan Frittelli,-.646,.581,-1.017,-.210,4
66,0,24138,Ian Poulter,-.657,-.904,.973,-.726,4
67,0,34409,David Lingmerth,-.747,-.587,-.076,-.083,4
68,0,21961,Charles Howell III,-.882,-1.433,1.096,-.545,4
69,-17,27349,Alex Noren,-1.082,-.847,-.483,.248,4
70,-20,21498,Hideto Tanihara,-1.110,-.784,-.462,.137,4
71,0,35879,Kelly Kraft,-1.131,.289,-.845,-.575,4
72,0,25834,Daniel Summerhays,-1.171,-1.298,1.202,-1.075,4
73,0,33204,Shane Lowry,-1.344,.546,-.721,-1.168,4
74,0,08385,Omar Uresti,-1.592,-1.464,-1.545,1.417,4
75,0,28258,K.T. Kim,-3.169,-1.754,-.841,-.573,4
