PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
34563,Chesson Hadley,2017 Sanderson Farms Championship,0.48125,1.106,2.062,-0.237
19803,Ryan Armour,2017 Sanderson Farms Championship,1.92175,0.039,2.011,0.691
27214,Kevin Streelman,2017 Sanderson Farms Championship,-0.38775,0.367,1.538,0.395
29222,Billy Hurley III,2017 Sanderson Farms Championship,-0.87925,-0.526,1.348,1.22
30692,Scott Stallings,2017 Sanderson Farms Championship,-1.477,-0.201,2.059,0.032
39327,Ben Silverman,2017 Sanderson Farms Championship,0.48625,-0.018,1.656,0.038
37273,Derek Ernst,2017 Sanderson Farms Championship,-0.796,0.927,0.475,0.057
27942,Rob Oppenheim,2017 Sanderson Farms Championship,-0.032,-0.184,1.43,0.199
49964,Aaron Wise,2017 Sanderson Farms Championship,-0.27825,0.04,1.33,0.071
30926,Chris Kirk,2017 Sanderson Farms Championship,-0.75175,-0.131,1.024,0.521
50526,Tom Lovelady,2017 Sanderson Farms Championship,0.0475,0.8,0.595,-0.03
35461,Beau Hossler,2017 Sanderson Farms Championship,0.59075,0.575,0.439,0.307
23325,Vaughn Taylor,2017 Sanderson Farms Championship,0.59725,0.102,0.951,0.263
28252,Séamus Power,2017 Sanderson Farms Championship,0.106,0.566,1.732,-0.992
31560,Brian Stuard,2017 Sanderson Farms Championship,1.10525,-0.244,1.346,0.205
28132,Tyrone Van Aswegen,2017 Sanderson Farms Championship,-0.12775,-0.161,1.251,0.2
46440,Smylie Kaufman,2017 Sanderson Farms Championship,1.15925,0.075,0.91,0.269
49771,J.T. Poston,2017 Sanderson Farms Championship,-1.3125,0.781,-0.097,0.541
33418,Shawn Stefani,2017 Sanderson Farms Championship,0.8295,-0.308,0.58,0.811
47287,Ethan Tracy,2017 Sanderson Farms Championship,-0.15475,0.143,0.023,0.901
40058,Zac Blair,2017 Sanderson Farms Championship,0.38075,-0.652,0.125,1.559
30944,Jason Kokrak,2017 Sanderson Farms Championship,1.1775,0.015,0.458,0.511
31416,Derek Fathauer,2017 Sanderson Farms Championship,0.93225,-0.873,1.146,0.707
39004,Dru Love,2017 Sanderson Farms Championship,0.01125,0.302,0.551,0.048
34256,Andrew Putnam,2017 Sanderson Farms Championship,-0.21975,0.785,0.25,-0.153
47574,Scott Strohmeyer,2017 Sanderson Farms Championship,1.547,1.559,-0.127,-0.566
34358,Jonathan Randolph,2017 Sanderson Farms Championship,2.099,-0.062,0.563,0.312
34466,Peter Malnati,2017 Sanderson Farms Championship,-0.0845,-0.325,0.108,0.964
20848,Ángel Cabrera,2017 Sanderson Farms Championship,-0.06125,0.524,0.255,-0.056
46435,Austin Cook,2017 Sanderson Farms Championship,0.459,0.964,-0.672,0.411
47347,Adam Schenk,2017 Sanderson Farms Championship,-0.2735,0.249,0.02,0.417
46402,Talor Gooch,2017 Sanderson Farms Championship,0.23975,-0.055,0.087,0.641
39324,J.J. Spaun,2017 Sanderson Farms Championship,0.11775,0.352,0.345,-0.153
24781,Hunter Mahan,2017 Sanderson Farms Championship,0.885,0.93,-0.79,0.387
27139,David Skinns,2017 Sanderson Farms Championship,-0.58,0.635,0.288,-0.431
39328,Conrad Shindler,2017 Sanderson Farms Championship,-0.8105,0.446,0.361,-0.334
46550,Brandon Hagy,2017 Sanderson Farms Championship,0.97925,0.42,-0.375,0.389
24846,Ricky Barnes,2017 Sanderson Farms Championship,1.487,-0.241,0.153,0.514
24490,George McNeill,2017 Sanderson Farms Championship,-0.013,-0.392,-0.218,1.036
22371,Aaron Baddeley,2017 Sanderson Farms Championship,0.499,0.087,-0.09,0.417
22056,Cameron Percy,2017 Sanderson Farms Championship,0.256,-0.377,0.507,0.276
31202,William McGirt,2017 Sanderson Farms Championship,0.758,0.564,0.007,-0.166
32757,Patton Kizzire,2017 Sanderson Farms Championship,1.5405,0.495,-0.652,0.528
29485,Brett Stegmaier,2017 Sanderson Farms Championship,0.072,-0.093,-0.494,0.928
8385,Omar Uresti,2017 Sanderson Farms Championship,-1.40525,-0.866,0.383,0.8
37278,Nicholas Lindheim,2017 Sanderson Farms Championship,1.876,-0.307,-0.459,1.052
49947,Taylor Moore,2017 Sanderson Farms Championship,-0.3325,1.306,-0.61,-0.45
20098,Stuart Appleby,2017 Sanderson Farms Championship,-0.559,-0.306,-0.303,0.83
23541,Ben Crane,2017 Sanderson Farms Championship,0.23725,-0.169,0.312,0.031
33410,Andrew Landry,2017 Sanderson Farms Championship,-0.5085,0.397,0.418,-0.644
47504,Sam Burns,2017 Sanderson Farms Championship,0.3465,0.765,-0.688,-0.011
47125,Matt Atkins,2017 Sanderson Farms Championship,-0.6385,0.707,-0.165,-0.491
27466,Spencer Levin,2017 Sanderson Farms Championship,-0.36075,0.157,-0.364,0.23
19846,Brian Gay,2017 Sanderson Farms Championship,1.39725,-0.933,0.04,0.909
29535,Brice Garnett,2017 Sanderson Farms Championship,0.477,0.678,-1.006,0.264
33419,Cameron Tringale,2017 Sanderson Farms Championship,-0.0095,-0.706,0.419,0.209
26951,Johnson Wagner,2017 Sanderson Farms Championship,0.75375,0.286,-0.244,-0.133
51766,Wyndham Clark,2017 Sanderson Farms Championship,1.816,0.749,-0.321,-0.582
28679,Fabián Gómez,2017 Sanderson Farms Championship,-1.4185,-0.032,0.297,-0.434
28307,Matt Every,2017 Sanderson Farms Championship,0.119,-0.499,0.125,0.167
39997,Corey Conners,2017 Sanderson Farms Championship,-0.32125,-0.293,0.557,-0.53
26758,David Hearn,2017 Sanderson Farms Championship,-0.01625,-0.586,0.273,-0.008
25892,Steve Wheatcroft,2017 Sanderson Farms Championship,-1.75825,0.085,0.338,-0.753
36799,Stephan Jaeger,2017 Sanderson Farms Championship,0.5245,0.148,-0.715,0.205
32876,Martin Piller,2017 Sanderson Farms Championship,0.98225,-0.159,-1.09,0.679
12782,Tim Herron,2017 Sanderson Farms Championship,0.48775,-0.542,-0.124,0.091
28780,Nicholas Thompson,2017 Sanderson Farms Championship,0.00375,0.249,0.115,-0.955
23048,Eric Axley,2017 Sanderson Farms Championship,1.267,-0.046,-0.206,-0.353
33413,Ben Martin,2017 Sanderson Farms Championship,0.30875,-0.556,-0.133,0.043
45526,Abraham Ancer,2017 Sanderson Farms Championship,-0.008,-0.585,0.315,-0.56
34076,Joel Dahmen,2017 Sanderson Farms Championship,1.2075,0.556,-0.644,-0.957
49403,Grady Brame Jr.,2017 Sanderson Farms Championship,0.552,0.338,-0.677,-1.051
22913,John Rollins,2017 Sanderson Farms Championship,-0.43575,-0.293,-1.064,-0.295
20593,Greg Chalmers,2017 Sanderson Farms Championship,1.3495,-0.391,-2.048,0.252
25834,Daniel Summerhays,2017 Sanderson Farms Championship,1.25575,-0.656,-1.535,-0.652
