RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,35545,Blayne Barber,2.039,8.154,4
2,30,29222,Billy Hurley III,1.988,7.952,4
3,9,26499,Rafa Cabrera Bello,1.944,7.776,4
4,0,26329,Louis Oosthuizen,1.798,7.190,4
5,0,06527,Steve Stricker,1.655,6.620,4
6,0,36689,Brooks Koepka,1.398,5.591,4
7,30,29289,S.Y. Noh,1.388,5.551,4
8,0,39975,Michael Kim,1.339,5.355,4
9,44,27141,J.B. Holmes,1.293,5.171,4
10,-4,35506,Mackenzie Hughes,1.258,5.032,4
11,0,22371,Aaron Baddeley,1.194,4.775,4
12,0,06567,Vijay Singh,1.156,4.623,4
13,-11,25572,Graeme McDowell,1.137,4.547,4
14,0,21528,Henrik Stenson,1.130,4.518,4
15,0,29518,Brendan Steele,1.115,4.460,4
16,0,28237,Rory McIlroy,1.077,4.306,4
17,0,39954,Cody Gribble,.995,3.981,4
18,16,24502,Adam Scott,.900,3.601,4
19,0,29221,Webb Simpson,.763,3.050,4
20,45,30926,Chris Kirk,.686,2.743,4
21,0,25834,Daniel Summerhays,.677,2.706,4
22,-7,01810,Phil Mickelson,.654,2.616,4
23,-4,25900,Lucas Glover,.632,2.529,4
24,4,30925,Dustin Johnson,.625,2.501,4
25,0,20396,Lee Westwood,.621,2.483,4
26,26,26476,Chez Reavie,.615,2.458,4
27,0,34363,Tyrrell Hatton,.598,2.392,4
28,0,30110,Kyle Stanley,.557,2.227,4
29,-19,46440,Smylie Kaufman,.542,2.168,4
30,0,31202,William McGirt,.493,1.973,4
31,0,27974,Sung Kang,.490,1.958,4
32,0,26758,David Hearn,.445,1.781,4
33,0,26596,Ryan Moore,.438,1.751,4
34,0,32102,Rickie Fowler,.417,1.668,4
35,0,35450,Patrick Cantlay,.401,1.603,4
36,0,33399,Adam Hadwin,.310,1.241,4
37,0,37455,Si Woo Kim,.290,1.160,4
38,-16,31646,Emiliano Grillo,.266,1.063,4
39,35,25198,Francesco Molinari,.239,.957,4
40,-26,34360,Patrick Reed,.214,.855,4
41,0,31557,Jim Herman,.206,.823,4
42,0,32366,Kevin Chappell,.149,.596,4
43,0,27408,Martin Kaymer,.093,.370,4
44,11,40026,Daniel Berger,.080,.319,4
45,-42,24361,Pat Perez,.079,.316,4
46,0,12716,Charley Hoffman,.011,.042,4
47,0,28089,Jason Day,.002,.006,4
48,0,33141,Keegan Bradley,-.061,-.243,4
49,0,29974,Branden Grace,-.081,-.325,4
50,0,29478,Kevin Kisner,-.098,-.394,4
51,0,20572,Rod Pampling,-.167,-.667,4
52,0,25686,Jason Dufner,-.168,-.674,4
53,0,26908,Yuta Ikeda,-.202,-.810,4
54,0,32839,Hideki Matsuyama,-.213,-.851,4
55,0,33419,Cameron Tringale,-.220,-.881,4
56,0,24138,Ian Poulter,-.236,-.943,4
57,-22,25364,Paul Casey,-.289,-1.156,4
58,0,34098,Russell Henley,-.348,-1.392,4
59,0,29454,Bernd Wiesberger,-.461,-1.845,4
60,0,25632,Jimmy Walker,-.504,-2.017,4
61,0,22405,Justin Rose,-.508,-2.034,4
62,0,37189,Harold Varner III,-.532,-2.127,4
63,-43,24024,Zach Johnson,-.609,-2.438,4
64,-47,27644,Brian Harman,-.832,-3.329,4
65,-29,33413,Ben Martin,-.846,-3.383,4
66,0,30911,Tommy Fleetwood,-.885,-3.539,4
67,0,32200,Roberto Castro,-.925,-3.700,4
68,-44,24846,Ricky Barnes,-.989,-3.958,4
69,-38,27349,Alex Noren,-1.286,-5.145,4
70,0,21209,Sergio Garcia,-1.455,-5.820,4
71,0,26289,Boo Weekley,-2.110,-8.439,4
