RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,29725,Tony Finau,3.398,1.258,1.594,.546,4
2,0,35450,Patrick Cantlay,2.736,.901,1.845,-.010,4
3,0,12510,Chad Campbell,2.701,.463,2.421,-.183,4
4,0,40009,Dominic Bozzelli,2.669,.463,1.349,.857,4
5,0,33399,Adam Hadwin,2.287,-.038,2.045,.280,4
6,0,29461,Jamie Lovemark,2.272,1.037,.634,.601,4
7,0,48084,Wesley Bryan,1.988,.283,1.176,.529,4
8,0,31557,Jim Herman,1.985,.432,1.132,.421,4
9,0,30110,Kyle Stanley,1.982,1.174,1.406,-.597,4
10,0,27095,Nick Watney,1.654,.266,1.654,-.267,4
11,23,26331,Charl Schwartzel,1.633,-.037,1.327,.343,4
12,0,49771,J.T. Poston,1.627,.187,1.349,.091,4
13,0,29221,Webb Simpson,1.605,.204,.269,1.133,4
14,-3,24924,Bill Haas,1.565,-.185,.915,.835,4
15,27,26596,Ryan Moore,1.360,.045,1.407,-.092,4
16,0,21528,Henrik Stenson,1.277,-.053,.932,.398,4
17,6,33948,Byeong Hun An,1.257,.440,.138,.679,4
18,0,34174,John Huh,1.243,.184,1.228,-.170,4
19,0,31560,Brian Stuard,1.219,.317,.469,.433,4
20,0,27129,Luke List,1.187,.424,.650,.113,4
21,0,28252,Seamus Power,1.145,-.085,.989,.241,4
22,0,27214,Kevin Streelman,1.108,.515,.733,-.140,4
23,0,24138,Ian Poulter,1.082,-.001,.889,.194,4
24,41,22986,Søren Kjeldsen,1.057,-.047,.749,.355,4
25,0,25900,Lucas Glover,1.050,.404,.571,.075,4
26,0,34098,Russell Henley,1.031,.023,1.077,-.069,4
27,0,25493,Nick Taylor,1.014,.582,.545,-.113,4
28,0,30944,Jason Kokrak,1.000,-.074,1.459,-.385,4
29,0,20229,Stewart Cink,.885,.042,.879,-.037,4
30,0,25572,Graeme McDowell,.874,-.029,.338,.565,4
31,0,23353,J.J. Henry,.715,-.194,.780,.128,4
32,0,26476,Chez Reavie,.702,.098,.420,.184,4
33,0,28132,Tyrone Van Aswegen,.695,.087,-.087,.694,4
34,0,20572,Rod Pampling,.648,-.112,.565,.195,4
35,0,21961,Charles Howell III,.643,-.127,.392,.377,4
36,-18,25686,Jason Dufner,.598,.292,-.278,.584,4
37,0,27436,Graham DeLaet,.548,.542,1.116,-1.110,4
38,0,47959,Bryson DeChambeau,.448,1.012,-.138,-.425,4
39,0,20472,Alex Cejka,.404,.079,.013,.312,4
40,0,34264,Hudson Swafford,.400,.946,.275,-.820,4
41,0,33141,Keegan Bradley,.353,.257,.642,-.546,4
42,-18,31323,Gary Woodland,.321,.715,-.293,-.101,4
43,0,24358,Robert Garrigus,.248,.701,.076,-.530,4
44,0,34409,David Lingmerth,.126,-.252,.843,-.465,4
45,0,23108,Matt Kuchar,.116,.287,-.726,.555,4
46,0,35891,Cameron Smith,.104,.159,-1.072,1.017,4
47,11,34360,Patrick Reed,.071,.383,-.367,.055,4
48,0,26758,David Hearn,-.057,-.112,-.118,.173,4
49,0,27958,Ryan Blaum,-.061,-.033,.291,-.319,4
50,0,29476,Kyle Reifers,-.065,.508,-.486,-.087,4
51,0,34021,Bud Cauley,-.077,-.044,.183,-.216,4
52,0,39546,Keith Mitchell,-.122,-.093,-.604,.575,4
53,0,34099,Harris English,-.206,-.581,-.337,.712,4
54,0,32448,James Hahn,-.217,.193,.016,-.426,4
55,0,47994,Lee McCoy,-.351,-.068,.199,-.481,4
56,0,33413,Ben Martin,-.415,-.315,-.485,.385,4
57,0,35545,Blayne Barber,-.443,.803,-.137,-1.110,4
58,0,35879,Kelly Kraft,-.447,.189,-.098,-.538,4
59,0,27895,Jonas Blixt,-.556,-.757,.633,-.432,4
60,0,10809,Jim Furyk,-.561,.170,-.351,-.379,4
61,0,29926,Danny Lee,-.583,.006,-.457,-.132,4
61,0,25349,Tim Wilkinson,-.583,-1.062,-.145,.625,4
63,0,33461,Morgan Hoffmann,-.795,-.115,-.146,-.534,4
64,0,39975,Michael Kim,-.907,-1.091,.339,-.155,4
65,0,49633,Charlie Danielson,-.954,.012,-1.368,.402,4
66,0,24781,Hunter Mahan,-1.190,-.036,-.323,-.830,4
67,0,30692,Scott Stallings,-1.273,-.184,-.644,-.445,4
68,0,23541,Ben Crane,-1.479,-.446,-.331,-.702,4
69,0,30852,Ryo Ishikawa,-3.275,-1.286,-2.225,.237,4
