RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,40058,Zac Blair,3.181,12.725,4
2,0,25572,Graeme McDowell,2.014,8.056,4
3,0,24361,Pat Perez,1.303,5.213,4
4,0,34409,David Lingmerth,1.290,5.159,4
5,0,34358,Jonathan Randolph,1.288,5.152,4
6,0,35506,Mackenzie Hughes,1.231,4.922,4
7,0,35110,Brett Drewitt,1.223,4.892,4
8,0,33120,Mark Anderson,1.205,4.819,4
9,0,25720,Chad Collins,1.201,4.804,4
10,0,46440,Smylie Kaufman,1.171,4.683,4
11,0,23325,Vaughn Taylor,1.163,4.650,4
12,0,26499,Rafa Cabrera Bello,1.154,4.615,4
13,0,29745,Tyler Aldridge,1.132,4.527,4
14,0,34360,Patrick Reed,1.082,4.327,4
15,0,01810,Phil Mickelson,1.033,4.132,4
16,0,32333,Kevin Tway,1.017,4.067,4
17,0,27644,Brian Harman,.939,3.756,4
18,0,48081,Xander Schauffele,.875,3.500,4
19,0,25900,Lucas Glover,.861,3.444,4
20,0,24024,Zach Johnson,.779,3.114,4
21,0,46550,Brandon Hagy,.749,2.996,4
22,0,31646,Emiliano Grillo,.745,2.978,4
23,0,46970,Jon Rahm,.723,2.891,4
24,0,24846,Ricky Barnes,.722,2.887,4
25,0,33461,Morgan Hoffmann,.700,2.800,4
26,0,33204,Shane Lowry,.695,2.781,4
27,0,35541,John Peterson,.683,2.733,4
28,0,19803,Ryan Armour,.609,2.434,4
28,0,30925,Dustin Johnson,.609,2.437,4
30,0,28252,Seamus Power,.576,2.305,4
31,0,27349,Alex Noren,.498,1.993,4
32,0,29222,Billy Hurley III,.496,1.982,4
33,0,27466,Spencer Levin,.487,1.949,4
34,0,24502,Adam Scott,.486,1.945,4
35,0,25364,Paul Casey,.478,1.911,4
36,0,33413,Ben Martin,.467,1.869,4
37,0,29289,S.Y. Noh,.449,1.795,4
38,0,29476,Kyle Reifers,.439,1.756,4
39,0,25240,D.A. Points,.425,1.701,4
40,0,33948,Byeong Hun An,.422,1.687,4
41,0,28093,Miguel Angel Carballo,.312,1.247,4
42,0,37380,Curtis Luck,.305,1.220,4
43,0,30191,Julián Etulain,.291,1.162,4
44,0,27958,Ryan Blaum,.249,.995,4
45,0,24781,Hunter Mahan,.243,.972,4
46,0,25493,Nick Taylor,.204,.815,4
47,0,23497,Tag Ridings,.203,.811,4
48,0,28132,Tyrone Van Aswegen,.168,.670,4
49,0,49771,J.T. Poston,.163,.652,4
50,0,40162,Justin Lower,.103,.410,4
51,0,29740,Brad Fritsch,.102,.409,4
52,0,26476,Chez Reavie,-.050,-.202,4
53,0,27141,J.B. Holmes,-.074,-.297,4
54,0,46441,Robby Shelton,-.103,-.411,4
55,0,40026,Daniel Berger,-.127,-.510,4
56,0,34431,Robert Streb,-.161,-.644,4
57,0,34264,Hudson Swafford,-.191,-.763,4
58,0,26300,Matt Jones,-.200,-.799,4
59,0,23800,Bryce Molder,-.257,-1.030,4
60,0,19846,Brian Gay,-.267,-1.069,4
61,0,23353,J.J. Henry,-.294,-1.177,4
62,0,20157,Retief Goosen,-.363,-1.451,4
63,0,32448,James Hahn,-.374,-1.496,4
64,0,25191,Gonzalo Fernandez-Castaño,-.404,-1.618,4
65,0,30926,Chris Kirk,-.467,-1.870,4
66,0,27936,Martin Laird,-.537,-2.147,4
67,0,32757,Patton Kizzire,-.690,-2.762,4
68,0,34213,Grayson Murray,-.721,-2.886,4
69,0,33418,Shawn Stefani,-.786,-3.144,4
70,0,27095,Nick Watney,-.814,-3.257,4
71,0,27129,Luke List,-1.076,-4.303,4
72,0,20104,Ken Duke,-1.250,-5.002,4
73,0,30944,Jason Kokrak,-1.335,-5.340,4
74,0,25198,Francesco Molinari,-1.434,-5.735,4
