PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
25198,Francesco Molinari,2017 Wells Fargo Championship,-1.43375,0.82,1.552,0.508
30925,Dustin Johnson,2017 Wells Fargo Championship,0.60925,1.065,1.706,-0.434
27644,Brian Harman,2017 Wells Fargo Championship,0.939,0.554,0.98,0.723
29289,S.Y. Noh,2017 Wells Fargo Championship,0.44875,-0.081,1.014,1.063
25493,Nick Taylor,2017 Wells Fargo Championship,0.20375,0.538,1.257,0.197
46970,Jon Rahm,2017 Wells Fargo Championship,0.72275,1.56,0.16,0.253
33948,Byeong Hun An,2017 Wells Fargo Championship,0.42175,0.815,0.841,0.118
29222,Billy Hurley III,2017 Wells Fargo Championship,0.4955,-0.664,1.662,0.703
24361,Pat Perez,2017 Wells Fargo Championship,1.30325,-0.188,1.434,0.396
34431,Robert Streb,2017 Wells Fargo Championship,-0.161,1.031,0.109,0.467
25240,D.A. Points,2017 Wells Fargo Championship,0.42525,0.194,1.201,0.126
25364,Paul Casey,2017 Wells Fargo Championship,0.47775,0.781,1.046,-0.359
32333,Kevin Tway,2017 Wells Fargo Championship,1.01675,0.82,0.326,0.283
49771,J.T. Poston,2017 Wells Fargo Championship,0.163,0.185,0.715,0.383
46440,Smylie Kaufman,2017 Wells Fargo Championship,1.17075,1.101,-0.289,0.463
27129,Luke List,2017 Wells Fargo Championship,-1.07575,0.882,0.106,0.284
33461,Morgan Hoffmann,2017 Wells Fargo Championship,0.7,0.294,0.464,0.488
27936,Martin Laird,2017 Wells Fargo Championship,-0.53675,-0.154,0.331,1.056
33413,Ben Martin,2017 Wells Fargo Championship,0.46725,0.205,1.238,-0.215
23800,Bryce Molder,2017 Wells Fargo Championship,-0.2575,-0.328,0.412,1.119
25191,Gonzalo Fernandez-Castaño,2017 Wells Fargo Championship,-0.4045,-0.307,0.503,0.905
40026,Daniel Berger,2017 Wells Fargo Championship,-0.1275,0.867,0.81,-0.604
27141,J.B. Holmes,2017 Wells Fargo Championship,-0.07425,0.479,0.122,0.419
46550,Brandon Hagy,2017 Wells Fargo Championship,0.749,1.031,0.723,-0.807
24024,Zach Johnson,2017 Wells Fargo Championship,0.7785,0.269,0.591,0.057
34358,Jonathan Randolph,2017 Wells Fargo Championship,1.288,0.144,0.843,-0.08
34360,Patrick Reed,2017 Wells Fargo Championship,1.08175,-0.77,0.944,0.69
20157,Retief Goosen,2017 Wells Fargo Championship,-0.36275,-0.49,1.401,-0.103
23325,Vaughn Taylor,2017 Wells Fargo Championship,1.1625,0.015,-0.215,0.984
30944,Jason Kokrak,2017 Wells Fargo Championship,-1.335,0.373,0.186,0.222
27095,Nick Watney,2017 Wells Fargo Championship,-0.81425,0.333,0.709,-0.281
33204,Shane Lowry,2017 Wells Fargo Championship,0.69525,0.353,0.54,-0.142
26476,Chez Reavie,2017 Wells Fargo Championship,-0.0505,0.587,-0.972,1.131
27466,Spencer Levin,2017 Wells Fargo Championship,0.48725,-0.445,0.936,0.218
27349,Alex Noren,2017 Wells Fargo Championship,0.49825,0.354,-0.18,0.523
1810,Phil Mickelson,2017 Wells Fargo Championship,1.033,0.256,1.068,-0.66
30191,Julián Etulain,2017 Wells Fargo Championship,0.2905,-0.117,-0.418,1.19
34264,Hudson Swafford,2017 Wells Fargo Championship,-0.19075,0.51,0.018,0.108
48081,Xander Schauffele,2017 Wells Fargo Championship,0.875,1.395,-1.14,0.316
28132,Tyrone Van Aswegen,2017 Wells Fargo Championship,0.1675,-0.354,0.512,0.37
23497,Tag Ridings,2017 Wells Fargo Championship,0.20275,0.695,0.087,-0.289
33418,Shawn Stefani,2017 Wells Fargo Championship,-0.786,0.215,-0.292,0.559
19846,Brian Gay,2017 Wells Fargo Championship,-0.26725,-0.847,0.362,0.948
24502,Adam Scott,2017 Wells Fargo Championship,0.48625,0.233,0.258,-0.031
34213,Grayson Murray,2017 Wells Fargo Championship,-0.7215,1.253,0.275,-1.111
34409,David Lingmerth,2017 Wells Fargo Championship,1.28975,0.055,0.035,0.316
32448,James Hahn,2017 Wells Fargo Championship,-0.374,-0.057,0.877,-0.5
46441,Robby Shelton,2017 Wells Fargo Championship,-0.10275,0.034,-0.779,1.044
26499,Rafa Cabrera Bello,2017 Wells Fargo Championship,1.15375,0.304,-0.101,0.09
35541,John Peterson,2017 Wells Fargo Championship,0.68325,0.465,0.07,-0.273
29476,Kyle Reifers,2017 Wells Fargo Championship,0.439,-0.14,0.5,-0.103
33120,Mark Anderson,2017 Wells Fargo Championship,1.20475,0.628,-0.201,-0.185
32757,Patton Kizzire,2017 Wells Fargo Championship,-0.6905,-0.131,0.563,-0.295
25720,Chad Collins,2017 Wells Fargo Championship,1.201,-0.435,0.526,-0.096
35110,Brett Drewitt,2017 Wells Fargo Championship,1.223,-0.153,-0.026,0.151
35506,Mackenzie Hughes,2017 Wells Fargo Championship,1.2305,-0.031,-0.582,0.578
24781,Hunter Mahan,2017 Wells Fargo Championship,0.243,-0.285,0.227,0.011
31646,Emiliano Grillo,2017 Wells Fargo Championship,0.7445,0.322,0.828,-1.198
37380,Curtis Luck,2017 Wells Fargo Championship,0.305,-0.227,0.354,-0.236
28252,Séamus Power,2017 Wells Fargo Championship,0.57625,0.364,-0.103,-0.391
40162,Justin Lower,2017 Wells Fargo Championship,0.1025,-0.565,0.233,0.175
23353,J.J. Henry,2017 Wells Fargo Championship,-0.29425,0.534,0.247,-1.041
25572,Graeme McDowell,2017 Wells Fargo Championship,2.014,0.047,-0.465,0.1
26300,Matt Jones,2017 Wells Fargo Championship,-0.19975,-0.234,-0.331,0.211
20104,Ken Duke,2017 Wells Fargo Championship,-1.2505,-0.168,0.288,-0.673
19803,Ryan Armour,2017 Wells Fargo Championship,0.6085,-0.117,-0.022,-0.524
25900,Lucas Glover,2017 Wells Fargo Championship,0.861,0.668,-2.013,0.681
27958,Ryan Blaum,2017 Wells Fargo Championship,0.24875,-0.168,-0.485,-0.149
30926,Chris Kirk,2017 Wells Fargo Championship,-0.4675,-0.828,-0.526,0.518
29745,Tyler Aldridge,2017 Wells Fargo Championship,1.13175,-0.71,-0.182,-0.044
24846,Ricky Barnes,2017 Wells Fargo Championship,0.72175,-1.255,-0.279,0.509
40058,Zac Blair,2017 Wells Fargo Championship,3.18125,-1.026,0.254,-0.463
29740,Brad Fritsch,2017 Wells Fargo Championship,0.10225,-0.652,-0.989,0.234
28093,Miguel Angel Carballo,2017 Wells Fargo Championship,0.31175,-0.214,-0.735,-0.917
