RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,31420,Anirban Lahiri,2.261,9.044,4
2,0,20593,Greg Chalmers,2.221,8.884,4
3,26,27214,Kevin Streelman,2.006,8.023,4
4,0,30110,Kyle Stanley,1.873,7.492,4
5,0,33448,Justin Thomas,1.514,6.057,4
6,0,32448,James Hahn,1.498,5.993,4
7,32,33413,Ben Martin,1.489,5.955,4
8,0,31557,Jim Herman,1.377,5.510,4
9,14,31560,Brian Stuard,1.229,4.918,4
10,31,24846,Ricky Barnes,1.193,4.773,4
11,0,25804,Bubba Watson,1.035,4.141,4
12,46,27436,Graham DeLaet,.930,3.722,4
13,0,33122,Russell Knox,.875,3.502,4
14,10,29926,Danny Lee,.870,3.482,4
15,0,33204,Shane Lowry,.855,3.421,4
16,-13,29478,Kevin Kisner,.836,3.343,4
17,0,32102,Rickie Fowler,.834,3.335,4
18,43,27895,Jonas Blixt,.794,3.177,4
19,0,20766,Padraig Harrington,.758,3.031,4
20,0,28089,Jason Day,.672,2.688,4
21,0,26331,Charl Schwartzel,.618,2.474,4
22,0,45988,Brett Coletta,.555,2.222,4
23,0,24357,K.J. Choi,.548,2.192,4
24,21,26851,Marc Leishman,.519,2.078,4
25,-6,31646,Emiliano Grillo,.508,2.034,4
26,0,24502,Adam Scott,.489,1.956,4
27,0,27936,Martin Laird,.428,1.714,4
28,0,25900,Lucas Glover,.424,1.697,4
29,0,40058,Zac Blair,.350,1.402,4
30,-22,24924,Bill Haas,.323,1.293,4
31,13,20229,Stewart Cink,.315,1.259,4
32,15,23108,Matt Kuchar,.308,1.231,4
33,30,37380,Curtis Luck,.296,1.183,4
34,0,27770,Camilo Villegas,.211,.846,4
35,0,36699,Patrick Rodgers,.135,.540,4
36,-24,06527,Steve Stricker,.130,.521,4
37,-16,34409,David Lingmerth,.102,.407,4
38,-5,23325,Vaughn Taylor,.099,.395,4
39,0,35506,Mackenzie Hughes,.085,.342,4
40,0,29484,Peter Uihlein,.069,.275,4
41,0,33948,Byeong Hun An,.035,.142,4
42,26,12716,Charley Hoffman,-.008,-.032,4
43,0,29518,Brendan Steele,-.071,-.282,4
44,28,31202,William McGirt,-.073,-.290,4
45,1,29725,Tony Finau,-.083,-.330,4
46,0,29461,Jamie Lovemark,-.084,-.334,4
47,0,25686,Jason Dufner,-.095,-.378,4
48,-41,34046,Jordan Spieth,-.104,-.417,4
49,-15,29223,Sam Saunders,-.114,-.454,4
50,0,31670,Matthew Griffin,-.150,-.599,4
51,-50,24140,Sean O'Hair,-.200,-.801,4
52,0,30944,Jason Kokrak,-.212,-.849,4
53,0,34213,Grayson Murray,-.259,-1.035,4
54,0,25834,Daniel Summerhays,-.336,-1.344,4
55,0,36689,Brooks Koepka,-.376,-1.503,4
56,0,32366,Kevin Chappell,-.433,-1.731,4
57,0,29908,C.T. Pan,-.465,-1.859,4
58,0,32839,Hideki Matsuyama,-.488,-1.950,4
59,0,27896,Ross Fisher,-.542,-2.168,4
60,2,25493,Nick Taylor,-.543,-2.170,4
61,-24,34021,Bud Cauley,-.569,-2.274,4
62,0,22986,Søren Kjeldsen,-.607,-2.428,4
63,0,31323,Gary Woodland,-.612,-2.448,4
64,0,35891,Cameron Smith,-.616,-2.462,4
65,0,24361,Pat Perez,-.631,-2.525,4
66,0,20572,Rod Pampling,-.830,-3.318,4
67,-62,29221,Webb Simpson,-.897,-3.589,4
68,0,34360,Patrick Reed,-.904,-3.615,4
69,0,37189,Harold Varner III,-.979,-3.915,4
70,-43,46501,Ollie Schniederjans,-.997,-3.989,4
71,-46,24024,Zach Johnson,-1.025,-4.101,4
72,0,25240,D.A. Points,-1.048,-4.191,4
73,-13,27974,Sung Kang,-1.067,-4.266,4
74,0,35450,Patrick Cantlay,-1.088,-4.353,4
75,0,20472,Alex Cejka,-1.307,-5.229,4
76,-12,01810,Phil Mickelson,-1.392,-5.566,4
