PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
25686,Jason Dufner,2017 the Memorial Tournament presented by Nationwide,-0.0945,0.713,2.671,0.752
1810,Phil Mickelson,2017 the Memorial Tournament presented by Nationwide,-1.3915,0.247,2.036,0.65
25834,Daniel Summerhays,2017 the Memorial Tournament presented by Nationwide,-0.336,0.159,2.201,0.517
37189,Harold Varner III,2017 the Memorial Tournament presented by Nationwide,-0.97875,0.336,2.209,0.225
23108,Matt Kuchar,2017 the Memorial Tournament presented by Nationwide,0.30775,0.266,1.426,1.042
29461,Jamie Lovemark,2017 the Memorial Tournament presented by Nationwide,-0.0835,0.888,0.322,1.414
32102,Rickie Fowler,2017 the Memorial Tournament presented by Nationwide,0.83375,0.486,0.715,1.256
24361,Pat Perez,2017 the Memorial Tournament presented by Nationwide,-0.63125,0.212,0.966,1.244
34046,Jordan Spieth,2017 the Memorial Tournament presented by Nationwide,-0.10425,0.472,1.629,0.294
27896,Ross Fisher,2017 the Memorial Tournament presented by Nationwide,-0.542,0.45,1.084,0.549
29478,Kevin Kisner,2017 the Memorial Tournament presented by Nationwide,0.83575,0.178,2.002,-0.224
34409,David Lingmerth,2017 the Memorial Tournament presented by Nationwide,0.10175,-0.275,1.617,0.597
35450,Patrick Cantlay,2017 the Memorial Tournament presented by Nationwide,-1.08825,0.9,0.73,0.25
34021,Bud Cauley,2017 the Memorial Tournament presented by Nationwide,-0.5685,0.427,1.342,0.091
25804,Bubba Watson,2017 the Memorial Tournament presented by Nationwide,1.03525,0.984,0.424,0.348
27436,Graham DeLaet,2017 the Memorial Tournament presented by Nationwide,0.9305,0.841,0.69,0.079
24024,Zach Johnson,2017 the Memorial Tournament presented by Nationwide,-1.02525,-0.307,0.405,1.468
33448,Justin Thomas,2017 the Memorial Tournament presented by Nationwide,1.51425,-0.126,1.829,-0.176
26851,Marc Leishman,2017 the Memorial Tournament presented by Nationwide,0.5195,1.314,0.364,-0.157
36689,Brooks Koepka,2017 the Memorial Tournament presented by Nationwide,-0.37575,0.429,1.214,-0.226
28089,Jason Day,2017 the Memorial Tournament presented by Nationwide,0.672,0.343,-0.626,1.652
32448,James Hahn,2017 the Memorial Tournament presented by Nationwide,1.49825,-0.119,1.158,0.254
33948,Byeong Hun An,2017 the Memorial Tournament presented by Nationwide,0.0355,-0.347,1.718,-0.116
29484,Peter Uihlein,2017 the Memorial Tournament presented by Nationwide,0.06875,1.373,-0.325,0.174
33204,Shane Lowry,2017 the Memorial Tournament presented by Nationwide,0.85525,0.935,0.242,0.009
34213,Grayson Murray,2017 the Memorial Tournament presented by Nationwide,-0.25875,0.695,0.372,-0.017
31420,Anirban Lahiri,2017 the Memorial Tournament presented by Nationwide,2.261,-0.391,1.921,-0.5
29908,C.T. Pan,2017 the Memorial Tournament presented by Nationwide,-0.46475,0.14,0.932,-0.066
30944,Jason Kokrak,2017 the Memorial Tournament presented by Nationwide,-0.21225,0.171,0.277,0.555
20229,Stewart Cink,2017 the Memorial Tournament presented by Nationwide,0.31475,-0.083,0.896,0.163
24924,Bill Haas,2017 the Memorial Tournament presented by Nationwide,0.32325,0.469,0.546,-0.047
30110,Kyle Stanley,2017 the Memorial Tournament presented by Nationwide,1.873,0.428,-0.395,0.885
20472,Alex Cejka,2017 the Memorial Tournament presented by Nationwide,-1.30725,-0.519,0.754,0.613
32839,Hideki Matsuyama,2017 the Memorial Tournament presented by Nationwide,-0.4875,0.352,0.556,-0.13
45988,Brett Coletta,2017 the Memorial Tournament presented by Nationwide,0.5555,0.336,-0.633,1.033
31323,Gary Woodland,2017 the Memorial Tournament presented by Nationwide,-0.612,-0.119,0.284,0.488
29725,Tony Finau,2017 the Memorial Tournament presented by Nationwide,-0.0825,0.303,0.148,0.172
25240,D.A. Points,2017 the Memorial Tournament presented by Nationwide,-1.04775,0.03,0.596,-0.038
25493,Nick Taylor,2017 the Memorial Tournament presented by Nationwide,-0.5425,0.026,1.108,-0.55
24502,Adam Scott,2017 the Memorial Tournament presented by Nationwide,0.489,-0.243,0.652,0.144
34360,Patrick Reed,2017 the Memorial Tournament presented by Nationwide,-0.90375,0.928,0.498,-0.981
31557,Jim Herman,2017 the Memorial Tournament presented by Nationwide,1.3775,0.026,-0.327,0.715
6527,Steve Stricker,2017 the Memorial Tournament presented by Nationwide,0.13025,0.215,-0.154,0.35
20572,Rod Pampling,2017 the Memorial Tournament presented by Nationwide,-0.8295,0.144,-0.501,0.728
24846,Ricky Barnes,2017 the Memorial Tournament presented by Nationwide,1.19325,-1.109,1.132,0.325
