RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,34358,Jonathan Randolph,2.099,8.396,4
2,0,19803,Ryan Armour,1.922,7.687,4
3,0,37278,Nicholas Lindheim,1.876,7.504,4
4,0,51766,Wyndham Clark,1.816,7.264,4
5,0,47574,Scott Strohmeyer,1.547,6.188,4
6,0,32757,Patton Kizzire,1.540,6.162,4
7,0,24846,Ricky Barnes,1.487,5.948,4
8,0,19846,Brian Gay,1.397,5.589,4
9,0,20593,Greg Chalmers,1.349,5.398,4
10,0,23048,Eric Axley,1.267,5.068,4
11,0,25834,Daniel Summerhays,1.256,5.023,4
12,0,34076,Joel Dahmen,1.207,4.830,4
13,0,30944,Jason Kokrak,1.177,4.710,4
14,0,46440,Smylie Kaufman,1.159,4.637,4
15,0,31560,Brian Stuard,1.105,4.421,4
16,0,32876,Martin Piller,.982,3.929,4
17,0,46550,Brandon Hagy,.979,3.917,4
18,0,31416,Derek Fathauer,.932,3.729,4
19,0,24781,Hunter Mahan,.885,3.540,4
20,0,33418,Shawn Stefani,.829,3.318,4
21,0,31202,William McGirt,.758,3.032,4
22,0,26951,Johnson Wagner,.754,3.015,4
23,0,23325,Vaughn Taylor,.597,2.389,4
24,0,35461,Beau Hossler,.591,2.363,4
25,0,49403,Grady Brame,.552,2.208,4
26,0,36799,Stephan Jaeger,.524,2.098,4
27,0,22371,Aaron Baddeley,.499,1.996,4
28,0,12782,Tim Herron,.488,1.951,4
29,0,39327,Ben Silverman,.486,1.945,4
30,0,34563,Chesson Hadley,.481,1.925,4
31,0,29535,Brice Garnett,.477,1.908,4
32,0,46435,Austin Cook,.459,1.836,4
33,0,40058,Zac Blair,.381,1.523,4
34,0,47504,Sam Burns,.346,1.386,4
35,0,33413,Ben Martin,.309,1.235,4
36,0,22056,Cameron Percy,.256,1.024,4
37,0,46402,Talor Gooch,.240,.959,4
38,0,23541,Ben Crane,.237,.949,4
39,0,28307,Matt Every,.119,.476,4
40,0,39324,J.J. Spaun,.118,.471,4
41,0,28252,Seamus Power,.106,.424,4
42,0,29485,Brett Stegmaier,.072,.288,4
43,0,50526,Tom Lovelady,.047,.190,4
44,0,39004,Dru Love,.011,.045,4
45,0,28780,Nicholas Thompson,.004,.015,4
46,0,45526,Abraham Ancer,-.008,-.032,4
47,0,33419,Cameron Tringale,-.010,-.038,4
48,0,24490,George McNeill,-.013,-.052,4
49,0,26758,David Hearn,-.016,-.065,4
50,0,27942,Rob Oppenheim,-.032,-.128,4
51,0,20848,Ángel Cabrera,-.061,-.245,4
52,0,34466,Peter Malnati,-.085,-.338,4
53,0,28132,Tyrone Van Aswegen,-.128,-.511,4
54,0,47287,Ethan Tracy,-.155,-.619,4
55,0,34256,Andrew Putnam,-.220,-.879,4
56,0,47347,Adam Schenk,-.274,-1.094,4
57,0,49964,Aaron Wise,-.278,-1.113,4
58,0,39997,Corey Conners,-.321,-1.285,4
59,0,49947,Taylor Moore,-.333,-1.330,4
60,0,27466,Spencer Levin,-.361,-1.443,4
61,0,27214,Kevin Streelman,-.388,-1.551,4
62,0,22913,John Rollins,-.436,-1.743,4
63,0,33410,Andrew Landry,-.509,-2.034,4
64,0,20098,Stuart Appleby,-.559,-2.236,4
65,0,27139,David Skinns,-.580,-2.320,4
66,0,47125,Matt Atkins,-.639,-2.554,4
67,0,30926,Chris Kirk,-.752,-3.007,4
68,0,37273,Derek Ernst,-.796,-3.184,4
69,0,39328,Conrad Shindler,-.811,-3.242,4
70,0,29222,Billy Hurley III,-.879,-3.517,4
71,0,49771,J.T. Poston,-1.313,-5.250,4
72,0,08385,Omar Uresti,-1.405,-5.621,4
73,0,28679,Fabián Gómez,-1.419,-5.674,4
74,0,30692,Scott Stallings,-1.477,-5.908,4
75,0,25892,Steve Wheatcroft,-1.758,-7.033,4
