PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
27349,Alex Noren,2017 THE PLAYERS Championship,-1.28625,1.051,1.619,1.027
37455,Si Woo Kim,2017 THE PLAYERS Championship,0.29,1.363,1.027,1.231
24138,Ian Poulter,2017 THE PLAYERS Championship,-0.23575,0.148,1.773,1.476
21209,Sergio Garcia,2017 THE PLAYERS Championship,-1.455,0.825,0.877,0.915
26289,Boo Weekley,2017 THE PLAYERS Championship,-2.10975,0.868,2.258,-0.605
25198,Francesco Molinari,2017 THE PLAYERS Championship,0.23925,0.254,1.934,0.234
29454,Bernd Wiesberger,2017 THE PLAYERS Championship,-0.46125,0.401,1.524,0.447
30110,Kyle Stanley,2017 THE PLAYERS Championship,0.55675,0.662,1.179,0.513
25900,Lucas Glover,2017 THE PLAYERS Championship,0.63225,0.888,0.325,0.815
33413,Ben Martin,2017 THE PLAYERS Championship,-0.84575,0.735,0.873,0.398
31646,Emiliano Grillo,2017 THE PLAYERS Championship,0.26575,0.72,0.993,0.182
24502,Adam Scott,2017 THE PLAYERS Championship,0.90025,0.757,0.92,0.084
25364,Paul Casey,2017 THE PLAYERS Championship,-0.289,0.29,1.677,-0.267
32839,Hideki Matsuyama,2017 THE PLAYERS Championship,-0.21275,0.436,1.243,-0.055
26908,Yuta Ikeda,2017 THE PLAYERS Championship,-0.2025,-0.093,1.735,-0.029
30911,Tommy Fleetwood,2017 THE PLAYERS Championship,-0.88475,0.815,-0.057,0.787
29518,Brendan Steele,2017 THE PLAYERS Championship,1.115,0.587,0.788,0.171
37189,Harold Varner III,2017 THE PLAYERS Championship,-0.53175,0.243,0.997,0.203
46440,Smylie Kaufman,2017 THE PLAYERS Championship,0.542,0.214,1.269,-0.114
26329,Louis Oosthuizen,2017 THE PLAYERS Championship,1.7975,0.206,0.702,0.455
24361,Pat Perez,2017 THE PLAYERS Championship,0.079,-0.335,1.441,0.225
30925,Dustin Johnson,2017 THE PLAYERS Championship,0.62525,0.92,0.337,0.028
34098,Russell Henley,2017 THE PLAYERS Championship,-0.348,0.809,-0.742,1.192
30926,Chris Kirk,2017 THE PLAYERS Championship,0.68575,0.405,0.875,-0.055
34360,Patrick Reed,2017 THE PLAYERS Championship,0.21375,0.262,1.196,-0.261
12716,Charley Hoffman,2017 THE PLAYERS Championship,0.0105,0.639,-0.248,0.759
33419,Cameron Tringale,2017 THE PLAYERS Championship,-0.22025,-1.241,0.89,1.483
24024,Zach Johnson,2017 THE PLAYERS Championship,-0.6095,0.29,1.005,-0.274
35450,Patrick Cantlay,2017 THE PLAYERS Championship,0.40075,1.451,0.555,-0.995
27644,Brian Harman,2017 THE PLAYERS Championship,-0.83225,1.197,-1.129,0.926
26499,Rafa Cabrera Bello,2017 THE PLAYERS Championship,1.944,-0.316,1.075,0.208
31202,William McGirt,2017 THE PLAYERS Championship,0.49325,0.021,0.842,0.054
29221,Webb Simpson,2017 THE PLAYERS Championship,0.7625,0.204,0.35,0.344
33399,Adam Hadwin,2017 THE PLAYERS Championship,0.31025,-0.156,0.896,0.111
32200,Roberto Castro,2017 THE PLAYERS Championship,-0.925,0.142,0.059,0.635
32366,Kevin Chappell,2017 THE PLAYERS Championship,0.149,-0.279,1.136,-0.095
31557,Jim Herman,2017 THE PLAYERS Championship,0.20575,0.361,-0.088,0.433
27974,Sung Kang,2017 THE PLAYERS Championship,0.4895,0.323,1.284,-0.936
20572,Rod Pampling,2017 THE PLAYERS Championship,-0.16675,-0.191,-0.114,0.883
21528,Henrik Stenson,2017 THE PLAYERS Championship,1.1295,0.224,0.459,-0.152
6567,Vijay Singh,2017 THE PLAYERS Championship,1.15575,0.751,-0.528,0.282
29974,Branden Grace,2017 THE PLAYERS Championship,-0.08125,0.166,-0.225,0.551
25632,Jimmy Walker,2017 THE PLAYERS Championship,-0.50425,0.106,0.586,-0.276
35506,Mackenzie Hughes,2017 THE PLAYERS Championship,1.258,0.475,-0.28,0.208
24846,Ricky Barnes,2017 THE PLAYERS Championship,-0.9895,-0.602,1.021,-0.019
36689,Brooks Koepka,2017 THE PLAYERS Championship,1.39775,0.025,0.09,0.148
34363,Tyrrell Hatton,2017 THE PLAYERS Championship,0.598,0.382,-0.238,-0.081
29289,S.Y. Noh,2017 THE PLAYERS Championship,1.38775,-1.206,0.316,0.913
29478,Kevin Kisner,2017 THE PLAYERS Championship,-0.0985,1.181,-0.374,-0.798
1810,Phil Mickelson,2017 THE PLAYERS Championship,0.654,-0.264,0.876,-0.605
22405,Justin Rose,2017 THE PLAYERS Championship,-0.5085,0.028,-0.976,0.868
28237,Rory McIlroy,2017 THE PLAYERS Championship,1.0765,0.616,-0.465,-0.316
25686,Jason Dufner,2017 THE PLAYERS Championship,-0.1685,0.943,0.155,-1.268
