RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,25198,Francesco Molinari,2.879,.820,1.552,.508,4
2,0,30925,Dustin Johnson,2.336,1.065,1.706,-.434,4
3,0,27644,Brian Harman,2.257,.554,.980,.723,4
4,0,29289,S.Y. Noh,1.997,-.081,1.014,1.063,4
5,0,25493,Nick Taylor,1.992,.538,1.257,.197,4
6,0,46970,Jon Rahm,1.973,1.560,.160,.253,4
7,0,33948,Byeong Hun An,1.774,.815,.841,.118,4
8,0,29222,Billy Hurley III,1.700,-.664,1.662,.703,4
9,0,24361,Pat Perez,1.642,-.188,1.434,.396,4
10,0,34431,Robert Streb,1.607,1.031,.109,.467,4
11,0,25240,D.A. Points,1.520,.194,1.201,.126,4
12,0,25364,Paul Casey,1.468,.781,1.046,-.359,4
13,0,32333,Kevin Tway,1.429,.820,.326,.283,4
14,0,49771,J.T. Poston,1.283,.185,.715,.383,4
15,0,46440,Smylie Kaufman,1.275,1.101,-.289,.463,4
16,0,27129,Luke List,1.271,.882,.106,.284,4
17,0,33461,Morgan Hoffmann,1.246,.294,.464,.488,4
18,0,27936,Martin Laird,1.232,-.154,.331,1.056,4
19,0,33413,Ben Martin,1.228,.205,1.238,-.215,4
20,0,23800,Bryce Molder,1.203,-.328,.412,1.119,4
21,0,25191,Gonzalo Fernandez-Castaño,1.100,-.307,.503,.905,4
22,0,40026,Daniel Berger,1.073,.867,.810,-.604,4
23,0,27141,J.B. Holmes,1.020,.479,.122,.419,4
24,0,46550,Brandon Hagy,.947,1.031,.723,-.807,4
25,0,24024,Zach Johnson,.917,.269,.591,.057,4
26,0,34358,Jonathan Randolph,.908,.144,.843,-.080,4
27,0,34360,Patrick Reed,.864,-.770,.944,.690,4
28,0,20157,Retief Goosen,.808,-.490,1.401,-.103,4
29,0,23325,Vaughn Taylor,.783,.015,-.215,.984,4
30,0,30944,Jason Kokrak,.781,.373,.186,.222,4
31,0,27095,Nick Watney,.760,.333,.709,-.281,4
32,0,33204,Shane Lowry,.750,.353,.540,-.142,4
33,0,26476,Chez Reavie,.746,.587,-.972,1.131,4
34,0,27466,Spencer Levin,.708,-.445,.936,.218,4
35,0,27349,Alex Noren,.697,.354,-.180,.523,4
36,0,01810,Phil Mickelson,.663,.256,1.068,-.660,4
37,0,30191,Julián Etulain,.655,-.117,-.418,1.190,4
38,0,34264,Hudson Swafford,.636,.510,.018,.108,4
39,0,48081,Xander Schauffele,.571,1.395,-1.140,.316,4
40,0,28132,Tyrone Van Aswegen,.528,-.354,.512,.370,4
41,0,23497,Tag Ridings,.493,.695,.087,-.289,4
42,0,33418,Shawn Stefani,.482,.215,-.292,.559,4
43,0,19846,Brian Gay,.463,-.847,.362,.948,4
44,0,24502,Adam Scott,.459,.233,.258,-.031,4
45,0,34213,Grayson Murray,.417,1.253,.275,-1.111,4
46,0,34409,David Lingmerth,.406,.055,.035,.316,4
47,0,32448,James Hahn,.320,-.057,.877,-.500,4
48,0,46441,Robby Shelton,.298,.034,-.779,1.044,4
49,0,26499,Rafa Cabrera Bello,.292,.304,-.101,.090,4
50,0,35541,John Peterson,.262,.465,.070,-.273,4
51,0,29476,Kyle Reifers,.257,-.140,.500,-.103,4
52,0,33120,Mark Anderson,.241,.628,-.201,-.185,4
53,0,32757,Patton Kizzire,.136,-.131,.563,-.295,4
54,0,25720,Chad Collins,-.006,-.435,.526,-.096,4
55,0,35110,Brett Drewitt,-.028,-.153,-.026,.151,4
56,0,35506,Mackenzie Hughes,-.035,-.031,-.582,.578,4
57,0,24781,Hunter Mahan,-.048,-.285,.227,.011,4
58,0,31646,Emiliano Grillo,-.049,.322,.828,-1.198,4
59,0,37380,Curtis Luck,-.110,-.227,.354,-.236,4
60,0,28252,Seamus Power,-.131,.364,-.103,-.391,4
61,0,40162,Justin Lower,-.157,-.565,.233,.175,4
62,0,23353,J.J. Henry,-.260,.534,.247,-1.041,4
63,0,25572,Graeme McDowell,-.319,.047,-.465,.100,4
64,0,26300,Matt Jones,-.355,-.234,-.331,.211,4
65,0,20104,Ken Duke,-.554,-.168,.288,-.673,4
66,0,19803,Ryan Armour,-.663,-.117,-.022,-.524,4
67,0,25900,Lucas Glover,-.666,.668,-2.013,.681,4
68,0,27958,Ryan Blaum,-.803,-.168,-.485,-.149,4
69,0,30926,Chris Kirk,-.837,-.828,-.526,.518,4
70,0,29745,Tyler Aldridge,-.936,-.710,-.182,-.044,4
71,0,24846,Ricky Barnes,-1.026,-1.255,-.279,.509,4
72,0,40058,Zac Blair,-1.236,-1.026,.254,-.463,4
73,0,29740,Brad Fritsch,-1.407,-.652,-.989,.234,4
74,0,28093,Miguel Angel Carballo,-1.866,-.214,-.735,-.917,4
