RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,26329,Louis Oosthuizen,86.36,19,22
2,57,32102,Rickie Fowler,76.19,16,21
3,0,28237,Rory McIlroy,75.86,22,29
4,0,26851,Marc Leishman,72.00,18,25
4,0,32839,Hideki Matsuyama,72.00,18,25
6,0,12716,Charley Hoffman,70.00,14,20
6,3,34046,Jordan Spieth,70.00,14,20
8,0,35891,Cameron Smith,69.57,16,23
9,0,28089,Jason Day,68.00,17,25
10,0,01226,Fred Couples,66.67,18,27
11,0,30925,Dustin Johnson,65.22,15,23
11,0,01666,Bernhard Langer,65.22,15,23
11,0,26596,Ryan Moore,65.22,15,23
14,0,48081,Xander Schauffele,63.33,19,30
15,0,25364,Paul Casey,62.96,17,27
16,0,34360,Patrick Reed,62.50,15,24
16,0,25804,Bubba Watson,62.50,10,16
18,-13,29725,Tony Finau,62.07,18,29
18,0,37455,Si Woo Kim,62.07,18,29
20,8,23108,Matt Kuchar,61.29,19,31
21,0,46970,Jon Rahm,60.87,14,23
22,0,27064,Jhonattan Vegas,60.71,17,28
23,0,47959,Bryson DeChambeau,60.00,15,25
24,0,29974,Branden Grace,59.26,16,27
25,0,25198,Francesco Molinari,59.09,13,22
26,0,33448,Justin Thomas,57.89,11,19
27,0,30110,Kyle Stanley,57.14,12,21
27,-19,21528,Henrik Stenson,57.14,12,21
29,0,24502,Adam Scott,56.52,13,23
30,0,35296,Haotong Li,56.00,14,25
30,0,25632,Jimmy Walker,56.00,14,25
32,0,32816,Satoshi Kodaira,55.17,16,29
32,-20,01810,Phil Mickelson,55.17,16,29
32,0,26476,Chez Reavie,55.17,16,29
32,0,06567,Vijay Singh,55.17,16,29
36,0,30911,Tommy Fleetwood,54.55,12,22
36,0,33399,Adam Hadwin,54.55,12,22
38,0,27408,Martin Kaymer,53.57,15,28
39,0,30978,Kiradech Aphibarnrat,53.33,16,30
40,-19,22405,Justin Rose,52.63,10,19
41,0,34363,Tyrrell Hatton,51.72,15,29
42,0,29478,Kevin Kisner,51.61,16,31
43,-39,40026,Daniel Berger,50.00,13,26
43,0,40098,Matt Fitzpatrick,50.00,14,28
43,0,29221,Webb Simpson,50.00,15,30
43,0,08793,Tiger Woods,50.00,12,24
47,0,24024,Zach Johnson,48.00,12,25
48,0,29454,Bernd Wiesberger,45.00,9,20
49,0,26499,Rafa Cabrera Bello,44.00,11,25
50,0,27644,Brian Harman,42.86,12,28
51,0,52375,Doug Ghim,36.36,12,33
52,-5,34098,Russell Henley,33.33,7,21
53,-39,24138,Ian Poulter,29.63,8,27
