RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,57,26499,Rafa Cabrera Bello,26.75,107,4,24
2,8,35891,Cameron Smith,27.00,108,4,24
3,49,36689,Brooks Koepka,27.25,109,4,25
3,0,48887,Matt Wallace,27.25,109,4,25
3,18,08793,Tiger Woods,27.25,109,4,23
6,65,32816,Satoshi Kodaira,27.50,110,4,26
6,0,29772,Michael Lorenzo-Vera,27.50,110,4,23
6,0,22405,Justin Rose,27.50,110,4,25
9,20,25396,Kevin Na,27.75,111,4,25
9,0,25632,Jimmy Walker,27.75,111,4,27
11,24,29725,Tony Finau,28.00,112,4,26
11,10,30925,Dustin Johnson,28.00,112,4,26
11,18,34046,Jordan Spieth,28.00,112,4,26
14,21,27644,Brian Harman,28.25,113,4,24
14,-13,28237,Rory McIlroy,28.25,113,4,26
14,29,25198,Francesco Molinari,28.25,113,4,26
14,30,27556,Ted Potter Jr.,28.25,113,4,25
14,0,27963,Chris Stroud,28.25,113,4,26
19,0,29970,Dylan Frittelli,28.50,114,4,25
19,2,24024,Zach Johnson,28.50,114,4,24
19,0,30926,Chris Kirk,28.50,114,4,26
19,-3,24138,Ian Poulter,28.50,114,4,27
19,0,46501,Ollie Schniederjans,28.50,114,4,28
19,25,24502,Adam Scott,28.50,114,4,26
19,47,31323,Gary Woodland,28.50,114,4,26
26,0,29479,Scott Brown,28.75,115,4,26
26,0,29936,Ryan Fox,28.75,115,4,26
26,43,29974,Branden Grace,28.75,115,4,28
26,0,21961,Charles Howell III,28.75,115,4,27
26,0,39971,Sungjae Im,28.75,115,4,25
26,-10,26851,Marc Leishman,28.75,115,4,28
26,-16,32839,Hideki Matsuyama,28.75,115,4,28
26,-5,24361,Pat Perez,28.75,115,4,26
26,-10,26331,Charl Schwartzel,28.75,115,4,24
26,34,35225,Brandon Stone,28.75,115,4,26
36,12,40026,Daniel Berger,29.00,116,4,27
36,0,20229,Stewart Cink,29.00,116,4,28
36,-1,46435,Austin Cook,29.00,116,4,27
36,0,33293,Thomas Pieters,29.00,116,4,26
36,-26,33448,Justin Thomas,29.00,116,4,28
41,7,33948,Byeong Hun An,29.25,117,4,26
41,29,32366,Kevin Chappell,29.25,117,4,26
41,0,19846,Brian Gay,29.25,117,4,27
41,-34,31646,Emiliano Grillo,29.25,117,4,28
41,-36,29478,Kevin Kisner,29.25,117,4,27
41,-6,33122,Russell Knox,29.25,117,4,28
41,0,33204,Shane Lowry,29.25,117,4,24
41,0,26596,Ryan Moore,29.25,117,4,28
49,-28,28089,Jason Day,29.50,118,4,26
49,0,34098,Russell Henley,29.50,118,4,27
49,11,46970,Jon Rahm,29.50,118,4,27
49,0,26476,Chez Reavie,29.50,118,4,27
49,17,48081,Xander Schauffele,29.50,118,4,28
49,-47,29221,Webb Simpson,29.50,118,4,27
49,0,27649,Brandt Snedeker,29.50,118,4,26
49,0,39324,J.J. Spaun,29.50,118,4,28
57,-9,32102,Rickie Fowler,29.75,119,4,28
57,0,10809,Jim Furyk,29.75,119,4,28
57,0,29535,Brice Garnett,29.75,119,4,28
57,0,27324,Seungsu Han,29.75,119,4,28
57,0,29420,Billy Horschel,29.75,119,4,26
57,0,45486,Joaquin Niemann,29.75,119,4,28
57,-22,33968,Thorbjørn Olesen,29.75,119,4,28
64,0,33141,Keegan Bradley,30.00,120,4,28
64,-20,30911,Tommy Fleetwood,30.00,120,4,27
64,0,27408,Martin Kaymer,30.00,120,4,28
64,0,34709,Eddie Pepperell,30.00,120,4,26
64,0,06567,Vijay Singh,30.00,120,4,26
69,-40,35450,Patrick Cantlay,30.25,121,4,28
69,-59,34363,Tyrrell Hatton,30.25,121,4,28
71,0,26908,Yuta Ikeda,30.50,122,4,26
71,-61,33410,Andrew Landry,30.50,122,4,24
71,0,34575,Adrian Otaegui,30.50,122,4,29
71,0,45478,Julian Suri,30.50,122,4,30
71,0,27095,Nick Watney,30.50,122,4,28
76,0,55752,Ben Kern,30.75,123,4,30
76,0,34256,Andrew Putnam,30.75,123,4,28
76,-24,27064,Jhonattan Vegas,30.75,123,4,29
79,0,30944,Jason Kokrak,31.00,124,4,30
80,-28,27896,Ross Fisher,31.25,125,4,29
