RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,29478,Kevin Kisner,26.75,107,4,22
2,0,45478,Julian Suri,27.00,108,4,25
3,0,48081,Xander Schauffele,27.50,110,4,24
4,0,32102,Rickie Fowler,27.75,111,4,26
4,10,25198,Francesco Molinari,27.75,111,4,27
4,0,34360,Patrick Reed,27.75,111,4,26
7,0,46567,Paul Dunne,28.25,113,4,27
7,-5,39975,Michael Kim,28.25,113,4,26
7,0,23108,Matt Kuchar,28.25,113,4,24
7,0,24361,Pat Perez,28.25,113,4,26
7,0,22405,Justin Rose,28.25,113,4,25
12,0,28089,Jason Day,28.50,114,4,25
12,0,28237,Rory McIlroy,28.50,114,4,26
12,19,26596,Ryan Moore,28.50,114,4,27
15,0,32366,Kevin Chappell,28.75,115,4,26
15,0,26328,Shaun Norris,28.75,115,4,24
15,0,39113,Shubhankar Sharma,28.75,115,4,25
15,0,35891,Cameron Smith,28.75,115,4,27
15,0,34046,Jordan Spieth,28.75,115,4,25
15,0,22000,Chris Wood,28.75,115,4,25
21,0,26851,Marc Leishman,29.00,116,4,25
21,0,55647,Sam Locke,29.00,116,4,26
21,0,23797,Brett Rumford,29.00,116,4,27
24,0,47959,Bryson DeChambeau,29.25,117,4,28
24,0,29936,Ryan Fox,29.25,117,4,27
24,-15,24024,Zach Johnson,29.25,117,4,28
24,0,32816,Satoshi Kodaira,29.25,117,4,28
24,0,36689,Brooks Koepka,29.25,117,4,26
24,0,34709,Eddie Pepperell,29.25,117,4,27
24,0,33293,Thomas Pieters,29.25,117,4,26
24,0,24502,Adam Scott,29.25,117,4,28
32,0,39524,Sean Crocker,29.50,118,4,28
32,0,45157,Cam Davis,29.50,118,4,28
32,0,33399,Adam Hadwin,29.50,118,4,28
32,0,27974,Sung Kang,29.50,118,4,28
32,0,25396,Kevin Na,29.50,118,4,27
32,0,27349,Alex Noren,29.50,118,4,25
32,0,08793,Tiger Woods,29.50,118,4,28
39,0,30978,Kiradech Aphibarnrat,29.75,119,4,28
39,0,20229,Stewart Cink,29.75,119,4,29
39,0,12716,Charley Hoffman,29.75,119,4,29
42,0,01810,Phil Mickelson,30.00,120,4,27
42,0,23821,Yusaku Miyazato,30.00,120,4,28
42,0,33968,Thorbjørn Olesen,30.00,120,4,27
45,0,35450,Patrick Cantlay,30.25,121,4,30
45,0,30907,Rhys Enoch,30.25,121,4,27
45,0,35296,Haotong Li,30.25,121,4,28
45,0,29221,Webb Simpson,30.25,121,4,28
45,0,21528,Henrik Stenson,30.25,121,4,29
45,0,40006,Erik van Rooyen,30.25,121,4,29
51,0,33948,Byeong Hun An,30.50,122,4,27
51,-37,46435,Austin Cook,30.50,122,4,28
51,0,27896,Ross Fisher,30.50,122,4,28
51,0,31273,Gavin Kyle Green,30.50,122,4,30
51,0,39058,Lucas Herbert,30.50,122,4,28
51,0,32815,Masahiro Kawamura,30.50,122,4,29
51,0,27129,Luke List,30.50,122,4,27
58,0,25364,Paul Casey,30.75,123,4,29
58,0,30911,Tommy Fleetwood,30.75,123,4,26
58,0,35104,Tom Lewis,30.75,123,4,28
58,0,37447,Zander Lombard,30.75,123,4,28
62,0,26499,Rafa Cabrera Bello,31.00,124,4,30
62,0,26908,Yuta Ikeda,31.00,124,4,28
62,0,37455,Si Woo Kim,31.00,124,4,30
62,0,46404,Marcus Kinhult,31.00,124,4,30
62,0,35174,Matthew Southgate,31.00,124,4,27
67,0,33141,Keegan Bradley,31.25,125,4,27
67,0,25686,Jason Dufner,31.25,125,4,28
67,0,01666,Bernhard Langer,31.25,125,4,30
70,0,29725,Tony Finau,31.50,126,4,29
70,0,34363,Tyrrell Hatton,31.50,126,4,29
70,0,35225,Brandon Stone,31.50,126,4,27
70,0,20396,Lee Westwood,31.50,126,4,28
70,0,32139,Danny Willett,31.50,126,4,28
75,0,35461,Beau Hossler,31.75,127,4,31
76,0,26329,Louis Oosthuizen,32.25,129,4,30
76,0,30110,Kyle Stanley,32.25,129,4,31
76,0,29518,Brendan Steele,32.25,129,4,30
76,0,31323,Gary Woodland,32.25,129,4,29
