RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,43,29221,Webb Simpson,2.342,9.368,4
2,0,26476,Chez Reavie,1.923,7.694,4
3,47,25686,Jason Dufner,1.864,7.455,4
4,32,34563,Chesson Hadley,1.751,7.003,4
5,50,37189,Harold Varner III,1.742,6.967,4
6,51,33204,Shane Lowry,1.477,5.909,4
7,0,24138,Ian Poulter,1.452,5.809,4
8,0,29926,Danny Lee,1.428,5.714,4
9,0,30978,Kiradech Aphibarnrat,1.366,5.464,4
10,0,39954,Cody Gribble,1.309,5.235,4
11,29,46435,Austin Cook,1.306,5.225,4
12,0,27936,Martin Laird,1.302,5.207,4
13,0,29420,Billy Horschel,1.223,4.892,4
14,0,23320,Ryan Palmer,1.200,4.801,4
15,0,33410,Andrew Landry,1.198,4.791,4
16,22,21961,Charles Howell III,1.186,4.745,4
17,0,27556,Ted Potter Jr.,1.044,4.178,4
18,0,30911,Tommy Fleetwood,1.032,4.128,4
19,0,25632,Jimmy Walker,1.020,4.080,4
19,53,08793,Tiger Woods,1.020,4.080,4
21,0,28132,Tyrone Van Aswegen,.970,3.879,4
22,0,33141,Keegan Bradley,.832,3.328,4
23,-21,28089,Jason Day,.828,3.312,4
24,0,29479,Scott Brown,.814,3.256,4
25,-6,26331,Charl Schwartzel,.805,3.219,4
26,-19,27095,Nick Watney,.670,2.679,4
27,0,27349,Alex Noren,.666,2.666,4
28,0,24502,Adam Scott,.590,2.362,4
29,-6,33399,Adam Hadwin,.470,1.879,4
30,9,36689,Brooks Koepka,.457,1.827,4
31,0,30925,Dustin Johnson,.456,1.823,4
32,0,29974,Branden Grace,.435,1.739,4
33,0,40098,Matt Fitzpatrick,.425,1.700,4
34,0,29908,C.T. Pan,.410,1.639,4
35,-14,27064,Jhonattan Vegas,.367,1.467,4
36,6,31646,Emiliano Grillo,.322,1.288,4
37,0,23108,Matt Kuchar,.321,1.286,4
38,-10,23621,Rory Sabbatini,.297,1.189,4
39,0,21528,Henrik Stenson,.279,1.117,4
40,0,06527,Steve Stricker,.255,1.021,4
41,8,33448,Justin Thomas,.244,.975,4
42,0,26499,Rafa Cabrera Bello,.243,.971,4
43,0,47128,Richy Werenski,.222,.888,4
44,7,27896,Ross Fisher,.212,.847,4
45,24,27963,Chris Stroud,.183,.734,4
46,0,22405,Justin Rose,.182,.727,4
47,26,34213,Grayson Murray,.181,.723,4
48,23,33948,Byeong Hun An,.178,.712,4
49,-23,35506,Mackenzie Hughes,.170,.682,4
50,-39,29725,Tony Finau,.151,.605,4
51,23,29535,Brice Garnett,.060,.241,4
52,0,25396,Kevin Na,.046,.186,4
53,-49,47959,Bryson DeChambeau,.003,.011,4
54,0,32333,Kevin Tway,-.111,-.443,4
55,-39,34360,Patrick Reed,-.128,-.510,4
56,0,21209,Sergio Garcia,-.159,-.637,4
57,0,29461,Jamie Lovemark,-.162,-.646,4
58,0,25804,Bubba Watson,-.224,-.897,4
59,7,48081,Xander Schauffele,-.307,-1.227,4
60,0,34046,Jordan Spieth,-.360,-1.439,4
61,0,37455,Si Woo Kim,-.378,-1.511,4
62,0,30944,Jason Kokrak,-.405,-1.621,4
63,-7,40026,Daniel Berger,-.472,-1.888,4
64,0,30926,Chris Kirk,-.556,-2.224,4
65,0,35450,Patrick Cantlay,-.657,-2.626,4
66,0,23353,J.J. Henry,-1.118,-4.471,4
67,-30,35421,Brandon Harkins,-1.192,-4.768,4
68,0,26851,Marc Leishman,-1.333,-5.330,4
69,0,46970,Jon Rahm,-1.538,-6.151,4
70,0,26596,Ryan Moore,-1.603,-6.412,4
71,-36,35461,Beau Hossler,-1.780,-7.119,4
