RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,24502,Adam Scott,80.00,16,20
2,20,36689,Brooks Koepka,78.95,15,19
3,-1,28089,Jason Day,77.27,17,22
4,0,30978,Kiradech Aphibarnrat,76.67,23,30
5,0,29926,Danny Lee,76.00,19,25
6,49,48081,Xander Schauffele,75.00,15,20
6,35,26331,Charl Schwartzel,75.00,12,16
8,31,27963,Chris Stroud,72.41,21,29
9,13,25686,Jason Dufner,70.83,17,24
10,0,30926,Chris Kirk,70.59,12,17
11,0,24138,Ian Poulter,69.57,16,23
11,-8,34360,Patrick Reed,69.57,16,23
11,0,25632,Jimmy Walker,69.57,16,23
14,-6,33448,Justin Thomas,69.23,18,26
15,-8,34213,Grayson Murray,68.18,15,22
16,28,33948,Byeong Hun An,66.67,14,21
16,-2,21961,Charles Howell III,66.67,14,21
16,0,23320,Ryan Palmer,66.67,16,24
16,0,21528,Henrik Stenson,66.67,8,12
16,0,32333,Kevin Tway,66.67,14,21
21,-1,27556,Ted Potter Jr.,65.22,15,23
22,0,30925,Dustin Johnson,65.00,13,20
22,0,27349,Alex Noren,65.00,13,20
24,-11,29221,Webb Simpson,64.71,11,17
25,-14,33204,Shane Lowry,63.64,14,22
25,-16,08793,Tiger Woods,63.64,14,22
27,0,26476,Chez Reavie,62.50,15,24
28,0,33410,Andrew Landry,61.54,16,26
29,3,47959,Bryson DeChambeau,60.87,14,23
30,0,29420,Billy Horschel,59.26,16,27
31,0,33141,Keegan Bradley,58.33,14,24
31,0,29461,Jamie Lovemark,58.33,14,24
33,20,35461,Beau Hossler,57.89,11,19
34,-13,23621,Rory Sabbatini,56.52,13,23
34,0,25804,Bubba Watson,56.52,13,23
36,0,21209,Sergio Garcia,56.00,14,25
36,10,34563,Chesson Hadley,56.00,14,25
36,0,26851,Marc Leishman,56.00,14,25
39,0,29974,Branden Grace,55.56,10,18
39,0,26596,Ryan Moore,55.56,10,18
41,0,34046,Jordan Spieth,55.00,11,20
42,0,22405,Justin Rose,54.17,13,24
43,0,28132,Tyrone Van Aswegen,53.85,14,26
44,0,40098,Matt Fitzpatrick,52.94,9,17
45,0,39954,Cody Gribble,52.63,10,19
46,-24,33399,Adam Hadwin,52.38,11,21
46,0,29908,C.T. Pan,52.38,11,21
46,10,27095,Nick Watney,52.38,11,21
49,2,31646,Emiliano Grillo,52.17,12,23
49,0,30944,Jason Kokrak,52.17,12,23
51,-21,37189,Harold Varner III,52.00,13,25
52,0,35450,Patrick Cantlay,50.00,10,20
52,23,29535,Brice Garnett,50.00,10,20
52,0,23108,Matt Kuchar,50.00,9,18
52,0,46970,Jon Rahm,50.00,9,18
52,0,47128,Richy Werenski,50.00,7,14
57,-6,35506,Mackenzie Hughes,47.83,11,23
58,3,35421,Brandon Harkins,47.62,10,21
59,-27,27064,Jhonattan Vegas,47.37,9,19
60,-12,29725,Tony Finau,47.06,8,17
61,-39,46435,Austin Cook,45.83,11,24
62,5,27896,Ross Fisher,45.00,9,20
63,0,29479,Scott Brown,44.44,8,18
63,0,30911,Tommy Fleetwood,44.44,8,18
63,0,23353,J.J. Henry,44.44,8,18
66,0,27936,Martin Laird,44.00,11,25
67,0,26499,Rafa Cabrera Bello,42.86,9,21
68,-22,40026,Daniel Berger,41.18,7,17
69,0,37455,Si Woo Kim,40.91,9,22
70,0,25396,Kevin Na,39.13,9,23
71,0,06527,Steve Stricker,26.67,4,15
