RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,30925,Dustin Johnson,313.3,2506,8
2,15,36689,Brooks Koepka,308.9,2471,8
3,11,28089,Jason Day,308.3,2466,8
4,21,29725,Tony Finau,307.6,2461,8
5,0,24502,Adam Scott,305.5,2444,8
6,13,27095,Nick Watney,304.4,2435,8
6,0,25804,Bubba Watson,304.4,2435,8
8,0,46970,Jon Rahm,304.1,2433,8
9,0,30944,Jason Kokrak,304.0,2432,8
10,-5,33948,Byeong Hun An,303.9,2431,8
11,19,21961,Charles Howell III,303.4,2427,8
12,0,32333,Kevin Tway,303.3,2426,8
12,0,25632,Jimmy Walker,303.3,2426,8
14,-3,34213,Grayson Murray,302.0,2416,8
15,26,34563,Chesson Hadley,301.1,2409,8
16,0,29461,Jamie Lovemark,300.9,2407,8
17,24,35421,Brandon Harkins,300.8,2406,8
18,20,33204,Shane Lowry,300.0,2400,8
18,0,22405,Justin Rose,300.0,2400,8
20,29,26331,Charl Schwartzel,299.3,2394,8
21,16,25686,Jason Dufner,298.5,2388,8
22,-19,33448,Justin Thomas,298.1,2385,8
23,23,35461,Beau Hossler,297.8,2382,8
24,0,35450,Patrick Cantlay,297.6,2381,8
25,0,39954,Cody Gribble,297.5,2380,8
26,-19,08793,Tiger Woods,297.3,2378,8
27,0,34046,Jordan Spieth,296.5,2372,8
28,-16,27896,Ross Fisher,294.8,2358,8
29,0,28132,Tyrone Van Aswegen,294.4,2355,8
30,0,26499,Rafa Cabrera Bello,293.9,2351,8
31,-25,47959,Bryson DeChambeau,293.8,2350,8
32,43,33399,Adam Hadwin,293.4,2347,8
32,0,27936,Martin Laird,293.4,2347,8
32,-19,37189,Harold Varner III,293.4,2347,8
35,-8,35506,Mackenzie Hughes,292.6,2341,8
36,0,29420,Billy Horschel,292.5,2340,8
37,-22,48081,Xander Schauffele,292.4,2339,8
38,0,30978,Kiradech Aphibarnrat,292.1,2337,8
39,-19,27064,Jhonattan Vegas,291.9,2335,8
40,0,33410,Andrew Landry,291.0,2328,8
41,0,30911,Tommy Fleetwood,290.9,2327,8
42,0,29974,Branden Grace,290.6,2325,8
43,1,40026,Daniel Berger,290.5,2324,8
43,0,21209,Sergio Garcia,290.5,2324,8
45,0,37455,Si Woo Kim,290.3,2322,8
46,0,23353,J.J. Henry,289.1,2313,8
47,16,27963,Chris Stroud,288.9,2311,8
48,0,25396,Kevin Na,288.6,2309,8
49,0,33141,Keegan Bradley,288.5,2308,8
50,0,40098,Matt Fitzpatrick,288.1,2305,8
51,-15,29535,Brice Garnett,287.6,2301,8
51,-1,31646,Emiliano Grillo,287.6,2301,8
53,0,30926,Chris Kirk,287.0,2296,8
54,0,26851,Marc Leishman,286.8,2294,8
54,0,29908,C.T. Pan,286.8,2294,8
56,0,29926,Danny Lee,286.5,2292,8
57,-23,34360,Patrick Reed,285.9,2287,8
58,0,06527,Steve Stricker,285.6,2285,8
59,0,23320,Ryan Palmer,285.1,2281,8
60,-17,46435,Austin Cook,284.9,2279,8
60,0,23108,Matt Kuchar,284.9,2279,8
62,0,27349,Alex Noren,284.4,2275,8
63,0,29479,Scott Brown,283.6,2269,8
63,0,47128,Richy Werenski,283.6,2269,8
65,0,26476,Chez Reavie,282.9,2263,8
66,0,21528,Henrik Stenson,282.4,2259,8
67,-3,27556,Ted Potter Jr.,282.1,2257,8
68,0,24138,Ian Poulter,281.9,2255,8
68,-15,23621,Rory Sabbatini,281.9,2255,8
70,0,26596,Ryan Moore,281.5,2252,8
71,-20,29221,Webb Simpson,280.5,2244,8
