PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
48081,Xander Schauffele,2018 The Players Championship,-0.30675,0.095,1.373,1.614
26596,Ryan Moore,2018 The Players Championship,-1.603,0.375,1.656,0.847
35461,Beau Hossler,2018 The Players Championship,-1.77975,1.053,0.539,0.713
35450,Patrick Cantlay,2018 The Players Championship,-0.6565,0.547,-0.089,1.724
26331,Charl Schwartzel,2018 The Players Championship,0.80475,0.76,1.234,-0.023
29461,Jamie Lovemark,2018 The Players Championship,-0.1615,0.56,0.484,0.893
33448,Justin Thomas,2018 The Players Championship,0.24375,0.255,0.441,1.086
25632,Jimmy Walker,2018 The Players Championship,1.02,0.442,0.532,0.781
28089,Jason Day,2018 The Players Championship,0.828,0.761,0.173,0.764
36689,Brooks Koepka,2018 The Players Championship,0.45675,0.795,0.645,0.128
46970,Jon Rahm,2018 The Players Championship,-1.53775,0.631,0.581,0.35
26499,Rafa Cabrera Bello,2018 The Players Championship,0.24275,0.758,0.51,0.264
23108,Matt Kuchar,2018 The Players Championship,0.3215,-0.027,1.096,0.384
33141,Keegan Bradley,2018 The Players Championship,0.832,-0.349,1.634,0.158
24502,Adam Scott,2018 The Players Championship,0.5905,0.392,0.736,0.306
29221,Webb Simpson,2018 The Players Championship,2.342,0.367,-0.181,1.247
26851,Marc Leishman,2018 The Players Championship,-1.3325,-0.345,0.718,0.985
22405,Justin Rose,2018 The Players Championship,0.18175,0.644,0.366,0.333
30925,Dustin Johnson,2018 The Players Championship,0.45575,0.951,-0.099,0.468
47128,Richy Werenski,2018 The Players Championship,0.222,0.754,1.149,-0.6
6527,Steve Stricker,2018 The Players Championship,0.25525,-0.032,1.199,0.104
21528,Henrik Stenson,2018 The Players Championship,0.27925,0.387,0.523,0.336
30911,Tommy Fleetwood,2018 The Players Championship,1.032,-0.08,1.05,0.273
34046,Jordan Spieth,2018 The Players Championship,-0.35975,0.571,0.107,0.456
27349,Alex Noren,2018 The Players Championship,0.6665,0.255,0.845,0.01
33948,Byeong Hun An,2018 The Players Championship,0.178,0.613,0.271,0.213
34213,Grayson Murray,2018 The Players Championship,0.18075,1.322,-0.408,0.181
30926,Chris Kirk,2018 The Players Championship,-0.556,-0.135,0.634,0.583
47959,Bryson DeChambeau,2018 The Players Championship,0.00275,0.539,0.189,0.295
8793,Tiger Woods,2018 The Players Championship,1.02,0.143,0.177,0.685
23621,Rory Sabbatini,2018 The Players Championship,0.29725,0.634,0.09,0.254
30944,Jason Kokrak,2018 The Players Championship,-0.40525,0.036,1.2,-0.305
34360,Patrick Reed,2018 The Players Championship,-0.1275,0.157,0.678,0.068
29926,Danny Lee,2018 The Players Championship,1.4285,-0.499,0.994,0.352
40026,Daniel Berger,2018 The Players Championship,-0.472,-0.854,1.886,-0.285
35421,Brandon Harkins,2018 The Players Championship,-1.192,-0.567,1.504,-0.22
29535,Brice Garnett,2018 The Players Championship,0.06025,0.664,0.042,0.009
29479,Scott Brown,2018 The Players Championship,0.814,-0.625,1.291,0.045
31646,Emiliano Grillo,2018 The Players Championship,0.322,-0.454,1.237,-0.08
25686,Jason Dufner,2018 The Players Championship,1.86375,1.023,0.214,-0.575
23353,J.J. Henry,2018 The Players Championship,-1.11775,0.353,0.169,0.121
32333,Kevin Tway,2018 The Players Championship,-0.11075,-0.957,0.741,0.852
21961,Charles Howell III,2018 The Players Championship,1.18625,0.117,0.347,0.125
24138,Ian Poulter,2018 The Players Championship,1.45225,-0.075,-0.028,0.676
37189,Harold Varner III,2018 The Players Championship,1.74175,0.436,-0.323,0.421
25804,Bubba Watson,2018 The Players Championship,-0.22425,0.308,-0.035,0.226
25396,Kevin Na,2018 The Players Championship,0.0465,-0.487,0.237,0.728
27064,Jhonattan Vegas,2018 The Players Championship,0.36675,0.421,0.683,-0.695
37455,Si Woo Kim,2018 The Players Championship,-0.37775,0.594,-0.868,0.677
27095,Nick Watney,2018 The Players Championship,0.66975,0.074,0.335,-0.053
27963,Chris Stroud,2018 The Players Championship,0.1835,-0.564,0.914,-0.008
23320,Ryan Palmer,2018 The Players Championship,1.20025,0.383,-0.109,0.051
34563,Chesson Hadley,2018 The Players Championship,1.75075,-0.038,0.802,-0.489
29725,Tony Finau,2018 The Players Championship,0.15125,0.229,0.415,-0.52
29908,C.T. Pan,2018 The Players Championship,0.40975,0.378,-0.007,-0.256
35506,Mackenzie Hughes,2018 The Players Championship,0.1705,0.305,1.025,-1.226
40098,Matt Fitzpatrick,2018 The Players Championship,0.425,-0.085,0.408,-0.222
29974,Branden Grace,2018 The Players Championship,0.43475,-0.459,0.453,0.097
39954,Cody Gribble,2018 The Players Championship,1.30875,-0.016,0.058,-0.076
30978,Kiradech Aphibarnrat,2018 The Players Championship,1.366,0.455,-1.159,0.614
33399,Adam Hadwin,2018 The Players Championship,0.46975,0.802,0.002,-0.999
29420,Billy Horschel,2018 The Players Championship,1.223,0.469,-0.116,-0.55
27556,Ted Potter Jr.,2018 The Players Championship,1.0445,0.069,-1.328,0.99
21209,Sergio Garcia,2018 The Players Championship,-0.15925,-0.889,0.396,-0.072
26476,Chez Reavie,2018 The Players Championship,1.9235,0.136,0.432,-1.216
46435,Austin Cook,2018 The Players Championship,1.30625,-0.874,0.79,-0.697
33204,Shane Lowry,2018 The Players Championship,1.47725,-0.684,-0.883,0.615
27936,Martin Laird,2018 The Players Championship,1.30175,0.126,-0.3,-0.853
27896,Ross Fisher,2018 The Players Championship,0.21175,-1.51,0.256,0.068
28132,Tyrone Van Aswegen,2018 The Players Championship,0.96975,-1.161,-0.198,0.165
33410,Andrew Landry,2018 The Players Championship,1.19775,0.393,-1.289,-0.776
