RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,29936,Ryan Fox,318.8,2550,8
2,25,36689,Brooks Koepka,318.3,2546,8
3,0,31323,Gary Woodland,314.9,2519,8
4,0,27064,Jhonattan Vegas,313.1,2505,8
5,-4,30925,Dustin Johnson,312.4,2499,8
6,0,33974,Dean Burmester,312.3,2498,8
7,0,35296,Haotong Li,310.5,2484,8
8,0,33448,Justin Thomas,310.4,2483,8
9,0,29725,Tony Finau,310.1,2481,8
10,0,48081,Xander Schauffele,309.0,2472,8
11,0,25632,Jimmy Walker,308.9,2471,8
12,0,47959,Bryson DeChambeau,308.4,2467,8
13,0,30911,Tommy Fleetwood,307.5,2460,8
14,0,34363,Tyrrell Hatton,307.0,2456,8
15,0,36699,Patrick Rodgers,306.9,2455,8
15,0,29518,Brendan Steele,306.9,2455,8
17,-10,29484,Peter Uihlein,306.4,2451,8
18,0,48153,Matthieu Pavon,306.3,2450,8
19,0,12716,Charley Hoffman,305.9,2447,8
20,-18,21961,Charles Howell III,305.6,2445,8
20,0,25818,Scott Piercy,305.6,2445,8
22,0,39537,Chris Naegel,305.3,2442,8
23,0,25364,Paul Casey,305.1,2441,8
24,0,32366,Kevin Chappell,304.4,2435,8
25,0,26329,Louis Oosthuizen,304.0,2432,8
26,0,34242,Andrew Johnston,303.8,2430,8
27,0,36685,Cameron Wilson,303.1,2425,8
28,0,54318,Matt Parziale,302.6,2421,8
29,0,26851,Marc Leishman,301.9,2415,8
30,0,34098,Russell Henley,301.6,2413,8
31,0,32839,Hideki Matsuyama,301.5,2412,8
31,0,25198,Francesco Molinari,301.5,2412,8
33,0,27349,Alex Noren,301.4,2411,8
34,0,33948,Byeong Hun An,301.0,2408,8
35,0,22405,Justin Rose,300.6,2405,8
36,0,24138,Ian Poulter,300.3,2402,8
37,0,27896,Ross Fisher,300.0,2400,8
38,0,26499,Rafa Cabrera Bello,299.6,2397,8
39,0,25686,Jason Dufner,299.3,2394,8
40,0,47504,Sam Burns,298.4,2387,8
41,0,48126,Calum Hill,298.1,2385,8
42,0,29974,Branden Grace,297.4,2379,8
43,20,21528,Henrik Stenson,297.1,2377,8
44,0,29221,Webb Simpson,296.6,2373,8
45,0,30978,Kiradech Aphibarnrat,296.3,2370,8
46,0,24924,Bill Haas,296.0,2368,8
47,0,34360,Patrick Reed,295.1,2361,8
48,0,35450,Patrick Cantlay,295.0,2360,8
48,-12,27649,Brandt Snedeker,295.0,2360,8
50,-10,19846,Brian Gay,294.6,2357,8
51,0,40098,Matt Fitzpatrick,294.4,2355,8
52,12,06527,Steve Stricker,293.8,2350,8
53,-8,45609,Tyler Duncan,293.5,2348,8
54,0,40026,Daniel Berger,293.1,2345,8
55,0,24024,Zach Johnson,293.0,2344,8
56,0,55412,Mickey DeMorat,292.6,2341,8
57,-24,01810,Phil Mickelson,292.5,2340,8
58,0,33122,Russell Knox,292.0,2336,8
59,0,25349,Tim Wilkinson,291.0,2328,8
60,-48,22371,Aaron Baddeley,290.9,2327,8
61,0,55413,Luis Gagne,290.3,2322,8
62,0,27644,Brian Harman,288.8,2310,8
63,0,32102,Rickie Fowler,285.4,2283,8
64,0,52330,Dylan Meyer,280.8,2246,8
65,0,10809,Jim Furyk,280.5,2244,8
66,0,24361,Pat Perez,277.0,2216,8
67,0,46439,Will Grimmer,266.1,2129,8
