RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,40026,Daniel Berger,2.334,9.335,4
2,0,24138,Ian Poulter,2.151,8.606,4
3,29,36689,Brooks Koepka,2.031,8.123,4
4,0,52330,Dylan Meyer,2.019,8.076,4
5,0,33122,Russell Knox,1.875,7.502,4
6,0,55413,Luis Gagne,1.826,7.305,4
7,36,21961,Charles Howell III,1.785,7.142,4
8,0,27349,Alex Noren,1.620,6.480,4
9,0,48153,Matthieu Pavon,1.610,6.442,4
10,0,30911,Tommy Fleetwood,1.460,5.842,4
11,0,48081,Xander Schauffele,1.394,5.578,4
12,0,47959,Bryson DeChambeau,1.370,5.479,4
13,0,29725,Tony Finau,1.328,5.312,4
14,0,36685,Cameron Wilson,1.290,5.159,4
15,52,21528,Henrik Stenson,1.212,4.847,4
16,0,34363,Tyrrell Hatton,1.127,4.510,4
17,0,27064,Jhonattan Vegas,1.089,4.358,4
18,0,29221,Webb Simpson,1.068,4.272,4
19,0,24924,Bill Haas,1.057,4.229,4
20,0,10809,Jim Furyk,1.046,4.183,4
21,0,29974,Branden Grace,1.014,4.056,4
22,0,30978,Kiradech Aphibarnrat,.939,3.757,4
23,0,39537,Chris Naegel,.785,3.140,4
24,-12,30925,Dustin Johnson,.755,3.019,4
25,0,25364,Paul Casey,.750,2.999,4
26,0,34360,Patrick Reed,.701,2.803,4
27,0,55412,Mickey DeMorat,.693,2.771,4
28,-23,27649,Brandt Snedeker,.656,2.624,4
29,0,24024,Zach Johnson,.631,2.526,4
30,0,25349,Tim Wilkinson,.628,2.511,4
31,0,46439,Will Grimmer,.563,2.252,4
32,0,32366,Kevin Chappell,.549,2.195,4
33,0,24361,Pat Perez,.446,1.783,4
34,0,32839,Hideki Matsuyama,.358,1.434,4
35,0,47504,Sam Burns,.356,1.424,4
36,0,26499,Rafa Cabrera Bello,.317,1.270,4
37,0,33448,Justin Thomas,.266,1.065,4
38,0,48126,Calum Hill,.253,1.012,4
39,-37,19846,Brian Gay,.238,.954,4
40,0,40098,Matt Fitzpatrick,.225,.901,4
41,0,32102,Rickie Fowler,.193,.773,4
42,0,54318,Matt Parziale,.192,.768,4
43,0,26329,Louis Oosthuizen,.034,.138,4
44,6,22371,Aaron Baddeley,.021,.086,4
45,0,36699,Patrick Rodgers,-.055,-.220,4
46,-8,06527,Steve Stricker,-.106,-.425,4
47,0,29936,Ryan Fox,-.162,-.647,4
48,0,25818,Scott Piercy,-.216,-.865,4
49,0,35450,Patrick Cantlay,-.332,-1.328,4
50,0,34098,Russell Henley,-.338,-1.350,4
51,0,22405,Justin Rose,-.342,-1.369,4
52,0,25686,Jason Dufner,-.384,-1.535,4
53,0,35296,Haotong Li,-.467,-1.866,4
54,0,31323,Gary Woodland,-.493,-1.972,4
55,0,12716,Charley Hoffman,-.517,-2.069,4
56,0,25632,Jimmy Walker,-.607,-2.428,4
57,-10,29484,Peter Uihlein,-.622,-2.488,4
58,0,34242,Andrew Johnston,-.633,-2.533,4
59,-25,01810,Phil Mickelson,-.637,-2.546,4
60,0,26851,Marc Leishman,-.708,-2.831,4
61,-8,45609,Tyler Duncan,-.798,-3.191,4
62,0,25198,Francesco Molinari,-1.029,-4.115,4
63,0,33974,Dean Burmester,-1.118,-4.470,4
64,0,33948,Byeong Hun An,-1.121,-4.485,4
65,0,27644,Brian Harman,-1.254,-5.016,4
66,0,27896,Ross Fisher,-1.744,-6.975,4
67,0,29518,Brendan Steele,-1.960,-7.838,4
