RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,27349,Alex Noren,1.836,7.343,4
2,35,37455,Si Woo Kim,1.606,6.424,4
3,0,49964,Aaron Wise,1.179,4.716,4
4,0,33448,Justin Thomas,1.174,4.695,4
5,54,24138,Ian Poulter,1.108,4.431,4
6,0,35891,Cameron Smith,1.093,4.371,4
7,0,28237,Rory McIlroy,1.067,4.269,4
8,0,35450,Patrick Cantlay,1.024,4.096,4
9,0,33968,Thorbjørn Olesen,.981,3.924,4
10,0,29478,Kevin Kisner,.973,3.893,4
11,0,35296,Haotong Li,.945,3.780,4
12,0,32102,Rickie Fowler,.940,3.759,4
13,0,31646,Emiliano Grillo,.907,3.629,4
14,0,34360,Patrick Reed,.841,3.364,4
15,0,33122,Russell Knox,.806,3.222,4
16,13,30925,Dustin Johnson,.695,2.780,4
16,0,08793,Tiger Woods,.695,2.778,4
18,18,12716,Charley Hoffman,.689,2.756,4
19,0,34046,Jordan Spieth,.660,2.641,4
20,0,31420,Anirban Lahiri,.647,2.588,4
21,0,26331,Charl Schwartzel,.626,2.505,4
22,11,30911,Tommy Fleetwood,.612,2.446,4
23,0,46567,Paul Dunne,.591,2.364,4
24,0,29221,Webb Simpson,.587,2.346,4
25,0,34363,Tyrrell Hatton,.501,2.004,4
26,0,21209,Sergio Garcia,.490,1.959,4
27,0,24361,Pat Perez,.388,1.551,4
28,0,24024,Zach Johnson,.373,1.491,4
29,0,28089,Jason Day,.345,1.380,4
30,17,29725,Tony Finau,.341,1.363,4
31,0,27644,Brian Harman,.310,1.239,4
32,0,26329,Louis Oosthuizen,.275,1.101,4
33,0,23108,Matt Kuchar,.172,.689,4
34,0,37249,Ryuko Tokimatsu,.164,.655,4
35,0,46435,Austin Cook,.123,.492,4
36,0,25364,Paul Casey,.120,.478,4
37,0,30110,Kyle Stanley,.118,.472,4
38,0,27556,Ted Potter Jr.,.113,.451,4
39,0,25396,Kevin Na,.088,.351,4
40,0,33410,Andrew Landry,.028,.110,4
41,0,24502,Adam Scott,.009,.035,4
42,0,25804,Bubba Watson,-.111,-.443,4
43,0,01810,Phil Mickelson,-.123,-.493,4
44,0,29334,Jaco Ahlers,-.214,-.858,4
45,0,27896,Ross Fisher,-.236,-.945,4
46,0,30978,Kiradech Aphibarnrat,-.278,-1.112,4
47,0,32757,Patton Kizzire,-.286,-1.143,4
48,0,25198,Francesco Molinari,-.334,-1.336,4
49,0,35225,Brandon Stone,-.347,-1.389,4
50,0,27129,Luke List,-.467,-1.869,4
51,0,36689,Brooks Koepka,-.523,-2.093,4
52,21,31323,Gary Woodland,-.558,-2.234,4
53,0,26851,Marc Leishman,-.559,-2.235,4
54,0,26499,Rafa Cabrera Bello,-.575,-2.302,4
55,0,40098,Matt Fitzpatrick,-.612,-2.449,4
56,-46,27064,Jhonattan Vegas,-.624,-2.498,4
57,0,47959,Bryson DeChambeau,-.634,-2.537,4
58,0,40026,Daniel Berger,-.647,-2.588,4
59,0,32839,Hideki Matsuyama,-.738,-2.954,4
60,0,34310,Alexander Björk,-.961,-3.846,4
61,0,29974,Branden Grace,-1.020,-4.082,4
62,0,39113,Shubhankar Sharma,-1.081,-4.326,4
63,0,29518,Brendan Steele,-1.097,-4.389,4
64,0,48081,Xander Schauffele,-1.208,-4.833,4
65,0,46970,Jon Rahm,-1.432,-5.728,4
66,0,21528,Henrik Stenson,-1.542,-6.169,4
67,0,26341,Wade Ormsby,-1.722,-6.888,4
68,0,32816,Satoshi Kodaira,-1.914,-7.656,4
69,0,32366,Kevin Chappell,-2.016,-8.064,4
70,0,24321,Kodai Ichihara,-2.070,-8.282,4
71,-53,33948,Byeong Hun An,-2.301,-9.204,4
