RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,36689,Brooks Koepka,2.678,1.257,1.478,-.057,4
2,0,46970,Jon Rahm,2.587,.491,1.040,1.056,4
3,0,30110,Kyle Stanley,2.537,.937,.789,.811,4
4,0,33448,Justin Thomas,2.481,.127,1.912,.442,4
5,0,26851,Marc Leishman,1.964,.604,-.064,1.423,4
6,0,26499,Rafa Cabrera Bello,1.731,.807,.646,.277,4
7,-3,31323,Gary Woodland,1.714,1.491,.602,-.380,4
8,-7,30925,Dustin Johnson,1.710,1.137,.367,.205,4
9,0,32366,Kevin Chappell,1.671,.199,1.531,-.060,4
10,0,33968,Thorbjørn Olesen,1.424,.208,1.042,.174,4
11,0,27896,Ross Fisher,1.391,.760,.634,-.003,4
12,0,26341,Wade Ormsby,1.377,.063,.167,1.147,4
13,24,29725,Tony Finau,1.314,.263,1.153,-.103,4
14,0,28089,Jason Day,1.310,-.100,1.177,.233,4
15,0,31420,Anirban Lahiri,1.258,.295,.439,.524,4
16,0,23108,Matt Kuchar,1.233,-.198,.960,.471,4
17,-14,33948,Byeong Hun An,1.206,-.107,.374,.938,4
18,0,21528,Henrik Stenson,1.197,.912,.191,.093,4
19,0,27129,Luke List,1.122,1.410,-.680,.392,4
20,0,35450,Patrick Cantlay,.881,1.251,-.034,-.336,4
21,0,28237,Rory McIlroy,.838,.938,-.703,.602,4
22,-14,30911,Tommy Fleetwood,.794,.828,.538,-.573,4
23,0,47959,Bryson DeChambeau,.789,.174,-.221,.836,4
24,0,24024,Zach Johnson,.782,-1.165,.487,1.460,4
25,0,01810,Phil Mickelson,.778,-.035,1.024,-.212,4
26,0,49964,Aaron Wise,.726,.359,.544,-.177,4
27,-22,24138,Ian Poulter,.547,.002,.712,-.167,4
28,0,32839,Hideki Matsuyama,.394,-.409,.400,.402,4
29,0,26329,Louis Oosthuizen,.380,.417,-.836,.798,4
30,0,34310,Alexander Björk,.367,-1.268,1.824,-.190,4
31,0,32102,Rickie Fowler,.215,-.213,1.057,-.628,4
32,0,32757,Patton Kizzire,.191,-.082,-.433,.705,4
33,0,30978,Kiradech Aphibarnrat,.183,.189,-.094,.087,4
34,0,32816,Satoshi Kodaira,.069,.428,.295,-.654,4
34,0,29221,Webb Simpson,.069,-.646,.872,-.158,4
36,0,40026,Daniel Berger,.052,.464,.267,-.679,4
37,1,37455,Si Woo Kim,.049,-.546,.297,.298,4
38,0,40098,Matt Fitzpatrick,.017,.136,.268,-.387,4
39,0,25804,Bubba Watson,.016,.673,-.634,-.024,4
40,0,25198,Francesco Molinari,-.011,-.011,.624,-.625,4
41,0,34363,Tyrrell Hatton,-.096,.265,-.391,.029,4
42,0,25396,Kevin Na,-.183,-.337,.103,.050,4
43,0,35891,Cameron Smith,-.188,-.008,.052,-.232,4
44,0,25364,Paul Casey,-.215,-.155,.509,-.570,4
45,15,27064,Jhonattan Vegas,-.221,.176,-1.558,1.161,4
46,0,29518,Brendan Steele,-.248,.113,-.066,-.294,4
47,0,34360,Patrick Reed,-.436,.044,-.102,-.378,4
48,0,35225,Brandon Stone,-.498,-.131,-.375,.008,4
49,0,37249,Ryuko Tokimatsu,-.509,-.687,-.694,.872,4
50,0,27556,Ted Potter Jr.,-.708,-.678,.297,-.328,4
51,0,26331,Charl Schwartzel,-.721,.055,-.176,-.600,4
52,0,08793,Tiger Woods,-.790,-.398,-.161,-.230,4
53,0,29974,Branden Grace,-.825,-.623,.652,-.854,4
54,0,21209,Sergio Garcia,-.835,-1.262,-.061,.488,4
55,0,46435,Austin Cook,-.968,-1.164,-.313,.509,4
56,0,24502,Adam Scott,-1.104,-.579,-.047,-.478,4
57,0,33410,Andrew Landry,-1.123,-.009,-.286,-.828,4
58,0,24321,Kodai Ichihara,-1.275,-.391,-.847,-.037,4
59,0,35296,Haotong Li,-1.290,-.654,.069,-.705,4
60,0,29478,Kevin Kisner,-1.318,-.577,-1.075,.334,4
61,0,33122,Russell Knox,-1.401,-.510,-1.132,.241,4
62,-22,12716,Charley Hoffman,-1.534,.046,-.871,-.709,4
63,0,48081,Xander Schauffele,-1.887,-.693,-1.336,.141,4
64,0,27644,Brian Harman,-1.905,-.572,-.718,-.614,4
65,0,27349,Alex Noren,-1.931,-.488,-1.414,-.030,4
66,0,34046,Jordan Spieth,-2.005,-.762,-.972,-.272,4
67,0,24361,Pat Perez,-2.233,-.227,-1.711,-.295,4
68,0,39113,Shubhankar Sharma,-2.264,-.085,-.519,-1.660,4
69,0,46567,Paul Dunne,-2.686,-.315,-2.207,-.164,4
70,0,31646,Emiliano Grillo,-3.002,.038,-1.969,-1.072,4
71,0,29334,Jaco Ahlers,-5.631,-1.478,-2.700,-1.453,4
