PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
36689,Brooks Koepka,2018 WGC-Bridgestone Invitational,-0.52325,1.257,1.478,-0.057
46970,Jon Rahm,2018 WGC-Bridgestone Invitational,-1.432,0.491,1.04,1.056
30110,Kyle Stanley,2018 WGC-Bridgestone Invitational,0.118,0.937,0.789,0.811
33448,Justin Thomas,2018 WGC-Bridgestone Invitational,1.17375,0.127,1.912,0.442
26851,Marc Leishman,2018 WGC-Bridgestone Invitational,-0.55875,0.604,-0.064,1.423
26499,Rafa Cabrera Bello,2018 WGC-Bridgestone Invitational,-0.5755,0.807,0.646,0.277
31323,Gary Woodland,2018 WGC-Bridgestone Invitational,-0.5585,1.491,0.602,-0.38
30925,Dustin Johnson,2018 WGC-Bridgestone Invitational,0.695,1.137,0.367,0.205
32366,Kevin Chappell,2018 WGC-Bridgestone Invitational,-2.016,0.199,1.531,-0.06
33968,Thorbjørn Olesen,2018 WGC-Bridgestone Invitational,0.981,0.208,1.042,0.174
27896,Ross Fisher,2018 WGC-Bridgestone Invitational,-0.23625,0.76,0.634,-0.003
26341,Wade Ormsby,2018 WGC-Bridgestone Invitational,-1.722,0.063,0.167,1.147
29725,Tony Finau,2018 WGC-Bridgestone Invitational,0.34075,0.263,1.153,-0.103
28089,Jason Day,2018 WGC-Bridgestone Invitational,0.345,-0.1,1.177,0.233
31420,Anirban Lahiri,2018 WGC-Bridgestone Invitational,0.647,0.295,0.439,0.524
23108,Matt Kuchar,2018 WGC-Bridgestone Invitational,0.17225,-0.198,0.96,0.471
33948,Byeong Hun An,2018 WGC-Bridgestone Invitational,-2.301,-0.107,0.374,0.938
21528,Henrik Stenson,2018 WGC-Bridgestone Invitational,-1.54225,0.912,0.191,0.093
27129,Luke List,2018 WGC-Bridgestone Invitational,-0.46725,1.41,-0.68,0.392
35450,Patrick Cantlay,2018 WGC-Bridgestone Invitational,1.024,1.251,-0.034,-0.336
28237,Rory McIlroy,2018 WGC-Bridgestone Invitational,1.06725,0.938,-0.703,0.602
30911,Tommy Fleetwood,2018 WGC-Bridgestone Invitational,0.6115,0.828,0.538,-0.573
47959,Bryson DeChambeau,2018 WGC-Bridgestone Invitational,-0.63425,0.174,-0.221,0.836
24024,Zach Johnson,2018 WGC-Bridgestone Invitational,0.37275,-1.165,0.487,1.46
1810,Phil Mickelson,2018 WGC-Bridgestone Invitational,-0.12325,-0.035,1.024,-0.212
49964,Aaron Wise,2018 WGC-Bridgestone Invitational,1.179,0.359,0.544,-0.177
24138,Ian Poulter,2018 WGC-Bridgestone Invitational,1.10775,0.002,0.712,-0.167
32839,Hideki Matsuyama,2018 WGC-Bridgestone Invitational,-0.7385,-0.409,0.4,0.402
26329,Louis Oosthuizen,2018 WGC-Bridgestone Invitational,0.27525,0.417,-0.836,0.798
34310,Alexander Björk,2018 WGC-Bridgestone Invitational,-0.9615,-1.268,1.824,-0.19
32102,Rickie Fowler,2018 WGC-Bridgestone Invitational,0.93975,-0.213,1.057,-0.628
32757,Patton Kizzire,2018 WGC-Bridgestone Invitational,-0.28575,-0.082,-0.433,0.705
30978,Kiradech Aphibarnrat,2018 WGC-Bridgestone Invitational,-0.278,0.189,-0.094,0.087
32816,Satoshi Kodaira,2018 WGC-Bridgestone Invitational,-1.914,0.428,0.295,-0.654
29221,Webb Simpson,2018 WGC-Bridgestone Invitational,0.5865,-0.646,0.872,-0.158
40026,Daniel Berger,2018 WGC-Bridgestone Invitational,-0.647,0.464,0.267,-0.679
37455,Si Woo Kim,2018 WGC-Bridgestone Invitational,1.606,-0.546,0.297,0.298
40098,Matt Fitzpatrick,2018 WGC-Bridgestone Invitational,-0.61225,0.136,0.268,-0.387
25804,Bubba Watson,2018 WGC-Bridgestone Invitational,-0.11075,0.673,-0.634,-0.024
25198,Francesco Molinari,2018 WGC-Bridgestone Invitational,-0.334,-0.011,0.624,-0.625
34363,Tyrrell Hatton,2018 WGC-Bridgestone Invitational,0.501,0.265,-0.391,0.029
25396,Kevin Na,2018 WGC-Bridgestone Invitational,0.08775,-0.337,0.103,0.05
