RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,31646,Emiliano Grillo,2.674,10.695,4
2,0,36689,Brooks Koepka,2.104,8.418,4
3,0,34099,Harris English,2.056,8.225,4
4,0,24361,Pat Perez,1.895,7.581,4
5,0,32102,Rickie Fowler,1.657,6.630,4
6,0,29478,Kevin Kisner,1.608,6.431,4
7,0,39327,Ben Silverman,1.548,6.192,4
8,0,12716,Charley Hoffman,1.269,5.078,4
9,0,27644,Brian Harman,1.193,4.773,4
10,0,37454,Whee Kim,1.149,4.597,4
11,62,29908,C.T. Pan,1.102,4.409,4
12,0,30944,Jason Kokrak,.948,3.791,4
13,42,31560,Brian Stuard,.937,3.749,4
14,-11,31416,Derek Fathauer,.933,3.731,4
15,0,35421,Brandon Harkins,.868,3.474,4
16,34,23325,Vaughn Taylor,.860,3.439,4
17,18,46442,Maverick McNealy,.850,3.399,4
18,44,34431,Robert Streb,.836,3.344,4
19,0,31202,William McGirt,.834,3.336,4
20,3,49771,J.T. Poston,.743,2.973,4
21,0,22405,Justin Rose,.674,2.697,4
22,-18,37278,Nicholas Lindheim,.645,2.579,4
23,0,39113,Shubhankar Sharma,.624,2.498,4
24,0,30926,Chris Kirk,.601,2.403,4
25,0,46970,Jon Rahm,.585,2.339,4
26,0,33413,Ben Martin,.561,2.244,4
27,-12,35461,Beau Hossler,.482,1.929,4
28,0,34098,Russell Henley,.452,1.810,4
29,0,32816,Satoshi Kodaira,.401,1.604,4
30,16,32876,Martin Piller,.394,1.578,4
31,0,39997,Corey Conners,.379,1.517,4
32,13,23541,Ben Crane,.375,1.499,4
33,11,32333,Kevin Tway,.327,1.309,4
34,37,45609,Tyler Duncan,.308,1.234,4
35,6,34256,Andrew Putnam,.287,1.149,4
36,4,50526,Tom Lovelady,.274,1.098,4
37,1,45526,Abraham Ancer,.210,.841,4
38,0,24924,Bill Haas,.155,.620,4
39,0,34563,Chesson Hadley,.154,.617,4
40,-7,25396,Kevin Na,.116,.464,4
41,0,37455,Si Woo Kim,.087,.349,4
42,0,48084,Wesley Bryan,.050,.201,4
43,0,27649,Brandt Snedeker,.028,.113,4
44,0,45486,Joaquin Niemann,.027,.110,4
45,19,19803,Ryan Armour,.020,.079,4
46,0,26329,Louis Oosthuizen,.018,.073,4
47,0,10809,Jim Furyk,-.095,-.378,4
48,5,34076,Joel Dahmen,-.111,-.445,4
49,0,46601,Trey Mullinax,-.116,-.463,4
50,0,23108,Matt Kuchar,-.137,-.549,4
51,10,31420,Anirban Lahiri,-.144,-.575,4
52,0,34174,John Huh,-.200,-.801,4
53,0,12782,Tim Herron,-.233,-.932,4
54,0,47128,Richy Werenski,-.296,-1.182,4
55,0,29926,Danny Lee,-.306,-1.225,4
56,0,28132,Tyrone Van Aswegen,-.320,-1.280,4
57,0,32757,Patton Kizzire,-.327,-1.308,4
58,0,39328,Conrad Shindler,-.350,-1.399,4
59,-46,32150,Michael Thompson,-.499,-1.997,4
60,-44,23621,Rory Sabbatini,-.527,-2.106,4
61,0,33399,Adam Hadwin,-.539,-2.156,4
62,0,47959,Bryson DeChambeau,-.546,-2.185,4
63,0,27064,Jhonattan Vegas,-.699,-2.796,4
64,0,35506,Mackenzie Hughes,-.731,-2.922,4
65,0,35532,Tom Hoge,-.733,-2.933,4
66,0,06527,Steve Stricker,-.756,-3.024,4
67,1,24502,Adam Scott,-.786,-3.143,4
68,0,20645,John Senden,-.822,-3.289,4
69,0,20472,Alex Cejka,-.831,-3.325,4
70,2,34046,Jordan Spieth,-.891,-3.563,4
71,0,12510,Chad Campbell,-.987,-3.948,4
72,0,20229,Stewart Cink,-1.025,-4.100,4
73,-53,25632,Jimmy Walker,-1.038,-4.153,4
74,-65,33122,Russell Knox,-1.087,-4.346,4
75,0,27214,Kevin Streelman,-1.092,-4.367,4
76,-48,33418,Shawn Stefani,-1.114,-4.454,4
77,0,46501,Ollie Schniederjans,-1.190,-4.758,4
78,0,27556,Ted Potter Jr.,-1.479,-5.916,4
