RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,55,34363,Tyrrell Hatton,79.17,57,72,-0.23
1,0,45478,Julian Suri,79.17,57,72,-0.19
3,0,30944,Jason Kokrak,77.78,56,72,-0.23
4,0,20229,Stewart Cink,76.39,55,72,-0.25
4,7,27896,Ross Fisher,76.39,55,72,-0.15
4,7,32102,Rickie Fowler,76.39,55,72,-0.22
4,0,29420,Billy Horschel,76.39,55,72,-0.22
4,57,33410,Andrew Landry,76.39,55,72,-0.22
4,0,33204,Shane Lowry,76.39,55,72,-0.25
4,0,33293,Thomas Pieters,76.39,55,72,-0.29
4,0,26476,Chez Reavie,76.39,55,72,-0.27
4,57,29221,Webb Simpson,76.39,55,72,-0.27
4,-2,33448,Justin Thomas,76.39,55,72,-0.27
4,38,27064,Jhonattan Vegas,76.39,55,72,-0.16
15,27,40026,Daniel Berger,75.00,54,72,-0.30
15,-4,35450,Patrick Cantlay,75.00,54,72,-0.22
15,-7,30911,Tommy Fleetwood,75.00,54,72,-0.22
15,-14,36689,Brooks Koepka,75.00,54,72,-0.39
15,-13,46970,Jon Rahm,75.00,54,72,-0.30
20,-4,28089,Jason Day,73.61,53,72,-0.23
20,0,27408,Martin Kaymer,73.61,53,72,-0.25
20,0,55752,Ben Kern,73.61,53,72,-0.17
20,44,29478,Kevin Kisner,73.61,53,72,-0.30
20,19,25198,Francesco Molinari,73.61,53,72,-0.25
20,33,24502,Adam Scott,73.61,53,72,-0.34
20,-16,31323,Gary Woodland,73.61,53,72,-0.34
27,0,33141,Keegan Bradley,72.22,52,72,-0.21
27,15,33122,Russell Knox,72.22,52,72,-0.27
27,0,27649,Brandt Snedeker,72.22,52,72,-0.27
27,29,34046,Jordan Spieth,72.22,52,72,-0.33
27,-7,35225,Brandon Stone,72.22,52,72,-0.31
27,5,08793,Tiger Woods,72.22,52,72,-0.40
33,-22,29725,Tony Finau,70.83,51,72,-0.41
33,0,29535,Brice Garnett,70.83,51,72,-0.24
33,37,31646,Emiliano Grillo,70.83,51,72,-0.27
33,-5,24024,Zach Johnson,70.83,51,72,-0.33
33,-1,25396,Kevin Na,70.83,51,72,-0.35
33,0,34256,Andrew Putnam,70.83,51,72,-0.22
33,0,39324,J.J. Spaun,70.83,51,72,-0.27
40,0,26908,Yuta Ikeda,69.44,50,72,-0.16
40,13,48081,Xander Schauffele,69.44,50,72,-0.30
42,22,32839,Hideki Matsuyama,68.06,49,72,-0.37
42,0,45486,Joaquin Niemann,68.06,49,72,-0.33
42,-34,33968,Thorbjørn Olesen,68.06,49,72,-0.20
42,22,24361,Pat Perez,68.06,49,72,-0.27
42,-14,24138,Ian Poulter,68.06,49,72,-0.24
42,0,27095,Nick Watney,68.06,49,72,-0.24
48,8,46435,Austin Cook,66.67,48,72,-0.27
48,0,27324,Seungsu Han,66.67,48,72,-0.23
48,0,39971,Sungjae Im,66.67,48,72,-0.23
48,0,30926,Chris Kirk,66.67,48,72,-0.29
48,0,34709,Eddie Pepperell,66.67,48,72,-0.27
48,-6,26331,Charl Schwartzel,66.67,48,72,-0.23
48,0,06567,Vijay Singh,66.67,48,72,-0.19
55,0,29936,Ryan Fox,65.28,47,72,-0.30
55,0,29970,Dylan Frittelli,65.28,47,72,-0.26
55,0,10809,Jim Furyk,65.28,47,72,-0.15
55,-31,29974,Branden Grace,65.28,47,72,-0.26
55,0,34098,Russell Henley,65.28,47,72,-0.26
55,-35,30925,Dustin Johnson,65.28,47,72,-0.40
55,0,34575,Adrian Otaegui,65.28,47,72,-0.23
55,0,22405,Justin Rose,65.28,47,72,-0.36
63,-59,32366,Kevin Chappell,63.89,46,72,-0.26
63,-14,28237,Rory McIlroy,63.89,46,72,-0.20
63,0,26596,Ryan Moore,63.89,46,72,-0.22
66,-60,26499,Rafa Cabrera Bello,62.50,45,72,-0.38
66,-34,26851,Marc Leishman,62.50,45,72,-0.31
66,-34,27556,Ted Potter Jr.,62.50,45,72,-0.18
66,0,48887,Matt Wallace,62.50,45,72,-0.36
70,-28,33948,Byeong Hun An,61.11,44,72,-0.30
70,0,21961,Charles Howell III,61.11,44,72,-0.25
70,0,46501,Ollie Schniederjans,61.11,44,72,-0.23
70,0,25632,Jimmy Walker,61.11,44,72,-0.30
74,-18,27644,Brian Harman,59.72,43,72,-0.28
74,-42,35891,Cameron Smith,59.72,43,72,-0.33
76,0,29479,Scott Brown,58.33,42,72,-0.26
76,0,27963,Chris Stroud,58.33,42,72,-0.36
78,-62,32816,Satoshi Kodaira,55.56,40,72,-0.28
78,0,29772,Michael Lorenzo-Vera,55.56,40,72,-0.38
80,0,19846,Brian Gay,54.17,39,72,-0.13
