RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,55,25198,Francesco Molinari,84.21,16,19
2,61,36689,Brooks Koepka,77.78,14,18
2,13,46970,Jon Rahm,77.78,14,18
4,0,20229,Stewart Cink,76.47,13,17
5,30,34046,Jordan Spieth,75.00,15,20
6,53,24502,Adam Scott,73.68,14,19
7,0,45478,Julian Suri,73.33,11,15
8,58,29974,Branden Grace,72.00,18,25
9,27,32102,Rickie Fowler,70.59,12,17
9,6,33448,Justin Thomas,70.59,12,17
11,36,26499,Rafa Cabrera Bello,70.37,19,27
11,0,48887,Matt Wallace,70.37,19,27
13,47,08793,Tiger Woods,70.00,14,20
14,-12,28237,Rory McIlroy,69.23,18,26
15,52,32816,Satoshi Kodaira,68.75,22,32
16,36,28089,Jason Day,68.42,13,19
16,0,55752,Ben Kern,68.42,13,19
18,0,29936,Ryan Fox,68.00,17,25
19,0,25632,Jimmy Walker,67.86,19,28
20,20,40026,Daniel Berger,66.67,12,18
20,16,35450,Patrick Cantlay,66.67,12,18
20,-11,34363,Tyrrell Hatton,66.67,10,15
20,33,26331,Charl Schwartzel,66.67,16,24
24,0,26596,Ryan Moore,65.38,17,26
25,-15,33968,Thorbjørn Olesen,65.22,15,23
25,31,24361,Pat Perez,65.22,15,23
25,6,24138,Ian Poulter,65.22,15,23
28,0,29420,Billy Horschel,64.71,11,17
28,0,33204,Shane Lowry,64.71,11,17
28,0,33293,Thomas Pieters,64.71,11,17
31,0,29970,Dylan Frittelli,64.00,16,25
31,0,10809,Jim Furyk,64.00,16,25
33,0,19846,Brian Gay,63.64,21,33
33,0,26908,Yuta Ikeda,63.64,14,22
35,-13,29478,Kevin Kisner,63.16,12,19
35,16,31323,Gary Woodland,63.16,12,19
37,28,27556,Ted Potter Jr.,62.96,17,27
38,0,27324,Seungsu Han,62.50,15,24
38,0,30926,Chris Kirk,62.50,15,24
38,0,30944,Jason Kokrak,62.50,10,16
41,-8,31646,Emiliano Grillo,61.90,13,21
41,0,39324,J.J. Spaun,61.90,13,21
43,0,21961,Charles Howell III,60.71,17,28
43,0,46501,Ollie Schniederjans,60.71,17,28
45,0,33141,Keegan Bradley,60.00,12,20
45,0,34098,Russell Henley,60.00,15,25
45,0,34575,Adrian Otaegui,60.00,15,25
45,19,35225,Brandon Stone,60.00,12,20
49,0,26476,Chez Reavie,58.82,10,17
49,-9,27064,Jhonattan Vegas,58.82,10,17
51,-40,35891,Cameron Smith,58.62,17,29
52,0,27408,Martin Kaymer,57.89,11,19
53,-40,33948,Byeong Hun An,57.14,16,28
53,0,29535,Brice Garnett,57.14,12,21
55,0,29772,Michael Lorenzo-Vera,56.25,18,32
56,0,22405,Justin Rose,56.00,14,25
57,-13,30911,Tommy Fleetwood,55.56,10,18
58,-13,27644,Brian Harman,55.17,16,29
59,-31,33122,Russell Knox,55.00,11,20
60,-40,46435,Austin Cook,54.17,13,24
60,0,39971,Sungjae Im,54.17,13,24
62,0,27963,Chris Stroud,53.33,16,30
63,-48,25396,Kevin Na,52.38,11,21
64,-35,32839,Hideki Matsuyama,52.17,12,23
64,0,27095,Nick Watney,52.17,12,23
66,2,32366,Kevin Chappell,50.00,13,26
66,0,34709,Eddie Pepperell,50.00,12,24
66,-12,48081,Xander Schauffele,50.00,11,22
66,0,06567,Vijay Singh,50.00,12,24
66,0,27649,Brandt Snedeker,50.00,10,20
71,-56,26851,Marc Leishman,48.15,13,27
72,-68,30925,Dustin Johnson,48.00,12,25
73,-66,24024,Zach Johnson,47.62,10,21
73,0,34256,Andrew Putnam,47.62,10,21
75,-61,27896,Ross Fisher,47.06,8,17
75,-20,33410,Andrew Landry,47.06,8,17
75,-67,29221,Webb Simpson,47.06,8,17
78,0,29479,Scott Brown,40.00,12,30
79,0,45486,Joaquin Niemann,30.43,7,23
80,-44,29725,Tony Finau,28.57,6,21
