RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,32,20593,Greg Chalmers,2.148,8.592,4
2,0,29221,Webb Simpson,1.801,7.203,4
3,7,27349,Alex Noren,1.754,7.014,4
4,0,47504,Sam Burns,1.441,5.764,4
5,53,29461,Jamie Lovemark,1.388,5.552,4
6,0,31646,Emiliano Grillo,1.384,5.537,4
7,0,34466,Peter Malnati,1.341,5.363,4
8,0,35376,Roberto Díaz,1.336,5.345,4
9,18,27129,Luke List,1.254,5.014,4
10,0,30926,Chris Kirk,1.227,4.909,4
11,61,33293,Thomas Pieters,1.083,4.333,4
12,0,34099,Harris English,1.043,4.170,4
12,0,29970,Dylan Frittelli,1.043,4.170,4
14,-13,31416,Derek Fathauer,.963,3.851,4
15,0,45609,Tyler Duncan,.943,3.770,4
16,14,35879,Kelly Kraft,.926,3.703,4
17,24,28237,Rory McIlroy,.849,3.397,4
18,0,08793,Tiger Woods,.841,3.362,4
19,0,33948,Byeong Hun An,.818,3.273,4
20,11,40009,Dominic Bozzelli,.816,3.262,4
21,0,29479,Scott Brown,.692,2.766,4
22,25,32640,Troy Merritt,.691,2.762,4
23,0,27963,Chris Stroud,.689,2.754,4
24,0,34358,Jonathan Randolph,.676,2.703,4
25,0,25632,Jimmy Walker,.672,2.688,4
26,0,33461,Morgan Hoffmann,.584,2.336,4
27,0,30978,Kiradech Aphibarnrat,.534,2.134,4
28,-15,33448,Justin Thomas,.521,2.083,4
29,0,26329,Louis Oosthuizen,.510,2.040,4
30,-25,30692,Scott Stallings,.456,1.822,4
31,0,32150,Michael Thompson,.435,1.741,4
32,0,33413,Ben Martin,.353,1.410,4
33,0,40026,Daniel Berger,.344,1.376,4
33,0,23541,Ben Crane,.344,1.377,4
35,4,47347,Adam Schenk,.305,1.220,4
36,0,34098,Russell Henley,.279,1.115,4
37,-13,36699,Patrick Rodgers,.217,.869,4
38,0,39975,Michael Kim,.176,.703,4
38,-1,32876,Martin Piller,.176,.705,4
38,0,34264,Hudson Swafford,.176,.702,4
41,15,30911,Tommy Fleetwood,.173,.692,4
42,0,27770,Camilo Villegas,.172,.688,4
43,0,27095,Nick Watney,.166,.664,4
44,0,31202,William McGirt,.148,.591,4
45,0,50526,Tom Lovelady,.137,.547,4
46,0,23621,Rory Sabbatini,.129,.515,4
47,0,10809,Jim Furyk,.101,.403,4
48,0,46501,Ollie Schniederjans,-.035,-.142,4
49,0,25900,Lucas Glover,-.133,-.534,4
50,0,25686,Jason Dufner,-.237,-.948,4
51,6,27141,J.B. Holmes,-.255,-1.019,4
52,0,34076,Joel Dahmen,-.283,-1.133,4
53,0,31323,Gary Woodland,-.299,-1.195,4
54,0,28307,Matt Every,-.302,-1.210,4
55,0,33204,Shane Lowry,-.307,-1.227,4
56,19,24502,Adam Scott,-.340,-1.362,4
57,17,28132,Tyrone Van Aswegen,-.353,-1.412,4
58,-16,26499,Rafa Cabrera Bello,-.384,-1.537,4
59,-34,34174,John Huh,-.412,-1.650,4
60,-45,31420,Anirban Lahiri,-.437,-1.747,4
61,0,35506,Mackenzie Hughes,-.462,-1.849,4
62,0,25818,Scott Piercy,-.517,-2.067,4
63,0,27644,Brian Harman,-.577,-2.310,4
64,0,51997,Andrew Novak,-.634,-2.538,4
65,0,21209,Sergio Garcia,-.755,-3.020,4
66,0,37189,Harold Varner III,-.779,-3.116,4
67,0,28500,Martin Flores,-.781,-3.124,4
68,0,27064,Jhonattan Vegas,-.814,-3.255,4
69,-65,26596,Ryan Moore,-.824,-3.296,4
70,0,39997,Corey Conners,-.843,-3.373,4
71,-12,23325,Vaughn Taylor,-.886,-3.545,4
72,0,20229,Stewart Cink,-.922,-3.690,4
73,0,49964,Aaron Wise,-.938,-3.752,4
74,0,29908,C.T. Pan,-1.256,-5.023,4
75,0,33141,Keegan Bradley,-2.214,-8.856,4
