RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,20,33448,Justin Thomas,3.524,.615,2.374,.535,4
2,23,30911,Tommy Fleetwood,3.372,.736,1.517,1.119,4
3,0,29908,C.T. Pan,2.801,.503,1.202,1.095,4
4,35,27129,Luke List,2.791,.570,1.039,1.182,4
5,0,33141,Keegan Bradley,2.509,.931,1.680,-.102,4
6,0,33948,Byeong Hun An,2.227,.698,1.552,-.023,4
7,21,24502,Adam Scott,2.135,.244,1.312,.579,4
8,0,25818,Scott Piercy,2.062,.267,2.176,-.381,4
9,35,27349,Alex Noren,2.041,.670,1.245,.127,4
10,0,25686,Jason Dufner,1.782,.472,.931,.379,4
11,0,49964,Aaron Wise,1.733,.386,1.358,-.011,4
12,31,34174,John Huh,1.707,.132,.799,.776,4
13,0,25900,Lucas Glover,1.678,.891,.691,.097,4
14,51,35879,Kelly Kraft,1.619,.145,1.438,.036,4
15,0,21209,Sergio Garcia,1.550,-.409,1.713,.246,4
16,0,20229,Stewart Cink,1.467,.382,.816,.269,4
17,9,26499,Rafa Cabrera Bello,1.429,-.245,1.868,-.194,4
18,0,23621,Rory Sabbatini,1.416,.498,.576,.342,4
19,0,50526,Tom Lovelady,1.408,.749,.806,-.147,4
20,-6,29461,Jamie Lovemark,1.407,-.320,.895,.832,4
21,0,27644,Brian Harman,1.372,.505,.756,.112,4
22,0,29970,Dylan Frittelli,1.252,.829,.933,-.510,4
23,0,29221,Webb Simpson,1.244,-.246,.998,.491,4
24,0,08793,Tiger Woods,1.204,.047,1.119,.039,4
25,0,31646,Emiliano Grillo,1.161,.880,.702,-.421,4
26,7,26596,Ryan Moore,1.119,-.026,.944,.201,4
27,0,47504,Sam Burns,1.104,-.064,1.264,-.097,4
28,0,34076,Joel Dahmen,1.078,.646,.974,-.542,4
29,0,34098,Russell Henley,1.016,.014,1.527,-.525,4
30,5,40009,Dominic Bozzelli,.979,.273,.187,.520,4
31,0,32150,Michael Thompson,.860,.375,.764,-.280,4
32,34,31416,Derek Fathauer,.832,-.425,.103,1.154,4
33,0,26329,Louis Oosthuizen,.785,.842,.331,-.388,4
34,20,47347,Adam Schenk,.740,.210,.598,-.069,4
35,24,33293,Thomas Pieters,.712,.255,.548,-.092,4
36,0,40026,Daniel Berger,.701,.098,.541,.062,4
37,-28,23325,Vaughn Taylor,.681,.564,-.478,.595,4
38,0,51997,Andrew Novak,.679,-.127,.307,.500,4
39,0,31202,William McGirt,.647,.217,.633,-.202,4
40,0,39997,Corey Conners,.638,.572,.011,.055,4
41,0,27095,Nick Watney,.629,.127,.471,.031,4
42,0,33204,Shane Lowry,.602,.255,.041,.306,4
43,0,31323,Gary Woodland,.594,.725,.137,-.268,4
44,-25,30692,Scott Stallings,.589,-.315,.696,.209,4
45,0,36699,Patrick Rodgers,.578,-.327,.318,.587,4
46,5,27141,J.B. Holmes,.550,-.540,-.661,1.751,4
47,0,10809,Jim Furyk,.444,-.255,-.076,.775,4
48,0,33413,Ben Martin,.442,.043,.672,-.272,4
49,0,45609,Tyler Duncan,.352,.240,.749,-.636,4
50,0,35506,Mackenzie Hughes,.257,.243,.324,-.310,4
51,-1,31420,Anirban Lahiri,.232,.329,.405,-.502,4
52,0,25632,Jimmy Walker,.123,.055,-.542,.610,4
53,0,27963,Chris Stroud,.106,-.123,.032,.197,4
54,0,39975,Michael Kim,-.131,.134,-.638,.373,4
55,0,29479,Scott Brown,-.147,-.145,.267,-.269,4
56,0,34099,Harris English,-.248,-.373,.448,-.322,4
57,0,33461,Morgan Hoffmann,-.289,-.211,.042,-.120,4
58,-21,32640,Troy Merritt,-.396,-.594,-.667,.866,4
59,0,28307,Matt Every,-.403,.161,.331,-.895,4
60,0,46501,Ollie Schniederjans,-.420,-1.046,.957,-.330,4
61,0,30926,Chris Kirk,-.433,.273,-.704,-.001,4
62,0,35376,Roberto Díaz,-.542,-.274,-.641,.374,4
63,11,20593,Greg Chalmers,-.603,-.081,-1.654,1.132,4
64,0,34264,Hudson Swafford,-.631,-.294,-.857,.520,4
65,0,27064,Jhonattan Vegas,-.642,-.042,-.287,-.312,4
66,-24,37189,Harold Varner III,-.676,-.615,.124,-.186,4
67,-9,28132,Tyrone Van Aswegen,-.852,-.190,-.689,.028,4
68,0,34466,Peter Malnati,-1.046,.040,-.704,-.382,4
69,-47,28237,Rory McIlroy,-1.055,.726,-1.212,-.569,4
70,1,32876,Martin Piller,-1.132,-.942,-.653,.464,4
71,0,28500,Martin Flores,-1.174,.008,-.623,-.559,4
72,0,27770,Camilo Villegas,-1.377,-.493,-1.033,.148,4
73,0,30978,Kiradech Aphibarnrat,-1.739,.325,-.809,-1.254,4
74,0,34358,Jonathan Randolph,-1.881,.403,-1.123,-1.160,4
75,0,23541,Ben Crane,-2.300,-.891,-1.435,.026,4
