RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,30911,Tommy Fleetwood,76.39,55,72,-0.24
2,0,29725,Tony Finau,75.00,54,72,-0.28
3,0,01810,Phil Mickelson,73.61,53,72,-0.25
3,0,26329,Louis Oosthuizen,73.61,53,72,-0.17
3,0,29518,Brendan Steele,73.61,53,72,-0.15
6,0,30110,Kyle Stanley,72.22,52,72,-0.15
6,0,32139,Danny Willett,72.22,52,72,-0.21
8,0,35450,Patrick Cantlay,70.83,51,72,-0.27
9,22,46435,Austin Cook,69.44,50,72,-0.22
9,0,25686,Jason Dufner,69.44,50,72,-0.20
9,0,34363,Tyrrell Hatton,69.44,50,72,-0.10
9,0,12716,Charley Hoffman,69.44,50,72,-0.28
9,0,33968,Thorbjørn Olesen,69.44,50,72,-0.28
9,0,29221,Webb Simpson,69.44,50,72,-0.16
9,0,40006,Erik van Rooyen,69.44,50,72,-0.26
16,0,46404,Marcus Kinhult,68.06,49,72,-0.20
16,0,01666,Bernhard Langer,68.06,49,72,-0.18
16,0,28237,Rory McIlroy,68.06,49,72,-0.29
16,0,23821,Yusaku Miyazato,68.06,49,72,-0.29
16,0,34709,Eddie Pepperell,68.06,49,72,-0.22
16,0,22405,Justin Rose,68.06,49,72,-0.24
16,0,35225,Brandon Stone,68.06,49,72,-0.06
23,0,45157,Cam Davis,66.67,48,72,-0.33
23,0,35104,Tom Lewis,66.67,48,72,-0.19
23,-15,25198,Francesco Molinari,66.67,48,72,-0.31
23,0,24502,Adam Scott,66.67,48,72,-0.29
23,0,21528,Henrik Stenson,66.67,48,72,-0.21
23,0,31323,Gary Woodland,66.67,48,72,-0.17
23,0,08793,Tiger Woods,66.67,48,72,-0.29
30,0,33948,Byeong Hun An,65.28,47,72,-0.19
30,0,25364,Paul Casey,65.28,47,72,-0.13
30,0,32366,Kevin Chappell,65.28,47,72,-0.30
30,0,20229,Stewart Cink,65.28,47,72,-0.28
30,0,27896,Ross Fisher,65.28,47,72,-0.26
30,0,26908,Yuta Ikeda,65.28,47,72,-0.17
30,0,32815,Masahiro Kawamura,65.28,47,72,-0.26
30,0,37455,Si Woo Kim,65.28,47,72,-0.13
30,0,27129,Luke List,65.28,47,72,-0.28
30,0,27349,Alex Noren,65.28,47,72,-0.23
40,0,26499,Rafa Cabrera Bello,63.89,46,72,-0.07
40,0,29936,Ryan Fox,63.89,46,72,-0.13
40,0,35461,Beau Hossler,63.89,46,72,-0.15
40,0,35296,Haotong Li,63.89,46,72,-0.28
40,0,37447,Zander Lombard,63.89,46,72,-0.24
40,0,24361,Pat Perez,63.89,46,72,-0.30
40,0,33293,Thomas Pieters,63.89,46,72,-0.24
40,0,34046,Jordan Spieth,63.89,46,72,-0.28
40,0,20396,Lee Westwood,63.89,46,72,-0.15
49,0,31273,Gavin Kyle Green,62.50,45,72,-0.16
49,0,39058,Lucas Herbert,62.50,45,72,-0.24
49,-3,24024,Zach Johnson,62.50,45,72,-0.27
49,7,26596,Ryan Moore,62.50,45,72,-0.29
53,0,39524,Sean Crocker,61.11,44,72,-0.27
53,0,30907,Rhys Enoch,61.11,44,72,-0.30
53,0,33399,Adam Hadwin,61.11,44,72,-0.23
53,0,36689,Brooks Koepka,61.11,44,72,-0.32
53,0,35174,Matthew Southgate,61.11,44,72,-0.25
53,0,22000,Chris Wood,61.11,44,72,-0.20
59,0,33141,Keegan Bradley,59.72,43,72,-0.16
59,0,29478,Kevin Kisner,59.72,43,72,-0.35
59,0,23108,Matt Kuchar,59.72,43,72,-0.28
59,0,26851,Marc Leishman,59.72,43,72,-0.26
59,0,48081,Xander Schauffele,59.72,43,72,-0.33
64,0,28089,Jason Day,58.33,42,72,-0.31
64,0,32102,Rickie Fowler,58.33,42,72,-0.36
64,0,32816,Satoshi Kodaira,58.33,42,72,-0.21
64,0,45478,Julian Suri,58.33,42,72,-0.33
68,0,25396,Kevin Na,56.94,41,72,-0.22
68,0,23797,Brett Rumford,56.94,41,72,-0.22
68,0,39113,Shubhankar Sharma,56.94,41,72,-0.24
71,0,47959,Bryson DeChambeau,54.17,39,72,-0.26
71,0,27974,Sung Kang,54.17,39,72,-0.21
71,-68,39975,Michael Kim,54.17,39,72,-0.21
71,0,26328,Shaun Norris,54.17,39,72,-0.23
71,0,34360,Patrick Reed,54.17,39,72,-0.33
76,0,30978,Kiradech Aphibarnrat,52.78,38,72,-0.29
76,0,55647,Sam Locke,52.78,38,72,-0.32
76,0,35891,Cameron Smith,52.78,38,72,-0.26
79,0,46567,Paul Dunne,48.61,35,72,-0.23
