RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,26328,Shaun Norris,24.00,24,1
1,0,48081,Xander Schauffele,24.00,24,1
3,0,39113,Shubhankar Sharma,25.00,25,1
3,0,34046,Jordan Spieth,25.00,25,1
3,0,45478,Julian Suri,25.00,25,1
6,0,32366,Kevin Chappell,26.00,26,1
6,0,30911,Tommy Fleetwood,26.00,26,1
6,0,32102,Rickie Fowler,26.00,26,1
6,2,39975,Michael Kim,26.00,26,1
6,0,36689,Brooks Koepka,26.00,26,1
6,0,24361,Pat Perez,26.00,26,1
12,0,33141,Keegan Bradley,27.00,27,1
12,0,29936,Ryan Fox,27.00,27,1
12,0,55647,Sam Locke,27.00,27,1
12,0,01810,Phil Mickelson,27.00,27,1
12,17,25198,Francesco Molinari,27.00,27,1
12,0,34709,Eddie Pepperell,27.00,27,1
12,0,23797,Brett Rumford,27.00,27,1
12,0,35174,Matthew Southgate,27.00,27,1
20,0,30978,Kiradech Aphibarnrat,28.00,28,1
20,0,28089,Jason Day,28.00,28,1
20,0,33399,Adam Hadwin,28.00,28,1
20,0,39058,Lucas Herbert,28.00,28,1
20,9,24024,Zach Johnson,28.00,28,1
20,0,27974,Sung Kang,28.00,28,1
20,0,23108,Matt Kuchar,28.00,28,1
20,0,26851,Marc Leishman,28.00,28,1
20,0,35104,Tom Lewis,28.00,28,1
20,0,35891,Cameron Smith,28.00,28,1
30,0,20229,Stewart Cink,29.00,29,1
30,0,46567,Paul Dunne,29.00,29,1
30,0,34363,Tyrrell Hatton,29.00,29,1
30,0,12716,Charley Hoffman,29.00,29,1
30,0,32815,Masahiro Kawamura,29.00,29,1
30,0,29478,Kevin Kisner,29.00,29,1
30,0,32816,Satoshi Kodaira,29.00,29,1
30,0,28237,Rory McIlroy,29.00,29,1
30,12,26596,Ryan Moore,29.00,29,1
30,0,21528,Henrik Stenson,29.00,29,1
40,0,35450,Patrick Cantlay,30.00,30,1
40,0,25364,Paul Casey,30.00,30,1
40,-11,46435,Austin Cook,30.00,30,1
40,0,39524,Sean Crocker,30.00,30,1
40,0,45157,Cam Davis,30.00,30,1
40,0,47959,Bryson DeChambeau,30.00,30,1
40,0,31273,Gavin Kyle Green,30.00,30,1
40,0,46404,Marcus Kinhult,30.00,30,1
40,0,35296,Haotong Li,30.00,30,1
40,0,23821,Yusaku Miyazato,30.00,30,1
40,0,26329,Louis Oosthuizen,30.00,30,1
40,0,34360,Patrick Reed,30.00,30,1
40,0,22405,Justin Rose,30.00,30,1
40,0,24502,Adam Scott,30.00,30,1
40,0,29221,Webb Simpson,30.00,30,1
40,0,22000,Chris Wood,30.00,30,1
56,0,33948,Byeong Hun An,31.00,31,1
56,0,26499,Rafa Cabrera Bello,31.00,31,1
56,0,30907,Rhys Enoch,31.00,31,1
56,0,35461,Beau Hossler,31.00,31,1
56,0,25396,Kevin Na,31.00,31,1
56,0,30110,Kyle Stanley,31.00,31,1
56,0,40006,Erik van Rooyen,31.00,31,1
63,0,29725,Tony Finau,32.00,32,1
63,0,26908,Yuta Ikeda,32.00,32,1
63,0,37455,Si Woo Kim,32.00,32,1
63,0,01666,Bernhard Langer,32.00,32,1
63,0,27349,Alex Noren,32.00,32,1
63,0,33968,Thorbjørn Olesen,32.00,32,1
63,0,08793,Tiger Woods,32.00,32,1
70,0,25686,Jason Dufner,33.00,33,1
70,0,27896,Ross Fisher,33.00,33,1
70,0,37447,Zander Lombard,33.00,33,1
70,0,33293,Thomas Pieters,33.00,33,1
70,0,29518,Brendan Steele,33.00,33,1
70,0,20396,Lee Westwood,33.00,33,1
70,0,32139,Danny Willett,33.00,33,1
70,0,31323,Gary Woodland,33.00,33,1
78,0,27129,Luke List,34.00,34,1
78,0,35225,Brandon Stone,34.00,34,1
