RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,39,33448,Justin Thomas,26.25,105,4,24
1,14,37189,Harold Varner III,26.25,105,4,24
3,0,30978,Kiradech Aphibarnrat,26.50,106,4,23
4,58,29221,Webb Simpson,27.00,108,4,23
4,0,25632,Jimmy Walker,27.00,108,4,23
6,28,34563,Chesson Hadley,27.25,109,4,24
6,0,29420,Billy Horschel,27.25,109,4,22
8,-7,28089,Jason Day,27.50,110,4,25
8,0,29926,Danny Lee,27.50,110,4,26
8,0,26476,Chez Reavie,27.50,110,4,26
8,48,27963,Chris Stroud,27.50,110,4,26
12,0,33141,Keegan Bradley,27.75,111,4,26
12,-1,27556,Ted Potter Jr.,27.75,111,4,24
12,60,08793,Tiger Woods,27.75,111,4,27
15,0,39954,Cody Gribble,28.00,112,4,24
15,0,24138,Ian Poulter,28.00,112,4,27
17,23,46435,Austin Cook,28.25,113,4,26
17,0,29461,Jamie Lovemark,28.25,113,4,24
17,0,23320,Ryan Palmer,28.25,113,4,25
17,9,48081,Xander Schauffele,28.25,113,4,28
21,0,26499,Rafa Cabrera Bello,28.50,114,4,27
21,27,25686,Jason Dufner,28.50,114,4,27
21,35,36689,Brooks Koepka,28.50,114,4,28
21,0,24502,Adam Scott,28.50,114,4,27
21,0,34046,Jordan Spieth,28.50,114,4,24
21,0,28132,Tyrone Van Aswegen,28.50,114,4,25
27,0,29479,Scott Brown,28.75,115,4,28
27,-1,21961,Charles Howell III,28.75,115,4,25
27,7,35506,Mackenzie Hughes,28.75,115,4,26
27,0,27936,Martin Laird,28.75,115,4,28
27,0,33410,Andrew Landry,28.75,115,4,27
27,40,33204,Shane Lowry,28.75,115,4,27
27,0,25396,Kevin Na,28.75,115,4,27
27,0,22405,Justin Rose,28.75,115,4,26
27,21,27095,Nick Watney,28.75,115,4,26
36,4,47959,Bryson DeChambeau,29.00,116,4,25
36,0,30911,Tommy Fleetwood,29.00,116,4,28
36,0,21209,Sergio Garcia,29.00,116,4,27
36,26,31646,Emiliano Grillo,29.00,116,4,28
36,4,34213,Grayson Murray,29.00,116,4,27
36,-21,23621,Rory Sabbatini,29.00,116,4,24
42,0,23108,Matt Kuchar,29.25,117,4,26
42,0,26851,Marc Leishman,29.25,117,4,25
42,-31,26331,Charl Schwartzel,29.25,117,4,29
42,-16,27064,Jhonattan Vegas,29.25,117,4,25
46,0,35450,Patrick Cantlay,29.50,118,4,26
46,0,40098,Matt Fitzpatrick,29.50,118,4,28
46,28,29535,Brice Garnett,29.50,118,4,27
46,0,30925,Dustin Johnson,29.50,118,4,27
46,0,27349,Alex Noren,29.50,118,4,27
46,0,29908,C.T. Pan,29.50,118,4,25
52,-12,33948,Byeong Hun An,29.75,119,4,28
52,0,37455,Si Woo Kim,29.75,119,4,28
52,-37,34360,Patrick Reed,29.75,119,4,28
52,0,25804,Bubba Watson,29.75,119,4,28
56,-54,29725,Tony Finau,30.00,120,4,29
56,14,27896,Ross Fisher,30.00,120,4,29
56,-16,33399,Adam Hadwin,30.00,120,4,28
56,0,30944,Jason Kokrak,30.00,120,4,28
56,0,06527,Steve Stricker,30.00,120,4,29
56,0,32333,Kevin Tway,30.00,120,4,29
62,0,40026,Daniel Berger,30.25,121,4,29
62,0,29974,Branden Grace,30.25,121,4,27
62,0,30926,Chris Kirk,30.25,121,4,29
65,0,26596,Ryan Moore,30.50,122,4,28
66,-40,35421,Brandon Harkins,30.75,123,4,30
66,-4,35461,Beau Hossler,30.75,123,4,28
68,0,23353,J.J. Henry,31.25,125,4,28
68,0,47128,Richy Werenski,31.25,125,4,29
70,0,21528,Henrik Stenson,31.50,126,4,29
71,0,46970,Jon Rahm,32.25,129,4,29
