RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,35296,Haotong Li,70.83,51,72,-0.14
2,0,30911,Tommy Fleetwood,69.44,50,72,-0.20
2,8,30925,Dustin Johnson,69.44,50,72,-0.14
4,29,36689,Brooks Koepka,68.06,49,72,-0.27
5,0,40098,Matt Fitzpatrick,66.67,48,72,-0.15
6,16,45609,Tyler Duncan,65.28,47,72,-0.06
6,0,34360,Patrick Reed,65.28,47,72,-0.23
8,7,22371,Aaron Baddeley,63.89,46,72,-0.11
8,0,32102,Rickie Fowler,63.89,46,72,-0.17
8,0,29221,Webb Simpson,63.89,46,72,-0.20
8,-6,21528,Henrik Stenson,63.89,46,72,-0.17
12,0,30978,Kiradech Aphibarnrat,62.50,45,72,-0.22
12,0,35450,Patrick Cantlay,62.50,45,72,-0.09
12,0,29725,Tony Finau,62.50,45,72,-0.33
12,0,27896,Ross Fisher,62.50,45,72,-0.07
12,0,29936,Ryan Fox,62.50,45,72,-0.09
12,0,34363,Tyrrell Hatton,62.50,45,72,-0.18
12,0,26851,Marc Leishman,62.50,45,72,-0.07
12,30,01810,Phil Mickelson,62.50,45,72,-0.20
12,0,26329,Louis Oosthuizen,62.50,45,72,-0.04
12,0,22405,Justin Rose,62.50,45,72,-0.13
12,0,29518,Brendan Steele,62.50,45,72,-0.02
12,21,29484,Peter Uihlein,62.50,45,72,-0.13
24,0,25364,Paul Casey,61.11,44,72,-0.11
24,0,27644,Brian Harman,61.11,44,72,-0.09
24,0,34098,Russell Henley,61.11,44,72,-0.18
24,0,12716,Charley Hoffman,61.11,44,72,-0.11
24,0,32839,Hideki Matsuyama,61.11,44,72,-0.11
24,0,25198,Francesco Molinari,61.11,44,72,-0.16
24,0,36699,Patrick Rodgers,61.11,44,72,-0.20
24,0,48081,Xander Schauffele,61.11,44,72,-0.25
32,0,47959,Bryson DeChambeau,59.72,43,72,-0.16
32,-5,19846,Brian Gay,59.72,43,72,-0.21
32,0,34242,Andrew Johnston,59.72,43,72,-0.02
32,0,54318,Matt Parziale,59.72,43,72,-0.07
32,0,31323,Gary Woodland,59.72,43,72,-0.19
37,0,25686,Jason Dufner,58.33,42,72,-0.12
37,0,48126,Calum Hill,58.33,42,72,-0.12
37,0,33122,Russell Knox,58.33,42,72,-0.24
37,0,27064,Jhonattan Vegas,58.33,42,72,-0.12
41,0,40026,Daniel Berger,56.94,41,72,-0.24
41,0,47504,Sam Burns,56.94,41,72,-0.17
41,-19,21961,Charles Howell III,56.94,41,72,-0.20
41,0,24024,Zach Johnson,56.94,41,72,-0.12
41,0,48153,Matthieu Pavon,56.94,41,72,-0.12
41,0,24361,Pat Perez,56.94,41,72,-0.12
47,0,33948,Byeong Hun An,55.56,40,72,-0.05
47,0,33974,Dean Burmester,55.56,40,72,-0.18
47,0,26499,Rafa Cabrera Bello,55.56,40,72,-0.08
47,0,52330,Dylan Meyer,55.56,40,72,-0.33
47,0,25349,Tim Wilkinson,55.56,40,72,-0.08
52,0,55412,Mickey DeMorat,54.17,39,72,-0.13
52,0,24138,Ian Poulter,54.17,39,72,-0.26
52,-10,06527,Steve Stricker,54.17,39,72,-0.18
52,0,33448,Justin Thomas,54.17,39,72,-0.13
56,0,32366,Kevin Chappell,52.78,38,72,-0.29
56,0,29974,Branden Grace,52.78,38,72,-0.16
56,0,24924,Bill Haas,52.78,38,72,-0.13
56,0,25818,Scott Piercy,52.78,38,72,-0.08
56,-1,27649,Brandt Snedeker,52.78,38,72,-0.13
61,0,39537,Chris Naegel,51.39,37,72,-0.16
62,0,10809,Jim Furyk,50.00,36,72,-0.14
62,0,25632,Jimmy Walker,50.00,36,72,-0.14
64,0,55413,Luis Gagne,48.61,35,72,-0.11
64,0,46439,Will Grimmer,48.61,35,72,-0.17
66,0,27349,Alex Noren,45.83,33,72,-0.24
67,0,36685,Cameron Wilson,44.44,32,72,-0.19
