RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,27,33410,Andrew Landry,3.117,.901,1.923,.294,4
2,59,30926,Chris Kirk,2.771,.635,.860,1.275,4
3,0,24140,Sean O'Hair,2.671,.893,1.498,.281,4
4,27,27214,Kevin Streelman,2.553,.781,.455,1.317,4
5,33,39546,Keith Mitchell,2.416,1.175,.588,.653,4
6,57,24024,Zach Johnson,2.404,.227,.956,1.221,4
7,9,26596,Ryan Moore,2.335,.778,1.522,.035,4
8,49,22371,Aaron Baddeley,2.193,.078,.953,1.162,4
9,0,25632,Jimmy Walker,2.061,-.312,1.258,1.114,4
10,0,45486,Joaquin Niemann,2.059,.674,1.895,-.510,4
11,0,23541,Ben Crane,2.036,.480,.436,1.120,4
12,0,29518,Brendan Steele,1.924,1.214,.863,-.152,4
13,0,46601,Trey Mullinax,1.911,.225,.823,.864,4
14,0,26951,Johnson Wagner,1.767,-.199,1.206,.760,4
15,24,27936,Martin Laird,1.721,1.001,.565,.155,4
16,0,33141,Keegan Bradley,1.656,-.157,1.684,.129,4
17,28,29420,Billy Horschel,1.615,.771,.727,.117,4
18,6,27649,Brandt Snedeker,1.593,-.291,.708,1.177,4
19,37,46501,Ollie Schniederjans,1.430,.066,1.361,.003,4
20,0,34256,Andrew Putnam,1.339,.005,.782,.552,4
21,0,34213,Grayson Murray,1.199,1.068,-.243,.375,4
22,0,26758,David Hearn,1.197,-.272,1.087,.382,4
23,0,39997,Corey Conners,1.149,.494,.278,.377,4
24,31,34099,Harris English,1.119,.174,-.416,1.362,4
24,43,25572,Graeme McDowell,1.119,.775,-.330,.674,4
26,0,29461,Jamie Lovemark,1.085,.270,.871,-.056,4
26,21,27095,Nick Watney,1.085,.371,.658,.056,4
28,-18,29970,Dylan Frittelli,.981,1.202,.228,-.449,4
29,0,23325,Vaughn Taylor,.950,.086,-.005,.869,4
30,13,34563,Chesson Hadley,.935,.194,.048,.693,4
31,0,49771,J.T. Poston,.755,.822,-.640,.572,4
32,0,39324,J.J. Spaun,.747,-.277,1.090,-.066,4
33,37,35461,Beau Hossler,.686,.411,-.094,.369,4
34,0,32366,Kevin Chappell,.636,-.084,1.494,-.773,4
35,0,47128,Richy Werenski,.632,.190,.035,.407,4
36,-7,20572,Rod Pampling,.629,.098,.468,.063,4
37,0,32333,Kevin Tway,.587,.348,.546,-.308,4
38,0,37275,Sam Ryder,.516,-.348,1.359,-.496,4
39,0,06522,Ernie Els,.345,.013,.324,.008,4
40,0,37278,Nicholas Lindheim,.344,-.331,-.046,.721,4
41,-35,37455,Si Woo Kim,.314,.921,-1.659,1.052,4
42,-25,23108,Matt Kuchar,.283,-.200,-.169,.652,4
43,29,31560,Brian Stuard,.211,.196,-.313,.328,4
44,0,37338,Zecheng Dou,.164,.676,-.515,.002,4
45,0,20157,Retief Goosen,.162,-.846,.378,.630,4
46,-23,46435,Austin Cook,.089,.726,-.486,-.151,4
47,26,34409,David Lingmerth,-.043,.494,-.644,.107,4
48,0,47993,Denny McCarthy,-.080,-.322,.166,.077,4
48,0,32640,Troy Merritt,-.080,.481,.069,-.629,4
50,0,47125,Matt Atkins,-.099,-.319,-.546,.766,4
51,17,10809,Jim Furyk,-.110,-.991,.423,.458,4
52,-18,12716,Charley Hoffman,-.208,.969,-.348,-.829,4
53,0,35310,Lanto Griffin,-.226,.126,.114,-.466,4
54,-4,33413,Ben Martin,-.293,-.372,.123,-.044,4
55,0,40058,Zac Blair,-.325,-.853,.295,.234,4
56,0,24846,Ricky Barnes,-.383,-1.543,.416,.745,4
57,0,45526,Abraham Ancer,-.410,.993,-1.153,-.250,4
58,0,39327,Ben Silverman,-.422,.237,-.121,-.538,4
59,0,30944,Jason Kokrak,-.433,-.540,.016,.091,4
60,0,45478,Julian Suri,-.577,-.842,.965,-.699,4
61,0,25834,Daniel Summerhays,-.595,-1.034,-.553,.992,4
62,0,35544,Andrew Yun,-.601,-.239,.453,-.814,4
63,0,31420,Anirban Lahiri,-.635,-.680,-.416,.462,4
64,12,24357,K.J. Choi,-.636,-1.139,.510,-.006,4
65,0,47347,Adam Schenk,-.736,.501,-1.786,.550,4
66,0,39436,Joshua Creel,-.790,-.065,.041,-.765,4
67,-1,29926,Danny Lee,-.840,.123,.212,-1.174,4
68,0,28158,Steve Marino,-1.122,-.160,.452,-1.414,4
69,-7,34466,Peter Malnati,-1.128,-.699,-.251,-.177,4
70,0,24781,Hunter Mahan,-1.282,.878,-.710,-1.450,4
71,0,47287,Ethan Tracy,-1.372,-.714,-.625,-.033,4
72,3,32150,Michael Thompson,-2.358,-1.025,-1.261,-.072,4
