PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
56278,Matthew Wolff,2019 3M Open,0.16875,0.552,2.361,0.416
50525,Collin Morikawa,2019 3M Open,0.04875,0.767,2.676,-0.244
40115,Adam Svensson,2019 3M Open,-1.28475,0.848,0.948,1.237
49298,Kramer Hickok,2019 3M Open,-1.7565,0.549,0.413,1.792
39997,Corey Conners,2019 3M Open,-1.6555,0.978,1.594,-0.169
27214,Kevin Streelman,2019 3M Open,-1.143,0.105,1.884,0.402
33667,Carlos Ortiz,2019 3M Open,0.17825,0.713,1.285,0.322
46717,Viktor Hovland,2019 3M Open,-0.29075,1.169,1.374,-0.254
27936,Martin Laird,2019 3M Open,-1.224,0.258,1.618,0.346
32839,Hideki Matsuyama,2019 3M Open,0.04825,0.559,1.759,-0.118
47504,Sam Burns,2019 3M Open,0.1775,1.337,0.217,0.516
29518,Brendan Steele,2019 3M Open,-1.56375,0.918,0.778,0.366
29970,Dylan Frittelli,2019 3M Open,-1.25275,0.411,1.747,-0.158
49633,Charlie Danielson,2019 3M Open,-0.20025,0.042,1.85,0.056
47959,Bryson DeChambeau,2019 3M Open,1.3055,0.834,1.067,0.042
34360,Patrick Reed,2019 3M Open,-0.43725,0.248,1.53,0.157
29725,Tony Finau,2019 3M Open,-0.219,-0.015,1.325,0.407
28132,Tyrone Van Aswegen,2019 3M Open,-1.16525,0.084,1.375,0.204
45486,Joaquin Niemann,2019 3M Open,-0.07125,0.371,0.842,0.356
29268,Bronson Burgoon,2019 3M Open,-0.315,0.56,0.401,0.603
25818,Scott Piercy,2019 3M Open,0.2065,0.661,1.052,-0.172
40026,Daniel Berger,2019 3M Open,0.21975,0.748,0.137,0.644
21961,Charles Howell III,2019 3M Open,0.00175,0.354,0.375,0.767
28679,Fabián Gómez,2019 3M Open,0.53375,-0.72,1.069,1.115
29535,Brice Garnett,2019 3M Open,0.06625,0.65,0.635,0.146
29479,Scott Brown,2019 3M Open,0.3205,0.032,0.999,0.396
29223,Sam Saunders,2019 3M Open,0.071,-0.469,0.801,1.095
27644,Brian Harman,2019 3M Open,0.848,0.237,0.987,0.176
46523,Joey Garber,2019 3M Open,0.907,0.916,1.138,-0.713
51766,Wyndham Clark,2019 3M Open,1.1665,0.081,0.798,0.452
33419,Cameron Tringale,2019 3M Open,-0.33325,0.056,0.484,0.792
39971,Sungjae Im,2019 3M Open,0.4795,0.809,-0.172,0.632
33486,Roger Sloan,2019 3M Open,0.5305,0.176,0.502,0.539
33399,Adam Hadwin,2019 3M Open,1.59025,0.407,1.664,-0.913
49766,Hank Lebioda,2019 3M Open,0.10725,0.07,0.94,0.131
34431,Robert Streb,2019 3M Open,0.27675,0.114,1.03,-0.173
33418,Shawn Stefani,2019 3M Open,0.817,0.632,0.169,0.129
34021,Bud Cauley,2019 3M Open,0.40575,0.26,0.489,0.093
25493,Nick Taylor,2019 3M Open,-0.028,0.325,0.437,0.013
37275,Sam Ryder,2019 3M Open,0.48875,-0.021,0.584,0.197
25900,Lucas Glover,2019 3M Open,1.51575,0.82,0.155,-0.243
32640,Troy Merritt,2019 3M Open,1.51525,-0.055,0.375,0.413
47990,Kyle Jones,2019 3M Open,-0.6615,0.078,-0.027,0.609
34466,Peter Malnati,2019 3M Open,0.1645,-0.9,0.671,0.813
35532,Tom Hoge,2019 3M Open,0.91625,0.532,0.674,-0.624
24361,Pat Perez,2019 3M Open,-0.0045,-0.584,0.713,0.373
32200,Roberto Castro,2019 3M Open,0.27,0.366,0.723,-0.612
28089,Jason Day,2019 3M Open,-0.979,0.666,0.671,-0.86
35461,Beau Hossler,2019 3M Open,0.88325,0.26,0.469,-0.364
47128,Richy Werenski,2019 3M Open,0.452,0.019,-0.181,0.458
19846,Brian Gay,2019 3M Open,-0.0125,0.085,-0.018,0.193
21407,Arjun Atwal,2019 3M Open,1.39525,-1.331,0.983,0.451
26951,Johnson Wagner,2019 3M Open,1.433,0.331,-0.388,0.122
