PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
25818,Scott Piercy,2019 AT&T Byron Nelson,0.89225,0.476,1.676,0.518
23621,Rory Sabbatini,2019 AT&T Byron Nelson,0.25825,0.277,1.431,0.596
45609,Tyler Duncan,2019 AT&T Byron Nelson,0.48925,0.542,0.983,0.548
28307,Matt Every,2019 AT&T Byron Nelson,1.62825,0.201,1.101,0.631
49298,Kramer Hickok,2019 AT&T Byron Nelson,-0.0865,0.724,1.097,0.077
36689,Brooks Koepka,2019 AT&T Byron Nelson,1.504,1.017,1.183,-0.392
49964,Aaron Wise,2019 AT&T Byron Nelson,-1.18575,0.865,0.505,0.377
21528,Henrik Stenson,2019 AT&T Byron Nelson,-0.1065,0.0,1.086,0.583
33667,Carlos Ortiz,2019 AT&T Byron Nelson,0.41475,0.209,1.054,0.385
24361,Pat Perez,2019 AT&T Byron Nelson,0.42225,-0.185,1.315,0.509
23320,Ryan Palmer,2019 AT&T Byron Nelson,-1.019,1.413,0.634,-0.466
27974,Sung Kang,2019 AT&T Byron Nelson,2.575,0.571,1.092,-0.176
45157,Cam Davis,2019 AT&T Byron Nelson,-0.66,1.261,-0.63,0.841
35421,Brandon Harkins,2019 AT&T Byron Nelson,-0.97275,0.462,0.218,0.605
52375,Doug Ghim,2019 AT&T Byron Nelson,0.79475,0.321,0.287,0.66
26300,Matt Jones,2019 AT&T Byron Nelson,1.32625,0.567,0.245,0.424
33418,Shawn Stefani,2019 AT&T Byron Nelson,0.33775,-0.309,1.46,0.074
37278,Nicholas Lindheim,2019 AT&T Byron Nelson,0.87325,-0.604,1.235,0.558
46523,Joey Garber,2019 AT&T Byron Nelson,-0.042,0.306,0.588,0.21
34098,Russell Henley,2019 AT&T Byron Nelson,-0.29075,-0.525,0.927,0.701
32839,Hideki Matsuyama,2019 AT&T Byron Nelson,0.2285,0.7,0.341,0.043
29970,Dylan Frittelli,2019 AT&T Byron Nelson,-1.484,0.379,0.595,0.072
