RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,7,36689,Brooks Koepka,73.61,53,72,-0.26
2,0,31323,Gary Woodland,70.83,51,72,-0.22
3,0,48081,Xander Schauffele,69.44,50,72,-0.18
3,0,25632,Jimmy Walker,69.44,50,72,-0.12
3,0,32139,Danny Willett,69.44,50,72,-0.16
6,0,33141,Keegan Bradley,68.06,49,72,-0.10
6,0,27896,Ross Fisher,68.06,49,72,-0.16
6,0,30925,Dustin Johnson,68.06,49,72,-0.33
9,0,34363,Tyrrell Hatton,66.67,48,72,-0.13
9,0,25198,Francesco Molinari,66.67,48,72,-0.21
9,0,40006,Erik van Rooyen,66.67,48,72,-0.31
12,0,25364,Paul Casey,65.28,47,72,-0.21
12,0,52372,Cameron Champ,65.28,47,72,-0.11
12,0,32102,Rickie Fowler,65.28,47,72,-0.15
12,0,31646,Emiliano Grillo,65.28,47,72,-0.26
12,0,23108,Matt Kuchar,65.28,47,72,-0.21
12,0,35449,Adam Long,65.28,47,72,-0.04
12,0,28237,Rory McIlroy,65.28,47,72,-0.21
12,0,22405,Justin Rose,65.28,47,72,-0.17
20,0,35450,Patrick Cantlay,63.89,46,72,-0.22
20,0,39997,Corey Conners,63.89,46,72,-0.07
20,0,40098,Matt Fitzpatrick,63.89,46,72,-0.20
20,0,33204,Shane Lowry,63.89,46,72,-0.13
20,0,33968,Thorbjørn Olesen,63.89,46,72,-0.13
20,-16,25818,Scott Piercy,63.89,46,72,-0.17
20,0,29221,Webb Simpson,63.89,46,72,-0.17
27,0,33803,Lucas Bjerregaard,62.50,45,72,-0.20
27,0,34076,Joel Dahmen,62.50,45,72,-0.16
27,0,30911,Tommy Fleetwood,62.50,45,72,-0.22
27,0,47238,Jazz Janewattananond,62.50,45,72,-0.27
27,-10,27974,Sung Kang,62.50,45,72,-0.18
27,0,48117,Kurt Kitayama,62.50,45,72,-0.09
27,0,25572,Graeme McDowell,62.50,45,72,-0.22
34,0,28089,Jason Day,61.11,44,72,-0.20
34,11,35461,Beau Hossler,61.11,44,72,-0.23
34,0,35296,Haotong Li,61.11,44,72,-0.23
34,-6,33293,Thomas Pieters,61.11,44,72,-0.20
34,0,27649,Brandt Snedeker,61.11,44,72,-0.27
34,1,34046,Jordan Spieth,61.11,44,72,-0.30
40,0,47504,Sam Burns,59.72,43,72,-0.28
40,0,29725,Tony Finau,59.72,43,72,-0.19
40,0,33399,Adam Hadwin,59.72,43,72,-0.14
40,11,28938,Justin Harding,59.72,43,72,-0.16
40,0,29420,Billy Horschel,59.72,43,72,-0.23
40,0,24024,Zach Johnson,59.72,43,72,-0.09
40,-37,49964,Aaron Wise,59.72,43,72,-0.16
47,0,29268,Bronson Burgoon,58.33,42,72,-0.17
47,0,39977,Max Homa,58.33,42,72,-0.14
47,0,30944,Jason Kokrak,58.33,42,72,-0.21
47,0,27129,Luke List,58.33,42,72,-0.26
47,0,28300,Joost Luiten,58.33,42,72,-0.14
47,4,32839,Hideki Matsuyama,58.33,42,72,-0.36
47,0,24502,Adam Scott,58.33,42,72,-0.19
47,-39,21528,Henrik Stenson,58.33,42,72,-0.17
47,-30,32333,Kevin Tway,58.33,42,72,-0.12
47,0,37189,Harold Varner III,58.33,42,72,-0.24
57,12,45526,Abraham Ancer,56.94,41,72,-0.22
57,0,12716,Charley Hoffman,56.94,41,72,-0.20
57,-22,27349,Alex Noren,56.94,41,72,-0.20
57,0,49771,J.T. Poston,56.94,41,72,-0.07
57,0,48887,Matt Wallace,56.94,41,72,-0.34
62,-54,40026,Daniel Berger,55.56,40,72,-0.15
62,0,29772,Michael Lorenzo-Vera,55.56,40,72,-0.25
62,-5,39324,J.J. Spaun,55.56,40,72,-0.23
65,-20,30978,Kiradech Aphibarnrat,54.17,39,72,-0.31
65,0,25900,Lucas Glover,54.17,39,72,-0.28
65,0,39058,Lucas Herbert,54.17,39,72,-0.31
65,0,21961,Charles Howell III,54.17,39,72,-0.23
65,0,26329,Louis Oosthuizen,54.17,39,72,-0.23
65,0,35891,Cameron Smith,54.17,39,72,-0.18
71,0,36326,David Lipsky,52.78,38,72,-0.21
72,0,35879,Kelly Kraft,51.39,37,72,-0.16
72,0,25431,Rob Labritz,51.39,37,72,-0.19
72,0,01810,Phil Mickelson,51.39,37,72,-0.22
72,0,34256,Andrew Putnam,51.39,37,72,-0.24
76,0,29926,Danny Lee,50.00,36,72,-0.31
76,0,26476,Chez Reavie,50.00,36,72,-0.31
78,0,23614,Rich Beem,47.22,34,72,-0.29
78,-27,26499,Rafa Cabrera Bello,47.22,34,72,-0.15
78,-43,24361,Pat Perez,47.22,34,72,-0.21
78,0,24964,Ryan Vermeer,47.22,34,72,-0.12
82,0,26735,Marty Jertson,41.67,30,72,-0.17
