RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,6,34046,Jordan Spieth,2.659,10.636,4
2,0,27129,Luke List,1.804,7.218,4
3,0,26476,Chez Reavie,1.775,7.101,4
4,0,48887,Matt Wallace,1.713,6.854,4
5,0,47238,Jazz Janewattananond,1.676,6.704,4
6,0,25572,Graeme McDowell,1.633,6.533,4
7,0,25431,Rob Labritz,1.532,6.129,4
8,0,35879,Kelly Kraft,1.477,5.908,4
9,-6,28938,Justin Harding,1.381,5.525,4
10,0,25900,Lucas Glover,1.240,4.960,4
11,28,32839,Hideki Matsuyama,.986,3.946,4
12,0,37189,Harold Varner III,.914,3.658,4
13,0,23108,Matt Kuchar,.913,3.653,4
14,0,34256,Andrew Putnam,.911,3.644,4
15,40,45526,Abraham Ancer,.890,3.561,4
16,0,29926,Danny Lee,.879,3.517,4
17,0,28237,Rory McIlroy,.874,3.497,4
18,0,33204,Shane Lowry,.799,3.195,4
19,0,33803,Lucas Bjerregaard,.750,3.001,4
20,0,30925,Dustin Johnson,.748,2.991,4
21,23,26499,Rafa Cabrera Bello,.709,2.837,4
22,0,52372,Cameron Champ,.690,2.760,4
23,-10,33293,Thomas Pieters,.656,2.624,4
24,0,29420,Billy Horschel,.618,2.471,4
25,0,28089,Jason Day,.616,2.463,4
26,0,29268,Bronson Burgoon,.586,2.344,4
27,0,22405,Justin Rose,.578,2.313,4
28,0,23614,Rich Beem,.575,2.299,4
29,5,35461,Beau Hossler,.565,2.259,4
30,0,48081,Xander Schauffele,.554,2.218,4
31,0,47504,Sam Burns,.532,2.127,4
32,0,35450,Patrick Cantlay,.497,1.989,4
33,0,29221,Webb Simpson,.486,1.945,4
34,-2,24361,Pat Perez,.475,1.900,4
35,0,35449,Adam Long,.459,1.838,4
36,-16,25818,Scott Piercy,.451,1.806,4
37,27,39324,J.J. Spaun,.438,1.751,4
38,0,26735,Marty Jertson,.431,1.724,4
39,-37,27974,Sung Kang,.424,1.695,4
40,0,30911,Tommy Fleetwood,.403,1.611,4
41,0,29772,Michael Lorenzo-Vera,.379,1.517,4
42,0,35296,Haotong Li,.359,1.438,4
43,0,40006,Erik van Rooyen,.352,1.407,4
44,0,25632,Jimmy Walker,.341,1.365,4
45,-26,27349,Alex Noren,.329,1.317,4
46,-38,36689,Brooks Koepka,.287,1.148,4
47,0,39058,Lucas Herbert,.259,1.035,4
48,0,32139,Danny Willett,.255,1.021,4
49,0,28300,Joost Luiten,.211,.845,4
50,0,24502,Adam Scott,.188,.753,4
51,0,01810,Phil Mickelson,.167,.668,4
52,0,36326,David Lipsky,.146,.586,4
53,0,32102,Rickie Fowler,.137,.548,4
54,0,12716,Charley Hoffman,.098,.391,4
55,0,27896,Ross Fisher,.096,.385,4
56,-6,21528,Henrik Stenson,.095,.382,4
57,0,24964,Ryan Vermeer,.029,.115,4
58,0,35891,Cameron Smith,.014,.056,4
59,0,27649,Brandt Snedeker,-.024,-.097,4
60,0,31646,Emiliano Grillo,-.042,-.168,4
61,-60,30978,Kiradech Aphibarnrat,-.080,-.319,4
62,0,40098,Matt Fitzpatrick,-.158,-.630,4
63,0,33968,Thorbjørn Olesen,-.177,-.708,4
64,0,48117,Kurt Kitayama,-.200,-.801,4
65,5,49964,Aaron Wise,-.260,-1.041,4
66,0,30944,Jason Kokrak,-.273,-1.093,4
67,0,34363,Tyrrell Hatton,-.322,-1.286,4
68,0,21961,Charles Howell III,-.350,-1.401,4
69,0,33399,Adam Hadwin,-.434,-1.735,4
70,0,26329,Louis Oosthuizen,-.454,-1.817,4
71,-9,32333,Kevin Tway,-.542,-2.167,4
72,0,49771,J.T. Poston,-.578,-2.310,4
73,0,33141,Keegan Bradley,-.579,-2.314,4
74,-39,40026,Daniel Berger,-.617,-2.469,4
75,0,24024,Zach Johnson,-.665,-2.659,4
76,0,34076,Joel Dahmen,-.797,-3.189,4
77,0,25364,Paul Casey,-.832,-3.326,4
78,0,25198,Francesco Molinari,-1.094,-4.374,4
79,0,29725,Tony Finau,-1.185,-4.741,4
80,0,39997,Corey Conners,-1.194,-4.774,4
81,0,31323,Gary Woodland,-1.211,-4.845,4
82,0,39977,Max Homa,-1.412,-5.648,4
