RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,5,36689,Brooks Koepka,4.339,1.673,2.383,.282,4
2,0,31323,Gary Woodland,3.587,1.175,2.008,.404,4
3,0,30925,Dustin Johnson,3.378,1.810,1.085,.483,4
4,0,35450,Patrick Cantlay,2.628,1.012,1.699,-.083,4
5,0,25364,Paul Casey,2.207,1.343,.775,.089,4
6,6,27974,Sung Kang,2.202,1.244,.243,.715,4
7,0,24502,Adam Scott,2.187,.688,-.295,1.794,4
8,0,40006,Erik van Rooyen,2.024,.686,1.401,-.063,4
9,0,33141,Keegan Bradley,1.954,.341,1.584,.029,4
10,0,27649,Brandt Snedeker,1.900,.202,.776,.922,4
11,0,30944,Jason Kokrak,1.899,1.098,.803,-.002,4
12,0,33399,Adam Hadwin,1.809,.343,1.173,.292,4
13,0,25198,Francesco Molinari,1.719,.582,1.509,-.372,4
14,0,31646,Emiliano Grillo,1.668,.371,1.069,.227,4
15,0,33204,Shane Lowry,1.577,.576,1.112,-.111,4
16,0,28237,Rory McIlroy,1.501,1.003,.564,-.066,4
17,0,29772,Michael Lorenzo-Vera,1.496,-.185,1.101,.581,4
18,0,23108,Matt Kuchar,1.462,.257,1.239,-.034,4
19,0,48887,Matt Wallace,1.412,.791,.315,.306,4
20,0,48081,Xander Schauffele,1.321,.770,.264,.287,4
21,0,39977,Max Homa,1.288,.708,.436,.144,4
22,0,25632,Jimmy Walker,1.284,.405,.671,.208,4
23,0,21961,Charles Howell III,1.226,.230,.767,.228,4
24,-17,49964,Aaron Wise,1.136,.738,.161,.237,4
25,0,33803,Lucas Bjerregaard,1.125,.761,.534,-.170,4
26,0,27129,Luke List,1.071,.896,-.415,.590,4
27,0,39997,Corey Conners,1.069,1.038,.385,-.354,4
28,0,29725,Tony Finau,1.061,.396,.642,.022,4
29,0,24024,Zach Johnson,1.040,.176,.270,.594,4
30,0,40098,Matt Fitzpatrick,1.033,.426,.729,-.123,4
31,0,28089,Jason Day,1.010,.489,.863,-.342,4
32,0,29420,Billy Horschel,1.008,.358,.072,.578,4
33,0,32102,Rickie Fowler,.989,.117,.446,.425,4
34,13,45526,Abraham Ancer,.985,.383,.001,.601,4
35,23,33293,Thomas Pieters,.970,.011,.173,.785,4
36,32,30978,Kiradech Aphibarnrat,.955,-.246,.421,.780,4
37,0,34363,Tyrrell Hatton,.947,.942,.230,-.225,4
38,-17,32839,Hideki Matsuyama,.889,-.189,.494,.584,4
38,0,29221,Webb Simpson,.889,.798,.605,-.514,4
40,0,47504,Sam Burns,.844,1.300,-.281,-.175,4
41,0,22405,Justin Rose,.797,.572,.544,-.319,4
42,0,35296,Haotong Li,.766,.113,.362,.291,4
43,0,49771,J.T. Poston,.703,.442,-.176,.437,4
44,0,25900,Lucas Glover,.636,.392,.088,.155,4
45,0,32139,Danny Willett,.620,.417,-.176,.379,4
46,0,26329,Louis Oosthuizen,.580,.182,.143,.255,4
47,8,35461,Beau Hossler,.561,.198,-.380,.742,4
48,-40,21528,Henrik Stenson,.530,-.789,1.842,-.523,4
49,16,34046,Jordan Spieth,.467,.173,-.010,.304,4
50,0,47238,Jazz Janewattananond,.450,.177,.613,-.341,4
51,-50,25818,Scott Piercy,.424,.306,-.439,.557,4
52,0,34076,Joel Dahmen,.423,-.280,1.280,-.578,4
53,0,35449,Adam Long,.416,-.105,.187,.335,4
54,0,26476,Chez Reavie,.350,-.585,.812,.123,4
55,0,12716,Charley Hoffman,.278,-.294,.719,-.148,4
56,0,29926,Danny Lee,.246,-1.008,1.195,.059,4
57,-29,40026,Daniel Berger,.243,-.704,.773,.174,4
58,0,30911,Tommy Fleetwood,.223,.238,.225,-.240,4
59,0,37189,Harold Varner III,.211,.474,-.690,.427,4
60,0,48117,Kurt Kitayama,.076,.499,.137,-.561,4
61,0,33968,Thorbjørn Olesen,.053,-.506,.973,-.415,4
62,-1,27349,Alex Noren,.046,.795,-.796,.047,4
63,0,29268,Bronson Burgoon,.040,-.044,-.425,.508,4
64,0,27896,Ross Fisher,.029,.815,.582,-1.368,4
65,-27,39324,J.J. Spaun,-.062,-.470,.014,.394,4
66,-42,32333,Kevin Tway,-.083,.114,-.104,-.093,4
67,0,35891,Cameron Smith,-.139,-.376,.349,-.111,4
68,0,25572,Graeme McDowell,-.258,-.284,-.009,.035,4
69,0,52372,Cameron Champ,-.315,1.514,-.314,-1.514,4
70,0,28300,Joost Luiten,-.336,-.149,-.073,-.113,4
71,0,36326,David Lipsky,-.521,-.918,.724,-.327,4
72,0,01810,Phil Mickelson,-.542,.430,-1.587,.616,4
73,0,39058,Lucas Herbert,-.633,.179,-.570,-.242,4
74,0,35879,Kelly Kraft,-.852,-.701,-.117,-.034,4
75,-15,28938,Justin Harding,-1.006,.462,-1.155,-.313,4
76,-23,26499,Rafa Cabrera Bello,-1.084,-.442,-.689,.047,4
77,0,24964,Ryan Vermeer,-1.153,.397,-1.861,.310,4
78,-68,24361,Pat Perez,-1.350,-1.450,-.304,.404,4
79,0,25431,Rob Labritz,-1.407,-.707,-.882,.182,4
80,0,23614,Rich Beem,-1.699,-.124,-.658,-.917,4
81,0,34256,Andrew Putnam,-1.786,-1.602,.139,-.323,4
82,0,26735,Marty Jertson,-2.556,-.619,-1.657,-.280,4
