RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,4,28938,Justin Harding,73.21,41,56
1,0,49771,J.T. Poston,73.21,41,56
3,0,25364,Paul Casey,71.43,40,56
3,0,40098,Matt Fitzpatrick,71.43,40,56
3,0,34363,Tyrrell Hatton,71.43,40,56
3,0,27649,Brandt Snedeker,71.43,40,56
7,0,39997,Corey Conners,69.64,39,56
7,0,24024,Zach Johnson,69.64,39,56
7,0,25198,Francesco Molinari,69.64,39,56
10,56,45526,Abraham Ancer,67.86,38,56
10,0,23614,Rich Beem,67.86,38,56
10,0,34076,Joel Dahmen,67.86,38,56
13,0,29268,Bronson Burgoon,66.07,37,56
13,13,27974,Sung Kang,66.07,37,56
13,0,35449,Adam Long,66.07,37,56
13,-2,32839,Hideki Matsuyama,66.07,37,56
13,0,25572,Graeme McDowell,66.07,37,56
13,0,26476,Chez Reavie,66.07,37,56
19,0,35450,Patrick Cantlay,64.29,36,56
19,-14,35461,Beau Hossler,64.29,36,56
19,0,23108,Matt Kuchar,64.29,36,56
22,0,33141,Keegan Bradley,62.50,35,56
22,0,47504,Sam Burns,62.50,35,56
22,0,30944,Jason Kokrak,62.50,35,56
22,0,35879,Kelly Kraft,62.50,35,56
22,0,33204,Shane Lowry,62.50,35,56
22,0,29221,Webb Simpson,62.50,35,56
22,0,40006,Erik van Rooyen,62.50,35,56
29,0,27896,Ross Fisher,60.71,34,56
29,0,25900,Lucas Glover,60.71,34,56
29,0,31646,Emiliano Grillo,60.71,34,56
29,0,26329,Louis Oosthuizen,60.71,34,56
29,0,48081,Xander Schauffele,60.71,34,56
29,10,49964,Aaron Wise,60.71,34,56
29,0,31323,Gary Woodland,60.71,34,56
36,30,30978,Kiradech Aphibarnrat,58.93,33,56
36,-4,40026,Daniel Berger,58.93,33,56
36,0,35296,Haotong Li,58.93,33,56
36,0,36326,David Lipsky,58.93,33,56
36,0,33968,Thorbjørn Olesen,58.93,33,56
36,-34,25818,Scott Piercy,58.93,33,56
36,-16,39324,J.J. Spaun,58.93,33,56
36,0,25632,Jimmy Walker,58.93,33,56
44,9,26499,Rafa Cabrera Bello,57.14,32,56
44,0,30911,Tommy Fleetwood,57.14,32,56
44,0,29420,Billy Horschel,57.14,32,56
44,0,47238,Jazz Janewattananond,57.14,32,56
44,0,30925,Dustin Johnson,57.14,32,56
44,18,36689,Brooks Koepka,57.14,32,56
44,0,28300,Joost Luiten,57.14,32,56
44,0,22405,Justin Rose,57.14,32,56
44,0,32139,Danny Willett,57.14,32,56
53,0,33803,Lucas Bjerregaard,55.36,31,56
53,0,32102,Rickie Fowler,55.36,31,56
53,0,33399,Adam Hadwin,55.36,31,56
53,0,39058,Lucas Herbert,55.36,31,56
53,0,39977,Max Homa,55.36,31,56
53,-33,27349,Alex Noren,55.36,31,56
53,-48,21528,Henrik Stenson,55.36,31,56
53,0,24964,Ryan Vermeer,55.36,31,56
61,0,52372,Cameron Champ,53.57,30,56
61,0,21961,Charles Howell III,53.57,30,56
61,0,25431,Rob Labritz,53.57,30,56
61,0,37189,Harold Varner III,53.57,30,56
61,0,48887,Matt Wallace,53.57,30,56
66,0,28089,Jason Day,51.79,29,56
66,0,48117,Kurt Kitayama,51.79,29,56
66,0,29772,Michael Lorenzo-Vera,51.79,29,56
66,0,34256,Andrew Putnam,51.79,29,56
66,0,35891,Cameron Smith,51.79,29,56
71,0,12716,Charley Hoffman,50.00,28,56
71,0,28237,Rory McIlroy,50.00,28,56
71,-60,24361,Pat Perez,50.00,28,56
71,-32,33293,Thomas Pieters,50.00,28,56
75,0,26735,Marty Jertson,48.21,27,56
75,0,24502,Adam Scott,48.21,27,56
75,-22,34046,Jordan Spieth,48.21,27,56
75,-4,32333,Kevin Tway,48.21,27,56
79,0,27129,Luke List,44.64,25,56
79,0,01810,Phil Mickelson,44.64,25,56
81,0,29926,Danny Lee,42.86,24,56
82,0,29725,Tony Finau,39.29,22,56
