RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,29221,Webb Simpson,2.267,9.069,4
2,0,23108,Matt Kuchar,2.060,8.240,4
3,0,33204,Shane Lowry,1.915,7.659,4
4,0,27649,Brandt Snedeker,1.817,7.270,4
5,29,39971,Sungjae Im,1.460,5.840,4
6,0,28237,Rory McIlroy,1.457,5.829,4
7,0,29926,Danny Lee,1.285,5.142,4
8,0,25572,Graeme McDowell,1.214,4.855,4
9,0,28259,Sangmoon Bae,1.192,4.769,4
10,50,21528,Henrik Stenson,1.154,4.617,4
11,0,32058,José de Jesús Rodríguez,1.097,4.388,4
12,0,35732,Wes Roach,1.091,4.364,4
13,0,24490,George McNeill,1.001,4.004,4
14,0,32200,Roberto Castro,.990,3.962,4
15,0,34099,Harris English,.986,3.945,4
16,0,27330,Josh Teater,.909,3.637,4
17,0,33419,Cameron Tringale,.894,3.577,4
18,0,48822,Sebastián Muñoz,.796,3.186,4
19,-7,33399,Adam Hadwin,.795,3.179,4
20,0,25493,Nick Taylor,.782,3.130,4
21,0,32333,Kevin Tway,.685,2.740,4
22,0,50525,Collin Morikawa,.678,2.712,4
23,0,40009,Dominic Bozzelli,.639,2.555,4
23,0,24024,Zach Johnson,.639,2.556,4
25,0,33486,Roger Sloan,.633,2.533,4
26,0,27895,Jonas Blixt,.628,2.511,4
27,0,49766,Hank Lebioda,.572,2.289,4
28,0,19846,Brian Gay,.566,2.266,4
29,0,36799,Stephan Jaeger,.564,2.257,4
30,0,40026,Daniel Berger,.510,2.039,4
31,0,24925,Jonathan Byrd,.450,1.799,4
32,0,29479,Scott Brown,.429,1.717,4
33,0,46523,Joey Garber,.416,1.665,4
34,0,30711,Colt Knost,.402,1.610,4
35,0,23541,Ben Crane,.371,1.484,4
36,0,47420,Jake Knapp,.355,1.420,4
37,0,23320,Ryan Palmer,.309,1.237,4
38,0,25804,Bubba Watson,.282,1.128,4
39,9,34466,Peter Malnati,.228,.914,4
40,0,10387,Chris Thompson,.144,.576,4
41,0,39324,J.J. Spaun,.142,.568,4
42,0,29970,Dylan Frittelli,.138,.551,4
43,0,35506,Mackenzie Hughes,.099,.398,4
44,0,25632,Jimmy Walker,.045,.179,4
45,0,34261,Scott Langley,.012,.048,4
46,0,39327,Ben Silverman,.008,.031,4
47,0,27936,Martin Laird,-.047,-.189,4
48,-13,32139,Danny Willett,-.057,-.226,4
49,0,37212,Paul Barjon,-.073,-.293,4
50,-6,27644,Brian Harman,-.078,-.311,4
51,0,34431,Robert Streb,-.103,-.413,4
52,0,33141,Keegan Bradley,-.139,-.557,4
53,0,20572,Rod Pampling,-.147,-.587,4
54,0,40006,Erik van Rooyen,-.151,-.605,4
55,-30,10809,Jim Furyk,-.187,-.746,4
56,0,36852,Jim Knous,-.192,-.769,4
57,0,29484,Peter Uihlein,-.346,-1.385,4
58,-19,45486,Joaquin Niemann,-.372,-1.487,4
59,0,45609,Tyler Duncan,-.396,-1.582,4
60,0,30925,Dustin Johnson,-.398,-1.591,4
61,0,36689,Brooks Koepka,-.410,-1.641,4
62,-13,47347,Adam Schenk,-.439,-1.757,4
63,0,35879,Kelly Kraft,-.449,-1.795,4
64,0,39470,Richard Jung,-.551,-2.205,4
65,0,37189,Harold Varner III,-.579,-2.316,4
66,0,39954,Cody Gribble,-.638,-2.553,4
67,0,23788,D.J. Trahan,-.699,-2.796,4
68,0,33448,Justin Thomas,-.845,-3.378,4
69,0,46402,Talor Gooch,-1.183,-4.731,4
70,-17,27349,Alex Noren,-1.281,-5.123,4
71,0,49960,Sepp Straka,-1.420,-5.678,4
