RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,23108,Matt Kuchar,81.94,59,72,-0.20
1,60,27649,Brandt Snedeker,81.94,59,72,-0.37
3,2,28237,Rory McIlroy,80.56,58,72,-0.40
3,0,25493,Nick Taylor,80.56,58,72,-0.28
5,0,39997,Corey Conners,77.78,56,72,-0.21
6,38,33141,Keegan Bradley,76.39,55,72,-0.27
6,0,30925,Dustin Johnson,76.39,55,72,-0.35
8,-5,29478,Kevin Kisner,75.00,54,72,-0.37
8,0,35879,Kelly Kraft,75.00,54,72,-0.24
8,-7,27064,Jhonattan Vegas,75.00,54,72,-0.35
11,0,27644,Brian Harman,73.61,53,72,-0.34
12,0,28089,Jason Day,72.22,52,72,-0.37
12,21,30926,Chris Kirk,72.22,52,72,-0.29
12,-11,30944,Jason Kokrak,72.22,52,72,-0.25
12,0,33968,Thorbjørn Olesen,72.22,52,72,-0.27
12,0,29908,C.T. Pan,72.22,52,72,-0.15
12,0,46970,Jon Rahm,72.22,52,72,-0.42
12,0,46501,Ollie Schniederjans,72.22,52,72,-0.40
12,0,08793,Tiger Woods,72.22,52,72,-0.33
20,0,45526,Abraham Ancer,70.83,51,72,-0.37
20,0,34076,Joel Dahmen,70.83,51,72,-0.31
20,4,30911,Tommy Fleetwood,70.83,51,72,-0.41
20,24,32102,Rickie Fowler,70.83,51,72,-0.27
20,-8,21961,Charles Howell III,70.83,51,72,-0.31
20,0,33122,Russell Knox,70.83,51,72,-0.29
20,-14,27129,Luke List,70.83,51,72,-0.33
20,38,49771,J.T. Poston,70.83,51,72,-0.27
20,-8,48887,Matt Wallace,70.83,51,72,-0.16
29,0,21209,Sergio Garcia,69.44,50,72,-0.38
29,10,27974,Sung Kang,69.44,50,72,-0.34
29,-5,32839,Hideki Matsuyama,69.44,50,72,-0.36
29,0,24502,Adam Scott,69.44,50,72,-0.32
33,0,34021,Bud Cauley,68.06,49,72,-0.29
33,33,47959,Bryson DeChambeau,68.06,49,72,-0.43
33,0,10809,Jim Furyk,68.06,49,72,-0.43
33,-27,25198,Francesco Molinari,68.06,49,72,-0.29
33,0,26329,Louis Oosthuizen,68.06,49,72,-0.22
33,21,25818,Scott Piercy,68.06,49,72,-0.20
33,0,28252,Seamus Power,68.06,49,72,-0.37
33,0,23621,Rory Sabbatini,68.06,49,72,-0.27
33,-27,25804,Bubba Watson,68.06,49,72,-0.33
42,-26,40098,Matt Fitzpatrick,66.67,48,72,-0.35
42,0,31646,Emiliano Grillo,66.67,48,72,-0.33
42,0,35532,Tom Hoge,66.67,48,72,-0.29
42,-18,29420,Billy Horschel,66.67,48,72,-0.33
42,20,27408,Martin Kaymer,66.67,48,72,-0.27
42,0,47993,Denny McCarthy,66.67,48,72,-0.27
42,20,26596,Ryan Moore,66.67,48,72,-0.38
42,2,34709,Eddie Pepperell,66.67,48,72,-0.40
42,-9,24138,Ian Poulter,66.67,48,72,-0.33
42,0,47128,Richy Werenski,66.67,48,72,-0.35
52,0,40026,Daniel Berger,65.28,47,72,-0.28
52,0,33803,Lucas Bjerregaard,65.28,47,72,-0.32
52,0,29725,Tony Finau,65.28,47,72,-0.36
52,0,37455,Si Woo Kim,65.28,47,72,-0.34
52,0,33410,Andrew Landry,65.28,47,72,-0.26
52,0,29221,Webb Simpson,65.28,47,72,-0.36
58,-42,33948,Byeong Hun An,63.89,46,72,-0.37
58,-52,39546,Keith Mitchell,63.89,46,72,-0.35
58,-29,22405,Justin Rose,63.89,46,72,-0.41
58,0,23325,Vaughn Taylor,63.89,46,72,-0.33
58,0,31323,Gary Woodland,63.89,46,72,-0.26
63,-11,34360,Patrick Reed,62.50,45,72,-0.27
63,0,33448,Justin Thomas,62.50,45,72,-0.44
65,0,29535,Brice Garnett,59.72,43,72,-0.33
65,0,35891,Cameron Smith,59.72,43,72,-0.21
65,0,32150,Michael Thompson,59.72,43,72,-0.33
65,3,35617,Martin Trainer,59.72,43,72,-0.33
65,-49,25632,Jimmy Walker,59.72,43,72,-0.35
70,0,19846,Brian Gay,56.94,41,72,-0.39
70,0,36689,Brooks Koepka,56.94,41,72,-0.44
70,0,34261,Scott Langley,56.94,41,72,-0.32
73,0,29974,Branden Grace,55.56,40,72,-0.35
