RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,30911,Tommy Fleetwood,77.27,17,22
2,0,40006,Erik van Rooyen,74.07,20,27
3,0,33204,Shane Lowry,73.33,11,15
4,0,29725,Tony Finau,72.22,13,18
5,0,33803,Lucas Bjerregaard,69.23,18,26
6,0,32797,Sanghyun Park,68.97,20,29
7,0,34360,Patrick Reed,68.00,17,25
8,0,06522,Ernie Els,67.74,21,31
9,59,30110,Kyle Stanley,66.67,20,30
9,0,29454,Bernd Wiesberger,66.67,20,30
11,0,12716,Charley Hoffman,65.38,17,26
12,0,40098,Matt Fitzpatrick,64.00,16,25
13,0,34363,Tyrrell Hatton,63.16,12,19
13,0,23621,Rory Sabbatini,63.16,12,19
15,0,25198,Francesco Molinari,62.50,10,16
15,0,33448,Justin Thomas,62.50,15,24
17,0,22405,Justin Rose,62.07,18,29
18,-17,29970,Dylan Frittelli,60.71,17,28
18,0,37250,Romain Langasque,60.71,17,28
20,46,20229,Stewart Cink,60.00,15,25
20,0,36689,Brooks Koepka,60.00,15,25
22,0,10809,Jim Furyk,59.26,16,27
22,0,34256,Andrew Putnam,59.26,16,27
24,0,27349,Alex Noren,58.33,14,24
25,0,30812,Benjamin Hebert,57.69,15,26
26,0,52215,Robert MacIntyre,56.52,13,23
27,0,33968,Thorbjørn Olesen,55.56,15,27
27,0,20396,Lee Westwood,55.56,10,18
29,0,35104,Tom Lewis,55.00,11,20
30,0,32139,Danny Willett,54.55,12,22
31,0,33948,Byeong Hun An,54.17,13,24
31,0,30944,Jason Kokrak,54.17,13,24
33,0,31395,Yosuke Asaji,53.85,14,26
33,0,29221,Webb Simpson,53.85,14,26
33,0,48887,Matt Wallace,53.85,14,26
36,0,30978,Kiradech Aphibarnrat,53.57,15,28
36,0,21528,Henrik Stenson,53.57,15,28
38,0,46035,Callum Shinkwin,52.17,12,23
38,0,35891,Cameron Smith,52.17,12,23
40,-28,53165,Doc Redman,51.85,14,27
40,0,49964,Aaron Wise,51.85,14,27
42,0,31113,Paul Waring,51.72,15,29
43,0,25364,Paul Casey,50.00,11,22
43,0,21209,Sergio Garcia,50.00,14,28
43,8,25900,Lucas Glover,50.00,13,26
43,0,28938,Justin Harding,50.00,15,30
43,0,33122,Russell Knox,50.00,14,28
43,0,25572,Graeme McDowell,50.00,11,22
43,0,46970,Jon Rahm,50.00,11,22
43,0,34046,Jordan Spieth,50.00,13,26
43,0,50674,Ashton Turner,50.00,12,24
52,0,35450,Patrick Cantlay,47.62,10,21
53,0,32252,Nino Bertasio,46.67,14,30
54,0,55940,Andrew Wilson,46.43,13,28
55,0,29974,Branden Grace,46.15,12,26
56,0,33399,Adam Hadwin,45.83,11,24
56,0,39113,Shubhankar Sharma,45.83,11,24
56,0,25804,Bubba Watson,45.83,11,24
59,0,29936,Ryan Fox,45.45,10,22
59,0,23108,Matt Kuchar,45.45,10,22
61,0,34709,Eddie Pepperell,42.42,14,33
62,0,27141,J.B. Holmes,42.31,11,26
63,0,32102,Rickie Fowler,42.11,8,19
63,0,26329,Louis Oosthuizen,42.11,8,19
65,0,28300,Joost Luiten,41.67,10,24
66,0,29478,Kevin Kisner,40.91,9,22
67,0,27214,Kevin Streelman,40.74,11,27
68,0,48081,Xander Schauffele,40.00,8,20
69,0,30925,Dustin Johnson,38.46,10,26
69,0,29370,Mikko Korhonen,38.46,10,26
71,0,33293,Thomas Pieters,36.00,9,25
72,0,29136,Innchoon Hwang,33.33,7,21
73,0,36514,Yuki Inamori,31.82,7,22
