RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,32797,Sanghyun Park,24.00,24,1
1,0,55940,Andrew Wilson,24.00,24,1
3,0,32252,Nino Bertasio,26.00,26,1
3,-2,20229,Stewart Cink,26.00,26,1
3,0,28300,Joost Luiten,26.00,26,1
3,0,33968,Thorbjørn Olesen,26.00,26,1
3,3,30110,Kyle Stanley,26.00,26,1
3,0,29454,Bernd Wiesberger,26.00,26,1
9,0,30978,Kiradech Aphibarnrat,27.00,27,1
9,0,33204,Shane Lowry,27.00,27,1
9,0,29221,Webb Simpson,27.00,27,1
9,0,34046,Jordan Spieth,27.00,27,1
13,0,33948,Byeong Hun An,28.00,28,1
13,0,30911,Tommy Fleetwood,28.00,28,1
13,-7,29970,Dylan Frittelli,28.00,28,1
13,0,29370,Mikko Korhonen,28.00,28,1
13,0,25572,Graeme McDowell,28.00,28,1
13,0,34709,Eddie Pepperell,28.00,28,1
13,0,34360,Patrick Reed,28.00,28,1
13,0,35891,Cameron Smith,28.00,28,1
13,0,33448,Justin Thomas,28.00,28,1
13,0,48887,Matt Wallace,28.00,28,1
13,0,31113,Paul Waring,28.00,28,1
13,0,20396,Lee Westwood,28.00,28,1
13,0,49964,Aaron Wise,28.00,28,1
26,0,06522,Ernie Els,29.00,29,1
26,0,28938,Justin Harding,29.00,29,1
26,0,34363,Tyrrell Hatton,29.00,29,1
26,0,12716,Charley Hoffman,29.00,29,1
26,0,36689,Brooks Koepka,29.00,29,1
26,0,37250,Romain Langasque,29.00,29,1
26,0,33293,Thomas Pieters,29.00,29,1
26,0,34256,Andrew Putnam,29.00,29,1
26,0,27214,Kevin Streelman,29.00,29,1
35,0,33803,Lucas Bjerregaard,30.00,30,1
35,0,10809,Jim Furyk,30.00,30,1
35,0,30812,Benjamin Hebert,30.00,30,1
35,0,33122,Russell Knox,30.00,30,1
35,0,25198,Francesco Molinari,30.00,30,1
35,6,53165,Doc Redman,30.00,30,1
35,0,22405,Justin Rose,30.00,30,1
35,0,48081,Xander Schauffele,30.00,30,1
35,0,32139,Danny Willett,30.00,30,1
44,0,35450,Patrick Cantlay,31.00,31,1
44,0,40098,Matt Fitzpatrick,31.00,31,1
44,0,32102,Rickie Fowler,31.00,31,1
44,0,29936,Ryan Fox,31.00,31,1
44,0,21209,Sergio Garcia,31.00,31,1
44,-38,25900,Lucas Glover,31.00,31,1
44,0,29974,Branden Grace,31.00,31,1
44,0,27141,J.B. Holmes,31.00,31,1
44,0,29136,Innchoon Hwang,31.00,31,1
44,0,30925,Dustin Johnson,31.00,31,1
44,0,30944,Jason Kokrak,31.00,31,1
44,0,23108,Matt Kuchar,31.00,31,1
44,0,35104,Tom Lewis,31.00,31,1
44,0,52215,Robert MacIntyre,31.00,31,1
58,0,31395,Yosuke Asaji,32.00,32,1
58,0,29725,Tony Finau,32.00,32,1
58,0,29478,Kevin Kisner,32.00,32,1
58,0,46970,Jon Rahm,32.00,32,1
58,0,23621,Rory Sabbatini,32.00,32,1
58,0,21528,Henrik Stenson,32.00,32,1
58,0,40006,Erik van Rooyen,32.00,32,1
65,0,33399,Adam Hadwin,33.00,33,1
65,0,39113,Shubhankar Sharma,33.00,33,1
65,0,46035,Callum Shinkwin,33.00,33,1
65,0,50674,Ashton Turner,33.00,33,1
65,0,25804,Bubba Watson,33.00,33,1
70,0,25364,Paul Casey,34.00,34,1
70,0,27349,Alex Noren,34.00,34,1
72,0,26329,Louis Oosthuizen,35.00,35,1
73,0,36514,Yuki Inamori,36.00,36,1
