RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,31323,Gary Woodland,80.00,16,20
2,0,26476,Chez Reavie,76.92,20,26
3,18,36689,Brooks Koepka,72.22,13,18
4,0,28089,Jason Day,71.43,20,28
5,0,22405,Justin Rose,69.70,23,33
6,0,33948,Byeong Hun An,68.97,20,29
7,39,40026,Daniel Berger,67.74,21,31
8,0,25198,Francesco Molinari,66.67,22,33
9,0,21961,Charles Howell III,65.71,23,35
10,0,34363,Tyrrell Hatton,65.52,19,29
10,26,28237,Rory McIlroy,65.52,19,29
12,0,25818,Scott Piercy,64.71,22,34
13,0,25686,Jason Dufner,64.00,16,25
14,0,40098,Matt Fitzpatrick,63.33,19,30
14,13,32139,Danny Willett,63.33,19,30
16,-2,33204,Shane Lowry,62.96,17,27
16,0,30946,Alex Prugh,62.96,17,27
16,0,08793,Tiger Woods,62.96,17,27
19,0,35532,Tom Hoge,62.50,20,32
19,-9,23108,Matt Kuchar,62.50,20,32
19,0,33667,Carlos Ortiz,62.50,20,32
22,47,49960,Sepp Straka,62.07,18,29
23,0,23621,Rory Sabbatini,61.76,21,34
24,0,34563,Chesson Hadley,61.54,16,26
24,-19,21528,Henrik Stenson,61.54,16,26
26,-24,25572,Graeme McDowell,60.71,17,28
26,0,34360,Patrick Reed,60.71,17,28
26,0,48081,Xander Schauffele,60.71,17,28
29,-28,29221,Webb Simpson,60.53,23,38
30,0,35450,Patrick Cantlay,60.00,18,30
30,0,29420,Billy Horschel,60.00,18,30
32,0,29454,Bernd Wiesberger,59.38,19,32
33,0,49633,Charlie Danielson,59.26,16,27
34,0,31560,Brian Stuard,58.82,20,34
35,33,10809,Jim Furyk,58.62,17,29
36,-17,24024,Zach Johnson,58.06,18,31
37,0,46970,Jon Rahm,57.69,15,26
38,-35,34099,Harris English,57.58,19,33
38,0,33592,Andy Pope,57.58,19,33
40,0,47959,Bryson DeChambeau,57.14,20,35
40,0,46717,Viktor Hovland,57.14,12,21
40,0,40181,Clément Sordet,57.14,20,35
40,0,48887,Matt Wallace,57.14,16,28
44,0,29222,Billy Hurley III,56.76,21,37
45,0,28775,Nate Lashley,56.52,13,23
46,0,26851,Marc Leishman,56.25,18,32
47,0,31646,Emiliano Grillo,55.56,15,27
47,-23,30925,Dustin Johnson,55.56,15,27
47,0,29478,Kevin Kisner,55.56,15,27
50,0,34256,Andrew Putnam,54.29,19,35
50,0,34046,Jordan Spieth,54.29,19,35
52,0,25364,Paul Casey,54.17,13,24
53,0,32102,Rickie Fowler,53.85,14,26
54,0,30110,Kyle Stanley,53.57,15,28
55,0,45526,Abraham Ancer,53.33,16,30
55,0,01810,Phil Mickelson,53.33,16,30
57,-19,25493,Nick Taylor,53.13,17,32
58,0,52374,Brandon Wu,52.38,11,21
59,0,27140,Justin Walters,52.17,12,23
60,0,30911,Tommy Fleetwood,51.72,15,29
60,5,40006,Erik van Rooyen,51.72,15,29
62,0,57361,Chandler Eaton,51.52,17,33
63,0,23983,Luke Donald,50.00,16,32
63,0,26329,Louis Oosthuizen,50.00,13,26
63,0,49964,Aaron Wise,50.00,14,28
66,0,55421,Chip McDaniel,48.57,17,35
67,0,35891,Cameron Smith,48.48,16,33
68,-40,50525,Collin Morikawa,48.39,15,31
69,0,32839,Hideki Matsuyama,48.00,12,25
70,0,24502,Adam Scott,47.62,10,21
71,-66,27649,Brandt Snedeker,47.50,19,40
72,0,35296,Haotong Li,46.88,15,32
73,0,30907,Rhys Enoch,45.71,16,35
74,0,46404,Marcus Kinhult,44.83,13,29
75,0,27408,Martin Kaymer,41.67,10,24
76,0,26499,Rafa Cabrera Bello,41.18,14,34
77,0,21209,Sergio Garcia,40.74,11,27
78,0,57364,Michael Thorbjornsen,39.02,16,41
79,0,52096,Adri Arnaus,36.00,9,25
