RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,318.1,2545,8
2,0,30925,Dustin Johnson,316.8,2534,8
3,0,52096,Adri Arnaus,316.3,2530,8
4,0,48081,Xander Schauffele,311.1,2489,8
5,7,36689,Brooks Koepka,310.9,2487,8
5,0,31323,Gary Woodland,310.9,2487,8
7,0,35450,Patrick Cantlay,310.8,2486,8
8,0,21209,Sergio Garcia,310.5,2484,8
9,0,47959,Bryson DeChambeau,309.5,2476,8
10,29,34099,Harris English,308.9,2471,8
10,-1,49960,Sepp Straka,308.9,2471,8
10,0,48887,Matt Wallace,308.9,2471,8
13,0,49964,Aaron Wise,308.8,2470,8
14,0,33948,Byeong Hun An,307.4,2459,8
15,0,01810,Phil Mickelson,306.9,2455,8
16,0,28089,Jason Day,306.8,2454,8
17,0,25364,Paul Casey,306.6,2453,8
18,0,40181,Clément Sordet,306.4,2451,8
19,-11,40006,Erik van Rooyen,306.1,2449,8
20,0,26851,Marc Leishman,305.6,2445,8
21,0,32102,Rickie Fowler,305.4,2443,8
22,0,30946,Alex Prugh,305.3,2442,8
23,0,46970,Jon Rahm,305.1,2441,8
24,0,30907,Rhys Enoch,304.6,2437,8
25,-8,32139,Danny Willett,304.0,2432,8
26,0,27140,Justin Walters,303.8,2430,8
27,0,27408,Martin Kaymer,303.5,2428,8
28,0,52374,Brandon Wu,303.4,2427,8
29,0,57364,Michael Thorbjornsen,303.0,2424,8
30,0,34046,Jordan Spieth,302.8,2422,8
31,0,30911,Tommy Fleetwood,302.0,2416,8
32,0,22405,Justin Rose,301.6,2413,8
33,-21,40026,Daniel Berger,301.5,2412,8
34,0,33667,Carlos Ortiz,301.0,2408,8
35,0,29454,Bernd Wiesberger,300.3,2402,8
36,0,32839,Hideki Matsuyama,300.1,2401,8
37,0,45526,Abraham Ancer,299.9,2399,8
38,0,31646,Emiliano Grillo,299.6,2397,8
39,0,25686,Jason Dufner,299.5,2396,8
40,0,26329,Louis Oosthuizen,299.3,2394,8
40,0,34360,Patrick Reed,299.3,2394,8
42,0,49633,Charlie Danielson,298.6,2389,8
42,0,24502,Adam Scott,298.6,2389,8
44,0,35296,Haotong Li,298.3,2386,8
45,0,25818,Scott Piercy,297.8,2382,8
45,0,08793,Tiger Woods,297.8,2382,8
47,2,25572,Graeme McDowell,297.4,2379,8
48,0,34563,Chesson Hadley,297.3,2378,8
49,0,46717,Viktor Hovland,296.9,2375,8
50,0,26499,Rafa Cabrera Bello,296.6,2373,8
51,0,28775,Nate Lashley,296.4,2371,8
52,-5,33204,Shane Lowry,296.0,2368,8
53,0,34363,Tyrrell Hatton,295.4,2363,8
54,0,21961,Charles Howell III,295.3,2362,8
55,0,30110,Kyle Stanley,294.1,2353,8
55,-18,25493,Nick Taylor,294.1,2353,8
57,-17,50525,Collin Morikawa,293.6,2349,8
58,0,29420,Billy Horschel,293.4,2347,8
59,0,55421,Chip McDaniel,292.9,2343,8
60,0,26476,Chez Reavie,292.8,2342,8
61,0,23983,Luke Donald,291.3,2330,8
62,0,40098,Matt Fitzpatrick,291.1,2329,8
63,0,57361,Chandler Eaton,290.0,2320,8
64,0,35532,Tom Hoge,289.6,2317,8
65,-4,23108,Matt Kuchar,288.6,2309,8
66,0,34256,Andrew Putnam,288.1,2305,8
67,0,25198,Francesco Molinari,287.9,2303,8
68,0,29478,Kevin Kisner,287.6,2301,8
69,-16,29221,Webb Simpson,286.8,2294,8
70,0,46404,Marcus Kinhult,286.4,2291,8
71,0,23621,Rory Sabbatini,285.8,2286,8
72,0,33592,Andy Pope,284.5,2276,8
72,-7,27649,Brandt Snedeker,284.5,2276,8
74,-16,24024,Zach Johnson,284.3,2274,8
75,0,29222,Billy Hurley III,283.4,2267,8
75,0,31560,Brian Stuard,283.4,2267,8
77,-9,10809,Jim Furyk,281.0,2248,8
78,0,35891,Cameron Smith,280.0,2240,8
79,-15,21528,Henrik Stenson,269.5,2156,8
