PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
36689,Brooks Koepka,2019 U.S. Open,0.1205,0.714,2.004,0.881
46717,Viktor Hovland,2019 U.S. Open,-0.9425,1.43,1.385,0.347
26476,Chez Reavie,2019 U.S. Open,0.0805,0.158,1.692,1.039
46970,Jon Rahm,2019 U.S. Open,0.11525,0.501,1.049,1.305
24502,Adam Scott,2019 U.S. Open,-0.0125,0.237,1.304,1.191
31323,Gary Woodland,2019 U.S. Open,1.79075,0.339,2.097,0.242
28237,Rory McIlroy,2019 U.S. Open,-0.03225,1.441,0.173,0.888
30925,Dustin Johnson,2019 U.S. Open,-1.52075,0.753,1.39,0.347
27408,Martin Kaymer,2019 U.S. Open,-1.1785,0.162,2.141,-0.155
34360,Patrick Reed,2019 U.S. Open,-0.692,0.542,0.325,1.044
30946,Alex Prugh,2019 U.S. Open,-0.15775,1.016,0.449,0.411
40098,Matt Fitzpatrick,2019 U.S. Open,0.36725,-0.156,1.055,0.953
25198,Francesco Molinari,2019 U.S. Open,0.19075,-0.057,0.429,1.407
28775,Nate Lashley,2019 U.S. Open,-0.17825,-0.187,1.66,0.175
25364,Paul Casey,2019 U.S. Open,0.0925,0.886,0.895,-0.154
49960,Sepp Straka,2019 U.S. Open,-0.15075,0.86,0.366,0.395
33948,Byeong Hun An,2019 U.S. Open,0.381,0.189,0.058,1.341
31646,Emiliano Grillo,2019 U.S. Open,-1.579,-0.104,2.112,-0.46
48081,Xander Schauffele,2019 U.S. Open,1.42425,1.22,0.398,-0.073
25686,Jason Dufner,2019 U.S. Open,-0.547,0.52,0.247,0.749
21528,Henrik Stenson,2019 U.S. Open,0.97425,-0.362,0.885,0.972
28089,Jason Day,2019 U.S. Open,0.229,0.061,0.248,1.181
32102,Rickie Fowler,2019 U.S. Open,-0.703,0.482,0.363,0.578
22405,Justin Rose,2019 U.S. Open,1.5525,0.401,0.098,0.918
52374,Brandon Wu,2019 U.S. Open,-0.43675,0.251,0.843,0.312
40006,Erik van Rooyen,2019 U.S. Open,-0.6805,0.555,1.17,-0.325
30110,Kyle Stanley,2019 U.S. Open,-1.67825,0.076,1.177,0.145
8793,Tiger Woods,2019 U.S. Open,0.3485,0.164,1.161,0.046
29478,Kevin Kisner,2019 U.S. Open,-0.898,-0.384,0.827,0.925
23621,Rory Sabbatini,2019 U.S. Open,-0.6245,0.074,0.526,0.744
21209,Sergio Garcia,2019 U.S. Open,-1.085,0.558,0.314,0.432
34363,Tyrrell Hatton,2019 U.S. Open,0.42725,-0.313,1.339,0.266
32839,Hideki Matsuyama,2019 U.S. Open,0.43375,0.189,1.482,-0.386
