RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,25818,Scott Piercy,2.670,.476,1.676,.518,4
2,20,23621,Rory Sabbatini,2.304,.277,1.431,.596,4
3,0,45609,Tyler Duncan,2.073,.542,.983,.548,4
4,0,28307,Matt Every,1.934,.201,1.101,.631,4
5,50,49298,Kramer Hickok,1.898,.724,1.097,.077,4
6,0,36689,Brooks Koepka,1.808,1.017,1.183,-.392,4
7,3,49964,Aaron Wise,1.748,.865,.505,.377,4
8,-5,21528,Henrik Stenson,1.668,.000,1.086,.583,4
9,0,33667,Carlos Ortiz,1.647,.209,1.054,.385,4
10,-3,24361,Pat Perez,1.640,-.185,1.315,.509,4
11,0,23320,Ryan Palmer,1.581,1.413,.634,-.466,4
12,0,27974,Sung Kang,1.487,.571,1.092,-.176,4
13,0,45157,Cam Davis,1.472,1.261,-.630,.841,4
14,24,35421,Brandon Harkins,1.285,.462,.218,.605,4
15,0,52375,Doug Ghim,1.267,.321,.287,.660,4
16,8,26300,Matt Jones,1.236,.567,.245,.424,4
17,23,33418,Shawn Stefani,1.224,-.309,1.460,.074,4
18,0,37278,Nicholas Lindheim,1.189,-.604,1.235,.558,4
19,0,46523,Joey Garber,1.104,.306,.588,.210,4
20,0,34098,Russell Henley,1.103,-.525,.927,.701,4
21,4,32839,Hideki Matsuyama,1.083,.700,.341,.043,4
22,-11,29970,Dylan Frittelli,1.046,.379,.595,.072,4
23,0,36799,Stephan Jaeger,.974,-.384,.380,.978,4
24,0,32333,Kevin Tway,.968,-.242,.355,.856,4
25,14,23325,Vaughn Taylor,.953,.029,.468,.456,4
26,8,48822,Sebastián Muñoz,.916,-.696,.936,.677,4
27,0,20766,Padraig Harrington,.912,-.257,.478,.692,4
28,40,40026,Daniel Berger,.909,.209,.982,-.282,4
29,0,29484,Peter Uihlein,.907,.573,.343,-.009,4
30,0,29908,C.T. Pan,.887,-.113,.895,.105,4
31,0,29974,Branden Grace,.869,.515,-.030,.383,4
32,0,31560,Brian Stuard,.832,-.281,.106,1.008,4
33,0,34409,David Lingmerth,.816,-.005,.817,.004,4
34,0,46046,Scottie Scheffler,.771,.939,-.399,.231,4
35,0,32150,Michael Thompson,.766,.470,.030,.266,4
36,-21,34021,Bud Cauley,.748,.537,-.482,.693,4
37,0,33122,Russell Knox,.730,.369,.593,-.232,4
38,0,39324,J.J. Spaun,.727,.739,-.135,.124,4
39,-6,24924,Bill Haas,.703,.592,-.063,.174,4
40,-22,34360,Patrick Reed,.665,-.089,.091,.663,4
41,-6,33449,Zack Sucher,.662,.317,.643,-.297,4
42,0,25396,Kevin Na,.621,-.113,.356,.378,4
43,0,47995,Davis Riley,.612,.480,-.849,.981,4
44,21,27936,Martin Laird,.602,.934,-.714,.382,4
45,0,33419,Cameron Tringale,.539,.139,.514,-.113,4
46,0,49960,Sepp Straka,.521,.428,.940,-.847,4
47,0,45526,Abraham Ancer,.329,-.103,-.351,.783,4
48,0,47993,Denny McCarthy,.322,-.563,1.365,-.480,4
49,0,47856,Seth Reeves,.304,1.351,-.878,-.169,4
50,-34,39546,Keith Mitchell,.285,.934,-.540,-.109,4
51,0,27895,Jonas Blixt,.233,.402,-.057,-.112,4
52,0,32640,Troy Merritt,.232,-.623,1.561,-.705,4
53,0,26499,Rafa Cabrera Bello,.195,-.001,.330,-.134,4
54,0,30786,Brady Schnell,.156,-.840,.760,.236,4
55,18,35461,Beau Hossler,.154,.727,-.467,-.106,4
56,7,35532,Tom Hoge,.134,-.254,.725,-.337,4
57,-3,35376,Roberto Díaz,.069,-.086,.557,-.403,4
58,0,33293,Thomas Pieters,.038,.378,-.352,.012,4
59,-28,28775,Nate Lashley,-.060,-.026,.210,-.244,4
60,0,28938,Justin Harding,-.069,.598,-.650,-.016,4
61,0,27349,Alex Noren,-.099,.881,-1.090,.110,4
62,0,26951,Johnson Wagner,-.202,-.374,.299,-.126,4
63,0,33461,Morgan Hoffmann,-.335,-.705,.333,.038,4
64,0,26596,Ryan Moore,-.340,-.762,.561,-.138,4
65,0,34046,Jordan Spieth,-.481,-.303,-.057,-.120,4
66,0,34099,Harris English,-.558,.473,-.719,-.311,4
67,0,19846,Brian Gay,-.837,-.521,-.160,-.155,4
68,0,30978,Kiradech Aphibarnrat,-.950,-.405,-.141,-.404,4
69,0,20850,Daniel Chopra,-1.004,-.490,-1.248,.734,4
70,-17,46501,Ollie Schniederjans,-1.048,.040,-.064,-1.023,4
71,0,37380,Curtis Luck,-1.164,-.364,-.713,-.087,4
