RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,11,25364,Paul Casey,2.750,.988,.258,1.504,4
2,3,32150,Michael Thompson,2.311,.802,1.385,.124,4
3,0,28237,Rory McIlroy,2.307,1.206,.953,.148,4
4,0,33448,Justin Thomas,1.990,-.176,1.512,.654,4
5,0,27129,Luke List,1.954,1.124,.110,.720,4
6,0,32839,Hideki Matsuyama,1.887,.660,.401,.826,4
7,18,30911,Tommy Fleetwood,1.868,.869,.168,.831,4
8,0,26851,Marc Leishman,1.850,.133,1.591,.126,4
9,0,32791,K.H. Lee,1.797,.132,1.734,-.069,4
10,0,30944,Jason Kokrak,1.776,.505,1.184,.088,4
11,0,27141,J.B. Holmes,1.735,.126,1.348,.261,4
12,0,21961,Charles Howell III,1.708,.720,.150,.837,4
13,0,48081,Xander Schauffele,1.675,.166,.880,.629,4
14,0,45486,Joaquin Niemann,1.617,.288,.926,.403,4
15,0,35450,Patrick Cantlay,1.551,.539,.648,.364,4
16,-2,23108,Matt Kuchar,1.528,-.050,.975,.603,4
17,-8,37455,Si Woo Kim,1.466,.107,.447,.913,4
18,0,08793,Tiger Woods,1.449,.643,.490,.317,4
19,0,47959,Bryson DeChambeau,1.420,.461,.294,.665,4
20,0,24502,Adam Scott,1.310,.500,.144,.666,4
21,0,21209,Sergio Garcia,1.262,.092,1.345,-.175,4
22,0,35461,Beau Hossler,1.192,.586,.036,.570,4
23,10,30925,Dustin Johnson,1.182,-.118,.686,.614,4
24,0,25804,Bubba Watson,1.099,.570,-.260,.789,4
25,0,35879,Kelly Kraft,.936,.465,.666,-.195,4
26,0,29479,Scott Brown,.935,.126,.096,.713,4
27,10,25493,Nick Taylor,.855,.317,-.272,.810,4
28,0,46970,Jon Rahm,.848,.534,-.066,.380,4
29,0,25396,Kevin Na,.843,-.776,.886,.733,4
30,0,33667,Carlos Ortiz,.795,.092,.524,.178,4
31,0,36699,Patrick Rodgers,.791,.307,.435,.049,4
32,0,26596,Ryan Moore,.790,-.309,1.179,-.080,4
33,-4,26499,Rafa Cabrera Bello,.777,.149,.125,.502,4
34,0,35891,Cameron Smith,.688,-.474,.393,.768,4
35,0,29970,Dylan Frittelli,.634,.080,.664,-.110,4
36,0,32139,Danny Willett,.620,.114,.528,-.021,4
37,0,49771,J.T. Poston,.596,.216,.224,.156,4
38,0,47990,Kyle Jones,.593,-.174,.333,.434,4
39,3,29725,Tony Finau,.553,1.062,.245,-.754,4
40,0,29908,C.T. Pan,.491,.286,.568,-.362,4
41,0,34098,Russell Henley,.470,.324,.158,-.012,4
42,0,27408,Martin Kaymer,.467,.323,-.049,.193,4
43,0,23325,Vaughn Taylor,.429,-.270,1.706,-1.008,4
44,0,24358,Robert Garrigus,.410,.026,.677,-.293,4
45,-4,39977,Max Homa,.358,.726,-.192,-.176,4
46,0,25632,Jimmy Walker,.354,-.428,-.060,.842,4
47,-41,10809,Jim Furyk,.334,-.183,.503,.014,4
48,-46,01810,Phil Mickelson,.256,.003,.595,-.341,4
49,0,45526,Abraham Ancer,.164,.447,.400,-.684,4
50,0,33141,Keegan Bradley,.137,.864,.561,-1.288,4
50,9,34046,Jordan Spieth,.137,.124,.429,-.415,4
52,0,49298,Kramer Hickok,.129,.721,-.355,-.236,4
53,0,24924,Bill Haas,.108,-.144,-.628,.880,4
54,0,20472,Alex Cejka,.045,.419,.195,-.569,4
55,0,33418,Shawn Stefani,-.159,-.271,-.283,.396,4
56,0,34466,Peter Malnati,-.178,-.093,-.483,.397,4
57,-1,27895,Jonas Blixt,-.212,.163,-.301,-.074,4
58,-12,06522,Ernie Els,-.276,.117,.095,-.487,4
59,-44,31560,Brian Stuard,-.343,-.645,.498,-.195,4
60,0,21731,Freddie Jacobson,-.509,-.659,.615,-.465,4
61,0,24361,Pat Perez,-.583,-.708,.645,-.519,4
62,-44,19846,Brian Gay,-.633,.077,-1.977,1.266,4
63,0,36799,Stephan Jaeger,-.739,.026,-1.295,.530,4
64,0,22371,Aaron Baddeley,-.779,.177,-1.447,.491,4
65,0,27644,Brian Harman,-.822,.558,-1.309,-.070,4
66,0,37275,Sam Ryder,-.849,-.616,.370,-.603,4
67,0,28252,Seamus Power,-.860,-.002,-1.601,.743,4
68,-8,39954,Cody Gribble,-1.003,-.548,-.305,-.150,4
69,-65,27974,Sung Kang,-1.016,-.064,-.186,-.766,4
70,-42,34261,Scott Langley,-1.150,-1.428,.554,-.276,4
71,0,29484,Peter Uihlein,-1.464,-.116,-.697,-.651,4
72,0,27556,Ted Potter Jr.,-1.492,-1.032,-.204,-.256,4
73,0,35139,Richard Lee,-1.497,-.634,-.219,-.644,4
74,0,01706,Davis Love III,-1.533,-.370,.040,-1.203,4
75,-48,33399,Adam Hadwin,-1.795,-.267,-.878,-.650,4
76,0,49481,Tae Hee Lee,-1.903,-.849,-.854,-.200,4
