RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,27554,Scott Harrington,3.277,1.149,1.981,.147,4
2,0,19803,Ryan Armour,2.889,.453,1.670,.767,4
3,0,26289,Boo Weekley,2.816,.397,2.540,-.121,4
4,0,49960,Sepp Straka,2.661,.802,1.386,.473,4
5,0,32070,Rafael Campos,2.129,.386,1.088,.655,4
6,0,46435,Austin Cook,1.988,.733,.970,.285,4
7,5,35310,Lanto Griffin,1.912,.891,.608,.413,4
8,14,36801,Mark Hubbard,1.845,.598,1.074,.173,4
9,0,35732,Wes Roach,1.799,.336,.815,.648,4
10,0,33419,Cameron Tringale,1.793,.950,.959,-.116,4
11,-1,32254,Xinjun Zhang,1.689,.599,.383,.707,4
12,62,46046,Scottie Scheffler,1.683,1.183,-.014,.514,4
13,11,37275,Sam Ryder,1.610,.393,.748,.469,4
14,0,20229,Stewart Cink,1.596,.505,.809,.282,4
15,0,34099,Harris English,1.559,1.145,.559,-.146,4
16,5,53165,Doc Redman,1.501,1.771,-.236,-.034,4
17,-4,27129,Luke List,1.407,.970,.642,-.205,4
18,-1,33667,Carlos Ortiz,1.383,.000,.358,1.026,4
19,0,34431,Robert Streb,1.365,.708,-.084,.741,4
20,0,56741,Braden Bailey,1.357,-.979,1.933,.403,4
21,0,27942,Rob Oppenheim,1.316,.270,.573,.473,4
22,0,40042,Tyler McCumber,1.259,1.065,-.296,.490,4
23,0,32200,Roberto Castro,1.250,.579,.503,.168,4
24,0,52374,Brandon Wu,1.249,1.187,.758,-.695,4
25,0,28420,Ryan Brehm,1.222,.228,.615,.378,4
26,31,47993,Denny McCarthy,1.144,.631,.283,.230,4
27,0,34021,Bud Cauley,1.136,-.662,1.495,.303,4
28,0,30163,Henrik Norlander,1.131,.267,.567,.296,4
29,0,27095,Nick Watney,1.090,.230,.979,-.119,4
30,31,46442,Maverick McNealy,1.071,-.181,.502,.749,4
31,1,27936,Martin Laird,1.054,-.100,1.753,-.599,4
32,0,29535,Brice Garnett,1.036,1.324,-.448,.160,4
33,0,12510,Chad Campbell,1.018,.484,.715,-.181,4
34,41,46402,Talor Gooch,1.001,.010,.382,.609,4
35,0,34466,Peter Malnati,.972,-.183,.050,1.105,4
36,-9,30110,Kyle Stanley,.953,-.650,1.393,.210,4
37,11,35461,Beau Hossler,.919,-.287,.329,.877,4
38,0,52372,Cameron Champ,.738,.543,.403,-.208,4
39,0,36698,Andy Zhang,.664,-.238,.476,.426,4
40,29,29268,Bronson Burgoon,.647,-.022,.186,.483,4
41,-36,28307,Matt Every,.616,.383,.272,-.039,4
42,0,23788,D.J. Trahan,.600,.005,.446,.149,4
43,20,33122,Russell Knox,.589,-.422,.958,.053,4
44,0,24358,Robert Garrigus,.529,-1.084,.892,.721,4
45,0,48822,Sebastián Muñoz,.515,.771,-.767,.511,4
46,0,48045,Michael Gellerman,.422,1.105,.164,-.846,4
47,0,49298,Kramer Hickok,.404,.107,-.721,1.018,4
48,0,32662,Michael Gligic,.362,.918,-.209,-.347,4
49,0,36699,Patrick Rodgers,.351,-.214,.562,.003,4
49,0,30927,Brendon Todd,.351,.160,-.241,.432,4
51,0,47987,Cole Hammer,.316,-.159,1.144,-.669,4
52,-15,27963,Chris Stroud,.295,.413,.336,-.453,4
53,0,33803,Lucas Bjerregaard,.250,.791,-.047,-.493,4
54,-11,19846,Brian Gay,.179,.418,-.258,.019,4
55,21,33490,Bo Hoag,.102,.057,.163,-.117,4
56,-38,48119,Ben Taylor,.062,.470,-.397,-.011,4
57,0,24846,Ricky Barnes,-.206,-.603,.328,.069,4
58,0,28252,Seamus Power,-.221,-.867,.136,.510,4
59,5,32448,James Hahn,-.271,.761,-1.014,-.018,4
60,0,33418,Shawn Stefani,-.411,.923,-1.052,-.282,4
61,0,46823,Jeremy Gandon,-.455,-.134,-.513,.193,4
62,0,40058,Zac Blair,-.517,-.142,-.393,.018,4
63,0,34314,Sebastian Cappelen,-.556,1.233,-1.057,-.731,4
64,0,24490,George McNeill,-.563,.179,-.450,-.292,4
65,0,35506,Mackenzie Hughes,-.590,.058,-.357,-.290,4
66,0,27436,Graham DeLaet,-.604,.208,-.565,-.247,4
67,-44,34098,Russell Henley,-.728,.174,-.882,-.020,4
68,-17,34174,John Huh,-.769,-.243,-.326,-.200,4
69,0,34255,Joseph Bramlett,-.801,-1.204,.302,.102,4
70,0,23353,J.J. Henry,-.921,-.393,.268,-.796,4
71,0,23614,Rich Beem,-1.431,-.424,-1.055,.048,4
72,0,31557,Jim Herman,-1.507,.613,-.849,-1.271,4
73,0,35230,Nelson Ledesma,-1.682,-.766,-.599,-.316,4
74,0,57900,Chandler Phillips,-1.840,-1.018,-.405,-.416,4
75,0,32618,Rhein Gibson,-1.973,-.598,-.858,-.517,4
76,0,40009,Dominic Bozzelli,-2.313,-1.288,-.809,-.216,4
77,0,39324,J.J. Spaun,-2.583,-.535,-1.639,-.409,4
78,0,24924,Bill Haas,-2.660,-.967,-.373,-1.320,4
