RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,30925,Dustin Johnson,335.6,2685,8
2,0,27129,Luke List,319.0,2552,8
3,0,01810,Phil Mickelson,318.6,2549,8
4,0,28237,Rory McIlroy,317.4,2539,8
5,0,33803,Lucas Bjerregaard,316.6,2533,8
6,0,48117,Kurt Kitayama,315.3,2522,8
7,0,35450,Patrick Cantlay,314.6,2517,8
8,0,29725,Tony Finau,314.3,2514,8
9,0,52372,Cameron Champ,313.8,2510,8
10,-8,36689,Brooks Koepka,313.0,2504,8
11,0,47504,Sam Burns,311.8,2494,8
12,0,27896,Ross Fisher,311.4,2491,8
12,0,31323,Gary Woodland,311.4,2491,8
14,0,32102,Rickie Fowler,310.6,2485,8
15,0,33141,Keegan Bradley,310.1,2481,8
16,0,28089,Jason Day,310.0,2480,8
17,0,22405,Justin Rose,309.6,2477,8
18,0,37189,Harold Varner III,308.3,2466,8
19,-6,27974,Sung Kang,308.1,2465,8
20,0,30944,Jason Kokrak,307.9,2463,8
21,0,48081,Xander Schauffele,307.0,2456,8
21,0,32139,Danny Willett,307.0,2456,8
23,0,29926,Danny Lee,306.5,2452,8
24,0,26329,Louis Oosthuizen,306.0,2448,8
25,0,25364,Paul Casey,305.6,2445,8
26,0,40006,Erik van Rooyen,305.3,2442,8
27,0,21961,Charles Howell III,304.9,2439,8
28,0,25632,Jimmy Walker,304.6,2437,8
29,11,25818,Scott Piercy,304.1,2433,8
30,0,47238,Jazz Janewattananond,304.0,2432,8
31,-17,32839,Hideki Matsuyama,303.5,2428,8
32,-1,34046,Jordan Spieth,303.3,2426,8
33,0,31646,Emiliano Grillo,302.9,2423,8
33,0,34363,Tyrrell Hatton,302.9,2423,8
35,0,35891,Cameron Smith,302.5,2420,8
36,0,29772,Michael Lorenzo-Vera,302.0,2416,8
37,-25,40026,Daniel Berger,301.5,2412,8
37,0,24502,Adam Scott,301.5,2412,8
39,0,30911,Tommy Fleetwood,301.3,2410,8
40,-36,49964,Aaron Wise,301.0,2408,8
41,0,48887,Matt Wallace,300.3,2402,8
42,0,33204,Shane Lowry,300.0,2400,8
43,-8,33293,Thomas Pieters,298.8,2390,8
44,0,39977,Max Homa,298.1,2385,8
45,0,39058,Lucas Herbert,298.0,2384,8
45,-39,27349,Alex Noren,298.0,2384,8
47,0,23108,Matt Kuchar,297.8,2382,8
48,0,39997,Corey Conners,297.1,2377,8
49,0,25900,Lucas Glover,297.0,2376,8
49,0,24964,Ryan Vermeer,297.0,2376,8
51,0,12716,Charley Hoffman,296.6,2373,8
52,0,25198,Francesco Molinari,296.5,2372,8
53,0,33968,Thorbjørn Olesen,296.4,2371,8
54,0,29420,Billy Horschel,296.1,2369,8
55,0,34076,Joel Dahmen,295.8,2366,8
56,-23,32333,Kevin Tway,295.5,2364,8
57,0,29221,Webb Simpson,295.3,2362,8
58,-11,35461,Beau Hossler,294.9,2359,8
58,-38,39324,J.J. Spaun,294.9,2359,8
60,5,24361,Pat Perez,294.6,2357,8
61,0,35296,Haotong Li,293.9,2351,8
62,0,29268,Bronson Burgoon,293.8,2350,8
63,1,26499,Rafa Cabrera Bello,292.3,2338,8
64,0,35879,Kelly Kraft,292.0,2336,8
65,0,35449,Adam Long,291.5,2332,8
65,0,49771,J.T. Poston,291.5,2332,8
67,0,24024,Zach Johnson,290.6,2325,8
68,0,26476,Chez Reavie,289.1,2313,8
69,-59,28938,Justin Harding,288.5,2308,8
70,0,36326,David Lipsky,287.1,2297,8
71,0,40098,Matt Fitzpatrick,285.8,2286,8
71,0,33399,Adam Hadwin,285.8,2286,8
73,-35,45526,Abraham Ancer,285.6,2285,8
74,0,28300,Joost Luiten,284.9,2279,8
75,0,25431,Rob Labritz,284.5,2276,8
75,0,25572,Graeme McDowell,284.5,2276,8
77,-14,30978,Kiradech Aphibarnrat,284.0,2272,8
78,0,23614,Rich Beem,281.9,2255,8
78,0,26735,Marty Jertson,281.9,2255,8
80,-20,21528,Henrik Stenson,281.0,2248,8
81,0,27649,Brandt Snedeker,279.8,2238,8
82,0,34256,Andrew Putnam,274.1,2193,8
