PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
36689,Brooks Koepka,2019 PGA Championship,0.287,1.673,2.383,0.282
31323,Gary Woodland,2019 PGA Championship,-1.21125,1.175,2.008,0.404
30925,Dustin Johnson,2019 PGA Championship,0.74775,1.81,1.085,0.483
35450,Patrick Cantlay,2019 PGA Championship,0.49725,1.012,1.699,-0.083
25364,Paul Casey,2019 PGA Championship,-0.8315,1.343,0.775,0.089
27974,Sung Kang,2019 PGA Championship,0.42375,1.244,0.243,0.715
24502,Adam Scott,2019 PGA Championship,0.18825,0.688,-0.295,1.794
40006,Erik van Rooyen,2019 PGA Championship,0.35175,0.686,1.401,-0.063
33141,Keegan Bradley,2019 PGA Championship,-0.5785,0.341,1.584,0.029
27649,Brandt Snedeker,2019 PGA Championship,-0.02425,0.202,0.776,0.922
30944,Jason Kokrak,2019 PGA Championship,-0.27325,1.098,0.803,-0.002
33399,Adam Hadwin,2019 PGA Championship,-0.43375,0.343,1.173,0.292
25198,Francesco Molinari,2019 PGA Championship,-1.0935,0.582,1.509,-0.372
31646,Emiliano Grillo,2019 PGA Championship,-0.042,0.371,1.069,0.227
33204,Shane Lowry,2019 PGA Championship,0.79875,0.576,1.112,-0.111
28237,Rory McIlroy,2019 PGA Championship,0.87425,1.003,0.564,-0.066
29772,Michael Lorenzo-Vera,2019 PGA Championship,0.37925,-0.185,1.101,0.581
23108,Matt Kuchar,2019 PGA Championship,0.91325,0.257,1.239,-0.034
48887,Matt Wallace,2019 PGA Championship,1.7135,0.791,0.315,0.306
48081,Xander Schauffele,2019 PGA Championship,0.5545,0.77,0.264,0.287
39977,Max Homa,2019 PGA Championship,-1.412,0.708,0.436,0.144
25632,Jimmy Walker,2019 PGA Championship,0.34125,0.405,0.671,0.208
21961,Charles Howell III,2019 PGA Championship,-0.35025,0.23,0.767,0.228
49964,Aaron Wise,2019 PGA Championship,-0.26025,0.738,0.161,0.237
33803,Lucas Bjerregaard,2019 PGA Championship,0.75025,0.761,0.534,-0.17
27129,Luke List,2019 PGA Championship,1.8045,0.896,-0.415,0.59
39997,Corey Conners,2019 PGA Championship,-1.1935,1.038,0.385,-0.354
29725,Tony Finau,2019 PGA Championship,-1.18525,0.396,0.642,0.022
24024,Zach Johnson,2019 PGA Championship,-0.66475,0.176,0.27,0.594
40098,Matt Fitzpatrick,2019 PGA Championship,-0.1575,0.426,0.729,-0.123
28089,Jason Day,2019 PGA Championship,0.61575,0.489,0.863,-0.342
