RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,28237,Rory McIlroy,3.815,1.729,1.224,.862,4
2,0,33448,Justin Thomas,2.367,.697,.978,.691,4
3,30,32139,Danny Willett,2.329,.651,.314,1.364,4
4,63,33399,Adam Hadwin,1.978,.546,.946,.486,4
5,0,46402,Talor Gooch,1.955,-.256,2.420,-.209,4
6,0,30925,Dustin Johnson,1.920,1.415,.877,-.373,4
7,0,40006,Erik van Rooyen,1.674,1.308,.355,.010,4
8,0,35506,Mackenzie Hughes,1.673,.694,.770,.209,4
9,0,33204,Shane Lowry,1.608,.030,.571,1.006,4
10,0,37212,Paul Barjon,1.596,.774,.382,.440,4
11,0,39327,Ben Silverman,1.515,.071,.940,.504,4
12,31,10809,Jim Furyk,1.459,.402,1.451,-.394,4
13,18,45486,Joaquin Niemann,1.394,.697,.403,.294,4
14,0,37189,Harold Varner III,1.351,-.048,.769,.630,4
15,0,24925,Jonathan Byrd,1.323,-.205,.417,1.110,4
16,0,29221,Webb Simpson,1.255,.355,.493,.407,4
17,0,48822,Sebastián Muñoz,1.226,-.011,.581,.656,4
18,0,36799,Stephan Jaeger,1.208,.148,-.153,1.213,4
19,0,27649,Brandt Snedeker,1.205,.379,.287,.539,4
20,0,49766,Hank Lebioda,1.200,-.044,1.027,.216,4
21,0,33419,Cameron Tringale,1.128,-.249,1.314,.064,4
22,3,21528,Henrik Stenson,1.118,.272,1.422,-.577,4
23,0,50525,Collin Morikawa,1.094,.358,.506,.230,4
24,36,39971,Sungjae Im,1.062,.316,.424,.323,4
25,0,25572,Graeme McDowell,1.059,-.009,1.092,-.025,4
26,0,23108,Matt Kuchar,.962,.102,.669,.191,4
27,0,49960,Sepp Straka,.942,.541,.362,.039,4
28,0,35732,Wes Roach,.931,.129,.657,.145,4
29,0,20572,Rod Pampling,.919,.086,.017,.816,4
30,0,39954,Cody Gribble,.911,.040,.801,.070,4
31,0,10387,Chris Thompson,.878,.184,.687,.008,4
32,0,34431,Robert Streb,.876,-.047,.690,.232,4
33,0,29484,Peter Uihlein,.869,.335,.326,.207,4
34,0,46523,Joey Garber,.856,.560,.331,-.035,4
35,-18,34466,Peter Malnati,.794,-.392,.911,.274,4
36,0,25632,Jimmy Walker,.728,.605,-.408,.530,4
37,0,36689,Brooks Koepka,.683,.025,.961,-.303,4
38,0,32058,José de Jesús Rodríguez,.675,-.469,1.056,.088,4
39,0,33141,Keegan Bradley,.662,.392,.551,-.281,4
40,0,29479,Scott Brown,.593,.579,.577,-.563,4
41,0,27349,Alex Noren,.553,.169,-1.083,1.468,4
42,0,34099,Harris English,.536,.216,-.176,.495,4
43,0,25493,Nick Taylor,.490,1.039,.280,-.829,4
44,0,23320,Ryan Palmer,.463,.465,.431,-.432,4
45,18,47347,Adam Schenk,.462,.295,.681,-.515,4
46,0,39324,J.J. Spaun,.380,.181,.225,-.026,4
47,-18,27644,Brian Harman,.350,.292,-.139,.196,4
48,0,27936,Martin Laird,.320,-.101,.332,.089,4
49,0,40026,Daniel Berger,.263,.705,.197,-.639,4
50,0,34261,Scott Langley,.260,-.183,.193,.250,4
51,0,29926,Danny Lee,.237,.589,-.973,.620,4
52,0,36852,Jim Knous,.215,.407,-.054,-.139,4
53,0,23541,Ben Crane,.151,-.188,.310,.030,4
54,0,24024,Zach Johnson,.133,.491,.125,-.482,4
55,0,28259,Sangmoon Bae,.080,-.064,.761,-.617,4
56,0,23788,D.J. Trahan,-.029,-.281,.441,-.189,4
57,0,45609,Tyler Duncan,-.082,-.284,-.204,.406,4
58,0,27895,Jonas Blixt,-.106,-.437,.035,.296,4
59,0,30711,Colt Knost,-.130,.149,-.733,.453,4
60,0,32333,Kevin Tway,-.163,-.309,.534,-.388,4
61,0,32200,Roberto Castro,-.218,-.702,.761,-.277,4
62,0,29970,Dylan Frittelli,-.366,-.447,-.407,.488,4
63,0,33486,Roger Sloan,-.611,.318,-.332,-.598,4
64,0,39470,Richard Jung,-.927,.359,-.887,-.398,4
65,0,25804,Bubba Watson,-1.010,.183,-1.488,.296,4
66,0,19846,Brian Gay,-1.294,-.821,-.101,-.372,4
67,0,24490,George McNeill,-1.479,-1.571,-.180,.272,4
68,0,27330,Josh Teater,-1.637,.197,-.770,-1.065,4
69,0,40009,Dominic Bozzelli,-1.867,-.736,-.825,-.306,4
70,0,35879,Kelly Kraft,-2.279,-.237,-1.406,-.636,4
71,0,47420,Jake Knapp,-2.333,-1.589,-.869,.126,4
