RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,19846,Brian Gay,82.14,46,56
1,2,29478,Kevin Kisner,82.14,46,56
3,0,10809,Jim Furyk,78.57,44,56
3,0,29221,Webb Simpson,78.57,44,56
5,0,39997,Corey Conners,76.79,43,56
6,0,45526,Abraham Ancer,75.00,42,56
6,32,47959,Bryson DeChambeau,75.00,42,56
6,0,33122,Russell Knox,75.00,42,56
6,0,26329,Louis Oosthuizen,75.00,42,56
10,0,23325,Vaughn Taylor,73.21,41,56
11,0,40026,Daniel Berger,71.43,40,56
11,0,31646,Emiliano Grillo,71.43,40,56
13,14,33141,Keegan Bradley,69.64,39,56
13,0,34076,Joel Dahmen,69.64,39,56
13,0,27644,Brian Harman,69.64,39,56
13,0,23108,Matt Kuchar,69.64,39,56
13,0,31323,Gary Woodland,69.64,39,56
18,18,30926,Chris Kirk,67.86,38,56
18,-6,24138,Ian Poulter,67.86,38,56
18,0,23621,Rory Sabbatini,67.86,38,56
18,0,32150,Michael Thompson,67.86,38,56
18,0,08793,Tiger Woods,67.86,38,56
23,0,33803,Lucas Bjerregaard,66.07,37,56
23,0,29725,Tony Finau,66.07,37,56
23,4,30911,Tommy Fleetwood,66.07,37,56
23,0,29535,Brice Garnett,66.07,37,56
23,19,32839,Hideki Matsuyama,66.07,37,56
23,0,33968,Thorbjørn Olesen,66.07,37,56
23,0,29908,C.T. Pan,66.07,37,56
23,26,49771,J.T. Poston,66.07,37,56
23,-11,27064,Jhonattan Vegas,66.07,37,56
32,0,28089,Jason Day,64.29,36,56
32,-20,27974,Sung Kang,64.29,36,56
32,0,34261,Scott Langley,64.29,36,56
32,17,27129,Luke List,64.29,36,56
32,-31,26596,Ryan Moore,64.29,36,56
32,0,47128,Richy Werenski,64.29,36,56
38,-26,33948,Byeong Hun An,62.50,35,56
38,-11,40098,Matt Fitzpatrick,62.50,35,56
38,0,21209,Sergio Garcia,62.50,35,56
38,-11,34709,Eddie Pepperell,62.50,35,56
38,-11,25818,Scott Piercy,62.50,35,56
38,0,24502,Adam Scott,62.50,35,56
38,-26,27649,Brandt Snedeker,62.50,35,56
45,0,37455,Si Woo Kim,60.71,34,56
45,0,35879,Kelly Kraft,60.71,34,56
45,0,47993,Denny McCarthy,60.71,34,56
45,25,35617,Martin Trainer,60.71,34,56
49,0,34021,Bud Cauley,58.93,33,56
49,0,35532,Tom Hoge,58.93,33,56
49,-11,27408,Martin Kaymer,58.93,33,56
49,-40,28237,Rory McIlroy,58.93,33,56
49,0,28252,Seamus Power,58.93,33,56
49,-11,22405,Justin Rose,58.93,33,56
49,0,35891,Cameron Smith,58.93,33,56
49,0,33448,Justin Thomas,58.93,33,56
57,0,33410,Andrew Landry,57.14,32,56
57,0,46501,Ollie Schniederjans,57.14,32,56
57,-8,48887,Matt Wallace,57.14,32,56
60,0,30925,Dustin Johnson,55.36,31,56
60,0,36689,Brooks Koepka,55.36,31,56
60,-57,25198,Francesco Molinari,55.36,31,56
60,0,46970,Jon Rahm,55.36,31,56
60,4,34360,Patrick Reed,55.36,31,56
60,-2,25632,Jimmy Walker,55.36,31,56
66,-8,29420,Billy Horschel,53.57,30,56
67,-18,21961,Charles Howell III,51.79,29,56
67,-55,30944,Jason Kokrak,51.79,29,56
67,-23,39546,Keith Mitchell,51.79,29,56
67,-23,25804,Bubba Watson,51.79,29,56
71,-7,32102,Rickie Fowler,50.00,28,56
71,0,29974,Branden Grace,50.00,28,56
73,0,25493,Nick Taylor,48.21,27,56
