RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,6,34360,Patrick Reed,23.00,23,1
2,0,27644,Brian Harman,25.00,25,1
2,0,36689,Brooks Koepka,25.00,25,1
2,0,34261,Scott Langley,25.00,25,1
5,15,33141,Keegan Bradley,26.00,26,1
5,0,34021,Bud Cauley,26.00,26,1
5,26,26596,Ryan Moore,26.00,26,1
5,52,49771,J.T. Poston,26.00,26,1
5,0,23325,Vaughn Taylor,26.00,26,1
10,36,33948,Byeong Hun An,27.00,27,1
10,0,33803,Lucas Bjerregaard,27.00,27,1
10,0,29535,Brice Garnett,27.00,27,1
10,0,31646,Emiliano Grillo,27.00,27,1
10,10,28237,Rory McIlroy,27.00,27,1
10,0,46970,Jon Rahm,27.00,27,1
16,0,45526,Abraham Ancer,28.00,28,1
16,0,29725,Tony Finau,28.00,28,1
16,-3,40098,Matt Fitzpatrick,28.00,28,1
16,4,30911,Tommy Fleetwood,28.00,28,1
16,0,29974,Branden Grace,28.00,28,1
16,30,21961,Charles Howell III,28.00,28,1
16,-9,25198,Francesco Molinari,28.00,28,1
16,41,22405,Justin Rose,28.00,28,1
16,0,23621,Rory Sabbatini,28.00,28,1
16,0,33448,Justin Thomas,28.00,28,1
16,15,27064,Jhonattan Vegas,28.00,28,1
27,0,10809,Jim Furyk,29.00,29,1
27,0,21209,Sergio Garcia,29.00,29,1
27,0,35532,Tom Hoge,29.00,29,1
27,-20,29420,Billy Horschel,29.00,29,1
27,0,37455,Si Woo Kim,29.00,29,1
27,0,23108,Matt Kuchar,29.00,29,1
27,4,27129,Luke List,29.00,29,1
27,0,47993,Denny McCarthy,29.00,29,1
27,-14,39546,Keith Mitchell,29.00,29,1
27,-7,34709,Eddie Pepperell,29.00,29,1
27,30,24138,Ian Poulter,29.00,29,1
27,0,28252,Seamus Power,29.00,29,1
27,0,47128,Richy Werenski,29.00,29,1
40,0,34076,Joel Dahmen,30.00,30,1
40,-33,47959,Bryson DeChambeau,30.00,30,1
40,0,19846,Brian Gay,30.00,30,1
40,-38,27408,Martin Kaymer,30.00,30,1
40,-9,30926,Chris Kirk,30.00,30,1
40,-27,29478,Kevin Kisner,30.00,30,1
40,0,33968,Thorbjørn Olesen,30.00,30,1
40,0,26329,Louis Oosthuizen,30.00,30,1
40,0,29221,Webb Simpson,30.00,30,1
40,0,35891,Cameron Smith,30.00,30,1
40,-9,27649,Brandt Snedeker,30.00,30,1
40,0,25493,Nick Taylor,30.00,30,1
40,0,32150,Michael Thompson,30.00,30,1
40,-20,35617,Martin Trainer,30.00,30,1
40,6,25804,Bubba Watson,30.00,30,1
40,0,08793,Tiger Woods,30.00,30,1
56,0,30925,Dustin Johnson,31.00,31,1
56,1,32839,Hideki Matsuyama,31.00,31,1
56,-25,25818,Scott Piercy,31.00,31,1
56,0,24502,Adam Scott,31.00,31,1
56,-25,25632,Jimmy Walker,31.00,31,1
56,-36,48887,Matt Wallace,31.00,31,1
62,-16,32102,Rickie Fowler,32.00,32,1
62,0,33410,Andrew Landry,32.00,32,1
62,0,29908,C.T. Pan,32.00,32,1
62,0,31323,Gary Woodland,32.00,32,1
66,0,40026,Daniel Berger,33.00,33,1
66,0,28089,Jason Day,33.00,33,1
66,-9,27974,Sung Kang,33.00,33,1
66,0,33122,Russell Knox,33.00,33,1
66,-35,30944,Jason Kokrak,33.00,33,1
66,0,35879,Kelly Kraft,33.00,33,1
66,0,46501,Ollie Schniederjans,33.00,33,1
73,0,39997,Corey Conners,34.00,34,1
