RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,31113,Paul Waring,78.57,44,56
2,0,33399,Adam Hadwin,75.00,42,56
3,22,25900,Lucas Glover,73.21,41,56
4,0,31395,Yosuke Asaji,71.43,40,56
4,0,21528,Henrik Stenson,71.43,40,56
4,0,27214,Kevin Streelman,71.43,40,56
4,0,20396,Lee Westwood,71.43,40,56
8,0,34363,Tyrrell Hatton,69.64,39,56
8,0,27141,J.B. Holmes,69.64,39,56
8,0,29370,Mikko Korhonen,69.64,39,56
11,0,33122,Russell Knox,67.86,38,56
12,0,32102,Rickie Fowler,66.07,37,56
12,-5,29970,Dylan Frittelli,66.07,37,56
12,0,35104,Tom Lewis,66.07,37,56
12,0,28300,Joost Luiten,66.07,37,56
16,0,30911,Tommy Fleetwood,64.29,36,56
16,0,10809,Jim Furyk,64.29,36,56
16,0,30812,Benjamin Hebert,64.29,36,56
16,0,36514,Yuki Inamori,64.29,36,56
16,0,36689,Brooks Koepka,64.29,36,56
16,-9,30110,Kyle Stanley,64.29,36,56
22,0,29936,Ryan Fox,62.50,35,56
22,0,33204,Shane Lowry,62.50,35,56
22,0,27349,Alex Noren,62.50,35,56
22,0,32797,Sanghyun Park,62.50,35,56
22,0,34256,Andrew Putnam,62.50,35,56
22,0,23621,Rory Sabbatini,62.50,35,56
22,0,39113,Shubhankar Sharma,62.50,35,56
29,0,06522,Ernie Els,60.71,34,56
29,0,12716,Charley Hoffman,60.71,34,56
29,0,29478,Kevin Kisner,60.71,34,56
29,0,29221,Webb Simpson,60.71,34,56
29,0,35891,Cameron Smith,60.71,34,56
29,0,48887,Matt Wallace,60.71,34,56
35,20,20229,Stewart Cink,58.93,33,56
35,0,40098,Matt Fitzpatrick,58.93,33,56
35,0,29136,Innchoon Hwang,58.93,33,56
35,0,23108,Matt Kuchar,58.93,33,56
35,0,22405,Justin Rose,58.93,33,56
35,0,40006,Erik van Rooyen,58.93,33,56
35,0,49964,Aaron Wise,58.93,33,56
42,0,29974,Branden Grace,57.14,32,56
42,0,34709,Eddie Pepperell,57.14,32,56
42,0,25804,Bubba Watson,57.14,32,56
42,0,29454,Bernd Wiesberger,57.14,32,56
46,0,25364,Paul Casey,55.36,31,56
46,0,21209,Sergio Garcia,55.36,31,56
46,0,28938,Justin Harding,55.36,31,56
46,0,33968,Thorbjørn Olesen,55.36,31,56
46,0,26329,Louis Oosthuizen,55.36,31,56
46,0,46970,Jon Rahm,55.36,31,56
46,-41,53165,Doc Redman,55.36,31,56
46,0,34360,Patrick Reed,55.36,31,56
46,0,48081,Xander Schauffele,55.36,31,56
55,0,32252,Nino Bertasio,53.57,30,56
55,0,33803,Lucas Bjerregaard,53.57,30,56
55,0,29725,Tony Finau,53.57,30,56
55,0,30925,Dustin Johnson,53.57,30,56
55,0,46035,Callum Shinkwin,53.57,30,56
55,0,50674,Ashton Turner,53.57,30,56
61,0,30978,Kiradech Aphibarnrat,51.79,29,56
61,0,30944,Jason Kokrak,51.79,29,56
61,0,32139,Danny Willett,51.79,29,56
64,0,25198,Francesco Molinari,50.00,28,56
64,0,33293,Thomas Pieters,50.00,28,56
66,0,33948,Byeong Hun An,48.21,27,56
66,0,55940,Andrew Wilson,48.21,27,56
68,0,35450,Patrick Cantlay,46.43,26,56
68,0,37250,Romain Langasque,46.43,26,56
68,0,52215,Robert MacIntyre,46.43,26,56
71,0,25572,Graeme McDowell,42.86,24,56
72,0,33448,Justin Thomas,41.07,23,56
73,0,34046,Jordan Spieth,39.29,22,56
