RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,26329,Louis Oosthuizen,1.996,7.986,4
2,-1,29221,Webb Simpson,1.975,7.902,4
3,0,34256,Andrew Putnam,1.851,7.404,4
4,0,31323,Gary Woodland,1.791,7.163,4
5,0,22405,Justin Rose,1.552,6.210,4
6,0,48081,Xander Schauffele,1.424,5.697,4
7,0,34563,Chesson Hadley,1.309,5.238,4
8,0,57361,Chandler Eaton,1.153,4.614,4
9,0,46404,Marcus Kinhult,1.131,4.523,4
10,0,48887,Matt Wallace,1.127,4.510,4
11,0,33667,Carlos Ortiz,1.090,4.361,4
12,0,47959,Bryson DeChambeau,1.075,4.299,4
13,0,35450,Patrick Cantlay,1.055,4.221,4
14,-4,21528,Henrik Stenson,.974,3.897,4
15,33,32139,Danny Willett,.962,3.847,4
16,7,24024,Zach Johnson,.935,3.740,4
17,0,33592,Andy Pope,.901,3.603,4
18,-15,33204,Shane Lowry,.898,3.592,4
19,-11,25572,Graeme McDowell,.884,3.536,4
20,0,30907,Rhys Enoch,.868,3.472,4
21,34,10809,Jim Furyk,.818,3.271,4
22,0,45526,Abraham Ancer,.799,3.198,4
23,-21,23108,Matt Kuchar,.716,2.865,4
24,0,29222,Billy Hurley III,.709,2.835,4
25,-21,27649,Brandt Snedeker,.529,2.116,4
26,0,35532,Tom Hoge,.458,1.832,4
27,0,32839,Hideki Matsuyama,.434,1.735,4
28,0,34363,Tyrrell Hatton,.427,1.709,4
29,0,26851,Marc Leishman,.419,1.675,4
30,0,21961,Charles Howell III,.398,1.592,4
31,0,01810,Phil Mickelson,.385,1.539,4
32,0,33948,Byeong Hun An,.381,1.524,4
33,-13,25493,Nick Taylor,.369,1.476,4
34,0,40098,Matt Fitzpatrick,.367,1.469,4
35,0,08793,Tiger Woods,.348,1.394,4
36,0,55421,Chip McDaniel,.333,1.331,4
37,-15,50525,Collin Morikawa,.320,1.280,4
38,0,35296,Haotong Li,.277,1.107,4
39,0,49964,Aaron Wise,.265,1.062,4
40,0,28089,Jason Day,.229,.916,4
41,0,29420,Billy Horschel,.211,.846,4
42,0,25198,Francesco Molinari,.191,.763,4
43,0,35891,Cameron Smith,.166,.664,4
44,0,31560,Brian Stuard,.137,.548,4
45,0,26499,Rafa Cabrera Bello,.129,.518,4
46,15,36689,Brooks Koepka,.120,.482,4
47,0,46970,Jon Rahm,.115,.461,4
48,-33,34099,Harris English,.110,.442,4
49,0,25364,Paul Casey,.092,.370,4
50,0,26476,Chez Reavie,.080,.322,4
51,0,23983,Luke Donald,.043,.171,4
52,0,49633,Charlie Danielson,.036,.143,4
53,0,24502,Adam Scott,-.013,-.050,4
54,-48,28237,Rory McIlroy,-.032,-.129,4
55,0,34046,Jordan Spieth,-.118,-.470,4
56,15,49960,Sepp Straka,-.151,-.603,4
57,0,30946,Alex Prugh,-.158,-.631,4
58,0,28775,Nate Lashley,-.178,-.713,4
59,0,57364,Michael Thorbjornsen,-.233,-.932,4
60,0,40181,Clément Sordet,-.236,-.943,4
61,0,30911,Tommy Fleetwood,-.285,-1.141,4
62,-32,40026,Daniel Berger,-.328,-1.312,4
63,0,52374,Brandon Wu,-.437,-1.747,4
64,0,29454,Bernd Wiesberger,-.499,-1.994,4
65,0,25818,Scott Piercy,-.504,-2.016,4
66,0,25686,Jason Dufner,-.547,-2.188,4
67,0,23621,Rory Sabbatini,-.625,-2.498,4
68,0,52096,Adri Arnaus,-.631,-2.525,4
69,-15,40006,Erik van Rooyen,-.681,-2.722,4
70,0,34360,Patrick Reed,-.692,-2.768,4
71,0,32102,Rickie Fowler,-.703,-2.812,4
72,0,29478,Kevin Kisner,-.898,-3.592,4
73,0,46717,Viktor Hovland,-.943,-3.770,4
74,0,21209,Sergio Garcia,-1.085,-4.340,4
75,0,27408,Martin Kaymer,-1.179,-4.714,4
76,0,27140,Justin Walters,-1.395,-5.578,4
77,-17,30925,Dustin Johnson,-1.521,-6.083,4
78,0,31646,Emiliano Grillo,-1.579,-6.316,4
79,0,30110,Kyle Stanley,-1.678,-6.713,4
