RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46717,Viktor Hovland,83.93,47,56
1,0,21528,Henrik Stenson,83.93,47,56
3,0,25686,Jason Dufner,82.14,46,56
3,0,26329,Louis Oosthuizen,82.14,46,56
5,0,29478,Kevin Kisner,80.36,45,56
6,0,30946,Alex Prugh,78.57,44,56
7,0,49633,Charlie Danielson,76.79,43,56
7,0,35296,Haotong Li,76.79,43,56
7,0,23621,Rory Sabbatini,76.79,43,56
7,0,30110,Kyle Stanley,76.79,43,56
11,0,45526,Abraham Ancer,75.00,42,56
11,-6,10809,Jim Furyk,75.00,42,56
11,0,26476,Chez Reavie,75.00,42,56
11,0,52374,Brandon Wu,75.00,42,56
15,0,34563,Chesson Hadley,73.21,41,56
15,0,28775,Nate Lashley,73.21,41,56
15,22,25572,Graeme McDowell,73.21,41,56
15,11,49960,Sepp Straka,73.21,41,56
15,0,31560,Brian Stuard,73.21,41,56
15,39,32139,Danny Willett,73.21,41,56
15,0,08793,Tiger Woods,73.21,41,56
22,1,40026,Daniel Berger,71.43,40,56
22,0,26499,Rafa Cabrera Bello,71.43,40,56
22,0,40098,Matt Fitzpatrick,71.43,40,56
22,0,46404,Marcus Kinhult,71.43,40,56
22,28,36689,Brooks Koepka,71.43,40,56
22,21,33204,Shane Lowry,71.43,40,56
22,0,55421,Chip McDaniel,71.43,40,56
22,0,25198,Francesco Molinari,71.43,40,56
22,-13,50525,Collin Morikawa,71.43,40,56
22,0,31323,Gary Woodland,71.43,40,56
32,0,35532,Tom Hoge,69.64,39,56
32,-30,24024,Zach Johnson,69.64,39,56
32,-26,28237,Rory McIlroy,69.64,39,56
32,0,34360,Patrick Reed,69.64,39,56
32,-30,40006,Erik van Rooyen,69.64,39,56
37,0,25364,Paul Casey,67.86,38,56
37,22,34099,Harris English,67.86,38,56
37,0,26851,Marc Leishman,67.86,38,56
37,0,48081,Xander Schauffele,67.86,38,56
37,0,49964,Aaron Wise,67.86,38,56
42,0,23983,Luke Donald,66.07,37,56
42,0,30911,Tommy Fleetwood,66.07,37,56
42,0,32102,Rickie Fowler,66.07,37,56
42,0,31646,Emiliano Grillo,66.07,37,56
42,23,30925,Dustin Johnson,66.07,37,56
42,-27,23108,Matt Kuchar,66.07,37,56
42,0,24502,Adam Scott,66.07,37,56
42,0,34046,Jordan Spieth,66.07,37,56
50,0,47959,Bryson DeChambeau,64.29,36,56
50,0,57361,Chandler Eaton,64.29,36,56
50,0,21209,Sergio Garcia,64.29,36,56
50,0,29420,Billy Horschel,64.29,36,56
50,0,29222,Billy Hurley III,64.29,36,56
55,0,33948,Byeong Hun An,62.50,35,56
55,0,52096,Adri Arnaus,62.50,35,56
55,0,27408,Martin Kaymer,62.50,35,56
55,0,34256,Andrew Putnam,62.50,35,56
55,-46,29221,Webb Simpson,62.50,35,56
55,0,40181,Clément Sordet,62.50,35,56
61,0,01810,Phil Mickelson,60.71,34,56
62,0,35450,Patrick Cantlay,58.93,33,56
62,0,28089,Jason Day,58.93,33,56
62,0,32839,Hideki Matsuyama,58.93,33,56
62,0,33667,Carlos Ortiz,58.93,33,56
62,0,22405,Justin Rose,58.93,33,56
62,0,35891,Cameron Smith,58.93,33,56
62,-53,25493,Nick Taylor,58.93,33,56
62,0,27140,Justin Walters,58.93,33,56
70,0,34363,Tyrrell Hatton,57.14,32,56
70,0,33592,Andy Pope,57.14,32,56
70,0,46970,Jon Rahm,57.14,32,56
70,0,48887,Matt Wallace,57.14,32,56
70,0,29454,Bernd Wiesberger,57.14,32,56
75,-60,27649,Brandt Snedeker,55.36,31,56
75,0,57364,Michael Thorbjornsen,55.36,31,56
77,0,30907,Rhys Enoch,53.57,30,56
77,0,21961,Charles Howell III,53.57,30,56
79,0,25818,Scott Piercy,51.79,29,56
