PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46046,Scottie Scheffler,2020 Arnold Palmer Invitational Pres. By Mastercard,-1.21225,1.092,0.264,1.509
34076,Joel Dahmen,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.39825,0.606,1.796,0.398
50525,Collin Morikawa,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.6035,0.999,2.639,-0.883
39971,Sungjae Im,2020 Arnold Palmer Invitational Pres. By Mastercard,0.27125,0.913,0.403,1.315
34363,Tyrrell Hatton,2020 Arnold Palmer Invitational Pres. By Mastercard,0.83925,0.376,1.817,0.37
28237,Rory McIlroy,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.1305,0.615,1.566,0.352
47959,Bryson DeChambeau,2020 Arnold Palmer Invitational Pres. By Mastercard,0.284,1.8,0.873,-0.305
12716,Charley Hoffman,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.17325,0.195,1.017,0.864
33948,Byeong Hun An,2020 Arnold Palmer Invitational Pres. By Mastercard,-2.29275,0.288,1.559,0.098
40098,Matt Fitzpatrick,2020 Arnold Palmer Invitational Pres. By Mastercard,0.40775,0.883,0.376,0.485
25632,Jimmy Walker,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.56325,-0.134,1.687,0.162
26851,Marc Leishman,2020 Arnold Palmer Invitational Pres. By Mastercard,1.52075,-0.021,1.154,0.498
35532,Tom Hoge,2020 Arnold Palmer Invitational Pres. By Mastercard,0.185,0.81,1.515,-0.857
27974,Sung Kang,2020 Arnold Palmer Invitational Pres. By Mastercard,0.80425,0.709,0.689,-0.05
33141,Keegan Bradley,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.92925,0.347,0.646,0.339
34099,Harris English,2020 Arnold Palmer Invitational Pres. By Mastercard,0.9905,-0.272,0.349,1.085
29926,Danny Lee,2020 Arnold Palmer Invitational Pres. By Mastercard,1.24525,0.619,0.813,-0.275
32839,Hideki Matsuyama,2020 Arnold Palmer Invitational Pres. By Mastercard,-1.502,0.738,0.249,0.167
29970,Dylan Frittelli,2020 Arnold Palmer Invitational Pres. By Mastercard,0.2495,-0.268,0.824,0.597
32102,Rickie Fowler,2020 Arnold Palmer Invitational Pres. By Mastercard,0.25025,0.447,0.285,0.42
40058,Zac Blair,2020 Arnold Palmer Invitational Pres. By Mastercard,-0.44025,-0.464,-0.62,2.177
26596,Ryan Moore,2020 Arnold Palmer Invitational Pres. By Mastercard,-1.12125,0.631,-0.52,0.913
34360,Patrick Reed,2020 Arnold Palmer Invitational Pres. By Mastercard,0.62825,0.468,0.313,0.243
48887,Matt Wallace,2020 Arnold Palmer Invitational Pres. By Mastercard,0.1475,-0.507,0.098,1.414
32139,Danny Willett,2020 Arnold Palmer Invitational Pres. By Mastercard,0.48325,0.036,1.561,-0.678
