RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,47959,Bryson DeChambeau,2.649,1.830,1.189,-.371,4
2,0,50525,Collin Morikawa,2.350,.348,1.585,.417,4
3,0,48081,Xander Schauffele,2.030,1.240,.829,-.040,4
4,0,40026,Daniel Berger,1.895,.281,1.362,.252,4
5,0,33448,Justin Thomas,1.864,-.397,1.751,.509,4
6,0,37189,Harold Varner III,1.779,.707,1.435,-.363,4
7,0,45526,Abraham Ancer,1.663,.824,1.165,-.326,4
8,0,30944,Jason Kokrak,1.642,.850,.405,.387,4
9,0,22405,Justin Rose,1.594,.610,.620,.364,4
10,0,31323,Gary Woodland,1.548,-.541,2.198,-.110,4
11,0,25900,Lucas Glover,1.538,.552,1.312,-.326,4
12,0,25804,Bubba Watson,1.455,.634,.631,.190,4
13,0,46717,Viktor Hovland,1.434,.377,.872,.184,4
14,0,39971,Sungjae Im,1.405,.637,.318,.449,4
15,0,29484,Peter Uihlein,1.378,.182,1.067,.128,4
16,0,29478,Kevin Kisner,1.346,.600,.275,.470,4
17,0,49771,J.T. Poston,1.272,.871,-.240,.641,4
18,0,28237,Rory McIlroy,1.254,.984,.227,.043,4
19,0,52372,Cameron Champ,1.225,.676,.746,-.197,4
20,0,34021,Bud Cauley,1.177,.401,-.289,1.065,4
21,0,34076,Joel Dahmen,1.145,.188,1.310,-.353,4
22,0,39997,Corey Conners,1.114,.323,.915,-.124,4
23,0,34360,Patrick Reed,.924,-.016,.156,.784,4
24,0,34563,Chesson Hadley,.899,.358,1.018,-.476,4
25,0,27644,Brian Harman,.889,-.993,.961,.920,4
26,0,36699,Patrick Rodgers,.868,.699,.000,.168,4
27,0,29725,Tony Finau,.842,1.076,-.380,.145,4
28,0,29974,Branden Grace,.805,-.584,.836,.553,4
29,0,29420,Billy Horschel,.764,.868,-.556,.451,4
30,0,29268,Bronson Burgoon,.732,-.338,.599,.471,4
31,0,23621,Rory Sabbatini,.550,-.141,.636,.054,4
32,0,45609,Tyler Duncan,.544,-.686,1.067,.163,4
33,0,46442,Maverick McNealy,.527,-.128,.396,.259,4
34,0,31560,Brian Stuard,.485,-.854,.084,1.254,4
35,0,46046,Scottie Scheffler,.472,.572,.733,-.833,4
36,0,47347,Adam Schenk,.378,.575,-.178,-.019,4
37,0,24138,Ian Poulter,.359,-.127,.164,.321,4
38,0,33410,Andrew Landry,.356,-.115,-.325,.795,4
39,0,45486,Joaquin Niemann,.353,.101,.605,-.353,4
40,0,46402,Talor Gooch,.323,-.073,-.111,.506,4
41,0,26329,Louis Oosthuizen,.260,.868,-.558,-.050,4
42,0,26499,Rafa Cabrera Bello,.233,-.347,.002,.577,4
43,0,26300,Matt Jones,.219,.352,-.041,-.092,4
44,0,30926,Chris Kirk,.201,-.138,-.146,.484,4
45,0,33597,Harry Higgs,.161,-.497,-.043,.701,4
46,0,53165,Doc Redman,.151,-.546,1.175,-.479,4
47,0,34046,Jordan Spieth,.036,.385,-.346,-.003,4
48,0,33948,Byeong Hun An,.022,.242,-.209,-.012,4
48,0,33399,Adam Hadwin,.022,.021,.661,-.661,4
50,0,33141,Keegan Bradley,.011,.033,.341,-.364,4
51,0,56278,Matthew Wolff,-.006,.580,-.630,.043,4
52,0,25818,Scott Piercy,-.010,.125,-.076,-.059,4
53,0,36801,Mark Hubbard,-.085,-.417,-.068,.400,4
54,0,24024,Zach Johnson,-.088,-.274,.422,-.236,4
55,0,40058,Zac Blair,-.172,-.341,-.289,.458,4
56,0,36689,Brooks Koepka,-.245,.314,-1.225,.665,4
57,0,27064,Jhonattan Vegas,-.315,.687,-.815,-.186,4
58,0,36871,Matthew NeSmith,-.326,-.165,.385,-.545,4
59,0,21961,Charles Howell III,-.368,-.594,.320,-.094,4
60,0,24361,Pat Perez,-.374,-1.095,.925,-.204,4
61,0,40098,Matt Fitzpatrick,-.413,-.782,.016,.352,4
62,0,10809,Jim Furyk,-.501,-.063,-.283,-.155,4
63,0,27349,Alex Noren,-.566,.131,-.512,-.185,4
64,0,25686,Jason Dufner,-.657,.002,-1.171,.512,4
65,0,39546,Keith Mitchell,-.661,.340,-.698,-.303,4
66,0,47993,Denny McCarthy,-2.150,-.951,-1.213,.013,4
67,0,47128,Richy Werenski,-2.416,-.627,-1.090,-.698,4
