RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,30,50525,Collin Morikawa,2.019,8.076,4
2,47,47679,Victor Perez,1.828,7.312,4
3,0,22405,Justin Rose,1.780,7.119,4
4,1,30927,Brendon Todd,1.779,7.117,4
5,41,30925,Dustin Johnson,1.704,6.816,4
6,45,34076,Joel Dahmen,1.435,5.740,4
7,-4,29478,Kevin Kisner,1.277,5.108,4
8,0,34099,Harris English,1.262,5.046,4
9,0,53165,Doc Redman,1.260,5.038,4
10,0,29926,Danny Lee,1.254,5.014,4
11,63,46717,Viktor Hovland,1.221,4.885,4
12,50,46046,Scottie Scheffler,1.198,4.791,4
13,-11,47959,Bryson DeChambeau,1.196,4.785,4
14,0,35532,Tom Hoge,1.186,4.743,4
15,60,24138,Ian Poulter,1.172,4.689,4
16,0,24502,Adam Scott,1.118,4.472,4
17,0,48117,Kurt Kitayama,1.004,4.017,4
18,-1,33948,Byeong Hun An,.988,3.950,4
19,0,29772,Michael Lorenzo-Vera,.968,3.870,4
20,0,27349,Alex Noren,.875,3.501,4
21,45,27649,Brandt Snedeker,.858,3.432,4
22,-11,48081,Xander Schauffele,.779,3.117,4
23,0,29518,Brendan Steele,.735,2.941,4
24,15,30911,Tommy Fleetwood,.731,2.925,4
25,8,35296,Haotong Li,.652,2.607,4
26,14,28089,Jason Day,.638,2.552,4
27,-15,29420,Billy Horschel,.632,2.529,4
28,-15,52372,Cameron Champ,.469,1.875,4
29,0,28775,Nate Lashley,.444,1.777,4
30,-2,29725,Tony Finau,.409,1.635,4
31,4,29221,Webb Simpson,.404,1.614,4
32,-26,35506,Mackenzie Hughes,.387,1.546,4
33,14,32839,Hideki Matsuyama,.348,1.392,4
34,0,35449,Adam Long,.297,1.188,4
35,0,47993,Denny McCarthy,.289,1.157,4
36,-19,45526,Abraham Ancer,.244,.977,4
37,34,25364,Paul Casey,.226,.904,4
38,19,27214,Kevin Streelman,.225,.900,4
39,4,35891,Cameron Smith,.222,.889,4
40,12,35450,Patrick Cantlay,.188,.750,4
41,37,33399,Adam Hadwin,.142,.569,4
41,17,36689,Brooks Koepka,.142,.566,4
43,1,52215,Robert MacIntyre,.113,.452,4
44,0,37455,Si Woo Kim,.094,.377,4
45,0,36801,Mark Hubbard,.083,.330,4
46,0,23621,Rory Sabbatini,.074,.297,4
47,0,49960,Sepp Straka,.045,.180,4
48,-18,34360,Patrick Reed,.021,.082,4
49,0,08793,Tiger Woods,-.015,-.062,4
50,0,35310,Lanto Griffin,-.019,-.076,4
51,19,23320,Ryan Palmer,-.028,-.113,4
52,-29,40026,Daniel Berger,-.060,-.239,4
53,0,27644,Brian Harman,-.079,-.318,4
54,-17,46970,Jon Rahm,-.096,-.383,4
55,0,28300,Joost Luiten,-.107,-.428,4
56,17,26476,Chez Reavie,-.188,-.754,4
57,0,26331,Charl Schwartzel,-.221,-.884,4
58,-17,33204,Shane Lowry,-.276,-1.105,4
59,-39,49771,J.T. Poston,-.284,-1.137,4
60,-7,28237,Rory McIlroy,-.336,-1.344,4
61,0,39546,Keith Mitchell,-.390,-1.559,4
62,-35,31323,Gary Woodland,-.424,-1.695,4
63,0,31557,Jim Herman,-.430,-1.721,4
64,0,34021,Bud Cauley,-.446,-1.783,4
65,-36,40006,Erik van Rooyen,-.459,-1.837,4
66,-24,56278,Matthew Wolff,-.498,-1.991,4
67,-59,01810,Phil Mickelson,-.525,-2.099,4
68,-36,34046,Jordan Spieth,-.550,-2.199,4
69,0,37189,Harold Varner III,-.593,-2.373,4
70,0,31646,Emiliano Grillo,-.657,-2.627,4
71,0,29970,Dylan Frittelli,-.798,-3.194,4
72,-51,26329,Louis Oosthuizen,-.846,-3.384,4
73,-18,33448,Justin Thomas,-.885,-3.540,4
74,-26,27974,Sung Kang,-.902,-3.609,4
75,-12,48887,Matt Wallace,-.949,-3.798,4
76,-61,25804,Bubba Watson,-1.017,-4.067,4
77,0,34098,Russell Henley,-1.064,-4.257,4
78,-14,29454,Bernd Wiesberger,-1.382,-5.528,4
79,0,27129,Luke List,-1.869,-7.477,4
