PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
21209,Sergio Garcia,2020 RBC Heritage,-0.7735,0.392,2.468,0.608
45526,Abraham Ancer,2020 RBC Heritage,-0.22,0.826,2.957,-0.368
45486,Joaquín Niemann,2020 RBC Heritage,-0.10225,0.665,1.84,0.292
22405,Justin Rose,2020 RBC Heritage,-0.24,0.739,0.86,0.586
23320,Ryan Palmer,2020 RBC Heritage,0.201,0.55,0.779,0.664
47959,Bryson DeChambeau,2020 RBC Heritage,0.2585,0.94,1.473,-0.477
29221,Webb Simpson,2020 RBC Heritage,1.65125,0.222,1.469,0.102
29535,Brice Garnett,2020 RBC Heritage,-0.053,0.31,1.411,0.026
30925,Dustin Johnson,2020 RBC Heritage,-0.0435,1.345,0.787,-0.394
40026,Daniel Berger,2020 RBC Heritage,1.3185,0.296,0.524,0.806
39997,Corey Conners,2020 RBC Heritage,-0.15975,0.752,0.846,0.007
39977,Max Homa,2020 RBC Heritage,-0.89375,0.755,1.543,-0.709
53165,Doc Redman,2020 RBC Heritage,-0.11975,0.539,1.955,-0.929
46717,Viktor Hovland,2020 RBC Heritage,-0.06825,0.823,0.981,-0.291
36871,Matthew NeSmith,2020 RBC Heritage,-0.558,-0.024,1.527,0.0
36689,Brooks Koepka,2020 RBC Heritage,0.94375,1.731,0.0,-0.23
33448,Justin Thomas,2020 RBC Heritage,0.71,0.179,0.985,0.321
40006,Erik van Rooyen,2020 RBC Heritage,0.0965,1.045,0.017,0.287
29970,Dylan Frittelli,2020 RBC Heritage,0.97875,0.179,0.476,0.561
29725,Tony Finau,2020 RBC Heritage,-0.26675,0.421,-0.218,1.009
32150,Michael Thompson,2020 RBC Heritage,0.99725,0.167,0.997,0.033
24138,Ian Poulter,2020 RBC Heritage,0.7485,-0.055,0.483,0.769
48822,Sebastián Muñoz,2020 RBC Heritage,0.02425,0.198,0.054,0.919
25900,Lucas Glover,2020 RBC Heritage,0.37975,0.416,0.757,-0.108
23621,Rory Sabbatini,2020 RBC Heritage,0.39275,0.189,0.207,0.655
34099,Harris English,2020 RBC Heritage,0.66225,-0.021,0.944,0.11
49771,J.T. Poston,2020 RBC Heritage,1.1925,0.186,-0.981,1.797
49960,Sepp Straka,2020 RBC Heritage,0.00125,-0.115,0.922,0.137
45609,Tyler Duncan,2020 RBC Heritage,0.2635,0.382,0.509,0.041
27064,Jhonattan Vegas,2020 RBC Heritage,0.7785,0.09,0.333,0.493
