PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46717,Viktor Hovland,2020 Rocket Mortgage Classic,-0.8765,0.627,1.366,0.412
30163,Henrik Norlander,2020 Rocket Mortgage Classic,-0.615,0.572,2.072,-0.5
32839,Hideki Matsuyama,2020 Rocket Mortgage Classic,-0.58,0.703,1.245,-0.089
47959,Bryson DeChambeau,2020 Rocket Mortgage Classic,1.95775,1.668,-0.121,0.274
19803,Ryan Armour,2020 Rocket Mortgage Classic,0.35825,-0.335,1.319,0.687
32139,Danny Willett,2020 Rocket Mortgage Classic,0.42375,0.461,0.748,0.397
25900,Lucas Glover,2020 Rocket Mortgage Classic,-0.32325,1.083,1.247,-0.727
37189,Harold Varner III,2020 Rocket Mortgage Classic,-0.52775,0.697,0.573,0.286
32791,K.H. Lee,2020 Rocket Mortgage Classic,-1.0205,-0.516,1.478,0.587
56278,Matthew Wolff,2020 Rocket Mortgage Classic,1.51575,0.677,0.739,0.098
29221,Webb Simpson,2020 Rocket Mortgage Classic,0.33525,0.478,1.16,-0.194
34264,Hudson Swafford,2020 Rocket Mortgage Classic,-0.387,-0.46,1.44,0.437
29478,Kevin Kisner,2020 Rocket Mortgage Classic,1.14425,0.414,1.064,-0.093
33399,Adam Hadwin,2020 Rocket Mortgage Classic,0.6625,0.208,0.699,0.459
52372,Cameron Champ,2020 Rocket Mortgage Classic,0.24725,1.424,-0.045,-0.097
32102,Rickie Fowler,2020 Rocket Mortgage Classic,0.31025,0.45,0.648,0.121
33419,Cameron Tringale,2020 Rocket Mortgage Classic,-0.17925,-0.531,0.75,0.988
49960,Sepp Straka,2020 Rocket Mortgage Classic,0.598,0.552,0.405,0.224
28252,Séamus Power,2020 Rocket Mortgage Classic,0.42275,1.185,-0.36,0.28
47347,Adam Schenk,2020 Rocket Mortgage Classic,-0.01275,0.859,0.163,0.019
27129,Luke List,2020 Rocket Mortgage Classic,0.26875,0.649,0.373,-0.012
35658,Kris Ventura,2020 Rocket Mortgage Classic,0.3435,1.02,-0.19,0.105
31646,Emiliano Grillo,2020 Rocket Mortgage Classic,-0.0945,0.411,0.219,0.243
48887,Matt Wallace,2020 Rocket Mortgage Classic,0.69925,0.167,0.461,0.202
39324,J.J. Spaun,2020 Rocket Mortgage Classic,0.2025,-0.216,0.884,0.158
33141,Keegan Bradley,2020 Rocket Mortgage Classic,-0.28875,-0.079,0.499,0.397
