PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
34098,Russell Henley,2020 The ZOZO CHAMPIONSHIP,-1.3375,0.454,2.305,0.588
46970,Jon Rahm,2020 The ZOZO CHAMPIONSHIP,0.2665,1.24,1.109,0.144
35450,Patrick Cantlay,2020 The ZOZO CHAMPIONSHIP,0.92775,0.497,1.028,0.558
46046,Scottie Scheffler,2020 The ZOZO CHAMPIONSHIP,-0.983,1.629,0.082,0.282
25804,Bubba Watson,2020 The ZOZO CHAMPIONSHIP,0.03875,0.942,0.639,0.389
33667,Carlos Ortiz,2020 The ZOZO CHAMPIONSHIP,-1.43075,-0.301,1.604,0.387
52372,Cameron Champ,2020 The ZOZO CHAMPIONSHIP,0.16625,0.568,0.574,0.452
33448,Justin Thomas,2020 The ZOZO CHAMPIONSHIP,1.24075,0.725,0.657,0.137
45486,Joaquin Niemann,2020 The ZOZO CHAMPIONSHIP,-0.3955,1.191,0.711,-0.497
34076,Joel Dahmen,2020 The ZOZO CHAMPIONSHIP,0.37225,-0.172,-0.003,1.562
50525,Collin Morikawa,2020 The ZOZO CHAMPIONSHIP,-1.833,0.151,0.02,1.171
27644,Brian Harman,2020 The ZOZO CHAMPIONSHIP,-0.559,0.287,0.631,0.401
39971,Sungjae Im,2020 The ZOZO CHAMPIONSHIP,-1.19625,0.66,0.861,-0.315
29970,Dylan Frittelli,2020 The ZOZO CHAMPIONSHIP,0.33125,0.367,-0.241,1.052
23320,Ryan Palmer,2020 The ZOZO CHAMPIONSHIP,0.83725,0.751,0.687,-0.266
39997,Corey Conners,2020 The ZOZO CHAMPIONSHIP,0.6595,0.486,0.255,0.359
32839,Hideki Matsuyama,2020 The ZOZO CHAMPIONSHIP,-0.50875,0.358,0.452,0.208
48081,Xander Schauffele,2020 The ZOZO CHAMPIONSHIP,0.02425,0.241,1.063,-0.319
46717,Viktor Hovland,2020 The ZOZO CHAMPIONSHIP,-1.1515,0.914,0.189,-0.192
48822,Sebastián Muñoz,2020 The ZOZO CHAMPIONSHIP,0.37,-0.946,1.734,0.101
29478,Kevin Kisner,2020 The ZOZO CHAMPIONSHIP,0.38075,-0.394,1.42,-0.148
29725,Tony Finau,2020 The ZOZO CHAMPIONSHIP,0.6355,0.049,0.816,0.01
45609,Tyler Duncan,2020 The ZOZO CHAMPIONSHIP,-0.303,0.517,1.179,-0.883
35891,Cameron Smith,2020 The ZOZO CHAMPIONSHIP,1.21375,0.52,0.564,-0.289
28237,Rory McIlroy,2020 The ZOZO CHAMPIONSHIP,0.24375,0.86,0.31,-0.405
29221,Webb Simpson,2020 The ZOZO CHAMPIONSHIP,0.30675,1.157,-0.104,-0.35
27349,Alex Noren,2020 The ZOZO CHAMPIONSHIP,0.33175,-0.227,-0.544,1.448
40098,Matt Fitzpatrick,2020 The ZOZO CHAMPIONSHIP,0.13525,0.414,0.206,0.004
25364,Paul Casey,2020 The ZOZO CHAMPIONSHIP,-0.31425,0.19,0.286,0.098
34360,Patrick Reed,2020 The ZOZO CHAMPIONSHIP,0.72425,0.337,0.24,-0.042
45526,Abraham Ancer,2020 The ZOZO CHAMPIONSHIP,-0.2155,0.71,-0.034,-0.201
33948,Byeong Hun An,2020 The ZOZO CHAMPIONSHIP,-0.19475,-1.04,0.699,0.796
34363,Tyrrell Hatton,2020 The ZOZO CHAMPIONSHIP,0.11175,0.13,0.561,-0.293
33605,Gunn Charoenkul,2020 The ZOZO CHAMPIONSHIP,-1.132,-0.522,0.149,0.765
34587,Chan Kim,2020 The ZOZO CHAMPIONSHIP,-1.5565,0.36,0.123,-0.166
34099,Harris English,2020 The ZOZO CHAMPIONSHIP,0.23475,0.576,-0.912,0.611
27214,Kevin Streelman,2020 The ZOZO CHAMPIONSHIP,0.3945,0.623,-0.141,-0.367
33410,Andrew Landry,2020 The ZOZO CHAMPIONSHIP,-0.527,-0.714,0.776,-0.025
22405,Justin Rose,2020 The ZOZO CHAMPIONSHIP,1.02125,0.054,-0.027,-0.039
26328,Shaun Norris,2020 The ZOZO CHAMPIONSHIP,0.57225,-0.155,0.591,-0.499
46402,Talor Gooch,2020 The ZOZO CHAMPIONSHIP,0.3615,-0.063,-0.112,0.073
35310,Lanto Griffin,2020 The ZOZO CHAMPIONSHIP,1.6185,-0.478,0.127,0.242
25396,Kevin Na,2020 The ZOZO CHAMPIONSHIP,0.72825,-0.013,-1.179,0.973
47917,Takumi Kanaya,2020 The ZOZO CHAMPIONSHIP,0.23375,-0.092,0.443,-0.575
30944,Jason Kokrak,2020 The ZOZO CHAMPIONSHIP,1.26175,1.012,-1.042,-0.222
40026,Daniel Berger,2020 The ZOZO CHAMPIONSHIP,1.312,-0.706,0.694,-0.29
30911,Tommy Fleetwood,2020 The ZOZO CHAMPIONSHIP,-0.67625,-0.073,-0.705,0.464
35532,Tom Hoge,2020 The ZOZO CHAMPIONSHIP,0.14475,-0.497,0.809,-0.697
23108,Matt Kuchar,2020 The ZOZO CHAMPIONSHIP,-0.22725,-0.087,-0.029,-0.398
31557,Jim Herman,2020 The ZOZO CHAMPIONSHIP,0.06525,0.117,-0.588,-0.085
23802,Brad Kennedy,2020 The ZOZO CHAMPIONSHIP,0.593,-1.049,0.069,0.397
35506,Mackenzie Hughes,2020 The ZOZO CHAMPIONSHIP,0.6405,-1.261,0.049,0.581
47238,Jazz Janewattananond,2020 The ZOZO CHAMPIONSHIP,-0.4815,-0.192,0.138,-0.704
30927,Brendon Todd,2020 The ZOZO CHAMPIONSHIP,0.5355,-0.59,-0.139,-0.047
26851,Marc Leishman,2020 The ZOZO CHAMPIONSHIP,-1.457,0.151,-0.762,-0.172
32102,Rickie Fowler,2020 The ZOZO CHAMPIONSHIP,-0.19575,0.72,-1.105,-0.409
28089,Jason Day,2020 The ZOZO CHAMPIONSHIP,-0.3865,0.027,-0.292,-0.589
33597,Harry Higgs,2020 The ZOZO CHAMPIONSHIP,0.1335,0.762,-1.684,0.048
56278,Matthew Wolff,2020 The ZOZO CHAMPIONSHIP,0.4085,-0.858,0.994,-1.034
29420,Billy Horschel,2020 The ZOZO CHAMPIONSHIP,-1.053,-0.136,-1.23,0.428
36801,Mark Hubbard,2020 The ZOZO CHAMPIONSHIP,0.981,-0.284,-0.793,0.106
32775,Shugo Imahira,2020 The ZOZO CHAMPIONSHIP,-0.76,0.643,-1.795,0.172
