RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,47,33597,Harry Higgs,2.055,8.219,4
2,0,40026,Daniel Berger,1.893,7.574,4
3,59,29420,Billy Horschel,1.287,5.150,4
4,32,34174,John Huh,1.277,5.108,4
5,8,29725,Tony Finau,1.244,4.978,4
6,0,35449,Adam Long,1.226,4.904,4
7,0,32102,Rickie Fowler,1.221,4.883,4
8,0,28775,Nate Lashley,1.198,4.791,4
9,0,46550,Brandon Hagy,1.172,4.690,4
10,12,35532,Tom Hoge,1.167,4.669,4
11,0,37275,Sam Ryder,1.145,4.581,4
12,0,29221,Webb Simpson,1.097,4.388,4
13,0,36801,Mark Hubbard,1.073,4.294,4
14,0,49771,J.T. Poston,1.059,4.237,4
15,0,51766,Wyndham Clark,1.015,4.061,4
16,0,33448,Justin Thomas,1.004,4.015,4
17,0,31323,Gary Woodland,.979,3.918,4
18,57,34099,Harris English,.918,3.673,4
19,7,39977,Max Homa,.914,3.656,4
20,-4,25804,Bubba Watson,.888,3.551,4
21,-18,36699,Patrick Rodgers,.855,3.419,4
22,-18,33122,Russell Knox,.825,3.299,4
23,22,32254,Xinjun Zhang,.823,3.292,4
24,0,34563,Chesson Hadley,.795,3.182,4
25,0,34264,Hudson Swafford,.783,3.132,4
26,0,32757,Patton Kizzire,.692,2.768,4
27,0,32448,James Hahn,.617,2.470,4
28,-1,35461,Beau Hossler,.582,2.330,4
29,-20,27141,J.B. Holmes,.578,2.311,4
30,-28,46970,Jon Rahm,.573,2.293,4
31,0,29535,Brice Garnett,.547,2.190,4
32,0,39546,Keith Mitchell,.530,2.119,4
33,0,34021,Bud Cauley,.514,2.057,4
34,0,25818,Scott Piercy,.494,1.975,4
35,0,24357,K.J. Choi,.469,1.878,4
36,0,33410,Andrew Landry,.405,1.621,4
37,36,53165,Doc Redman,.294,1.176,4
38,38,29970,Dylan Frittelli,.272,1.089,4
39,-22,27129,Luke List,.223,.892,4
40,0,47959,Bryson DeChambeau,.214,.856,4
41,0,29974,Branden Grace,.162,.648,4
42,0,33399,Adam Hadwin,.152,.609,4
43,23,39971,Sungjae Im,.092,.368,4
44,-3,47993,Denny McCarthy,.083,.334,4
45,-35,12716,Charley Hoffman,-.037,-.149,4
46,0,29908,C.T. Pan,-.039,-.155,4
47,0,33667,Carlos Ortiz,-.067,-.268,4
48,0,23108,Matt Kuchar,-.086,-.343,4
49,7,33141,Keegan Bradley,-.116,-.462,4
50,0,48822,Sebastián Muñoz,-.135,-.539,4
51,14,32333,Kevin Tway,-.152,-.606,4
52,-1,32839,Hideki Matsuyama,-.213,-.852,4
53,0,48081,Xander Schauffele,-.247,-.989,4
54,0,27644,Brian Harman,-.262,-1.046,4
55,0,29926,Danny Lee,-.345,-1.380,4
56,22,33948,Byeong Hun An,-.348,-1.390,4
57,-19,22371,Aaron Baddeley,-.370,-1.480,4
58,0,25493,Nick Taylor,-.553,-2.211,4
59,-48,46402,Talor Gooch,-.635,-2.540,4
60,-35,25632,Jimmy Walker,-.652,-2.608,4
61,0,39997,Corey Conners,-.790,-3.161,4
62,-1,39324,J.J. Spaun,-.889,-3.556,4
63,11,34213,Grayson Murray,-.958,-3.831,4
64,-58,27936,Martin Laird,-1.066,-4.265,4
65,-32,50525,Collin Morikawa,-1.221,-4.885,4
66,-42,27974,Sung Kang,-1.308,-5.230,4
